candidate_id,block_id,p_star,y,h,t,offset,D_t,line_t,diff,abs_diff
hexc_00000,1,180530237,179845447,684790,179845447,0,-9765.168998323748,-9765.168998323748,0.0,0.0
hexc_00000,1,180530237,179845447,684790,179845448,1,-9765.168998323748,-9765.959161314273,0.79016299052455,0.79016299052455
hexc_00000,1,180530237,179845447,684790,179845449,2,-9764.845648258746,-9766.749324304797,1.9036760460512596,1.9036760460512596
hexc_00000,1,180530237,179845447,684790,179845450,3,-9764.701937118749,-9767.539487295322,2.8375501765731315,2.8375501765731315
hexc_00000,1,180530237,179845447,684790,179845451,4,-9764.378587053749,-9768.329650285847,3.951063232098022,3.951063232098022
hexc_00000,1,180530237,179845447,684790,179845452,5,-9764.378526789782,-9769.119813276371,4.741286486589161,4.741286486589161
hexc_00000,1,180530237,179845447,684790,179845454,7,-9764.052834669084,-9770.700139257418,6.647304588334009,6.647304588334009
hexc_00000,1,180530237,179845447,684790,179845455,8,-9763.729484604084,-9771.490302247943,7.7608176438589,7.7608176438589
hexc_00000,1,180530237,179845447,684790,179845457,10,-9763.262423399085,-9773.070628228992,9.808204829907481,9.808204829907481
hexc_00000,1,180530237,179845447,684790,179845462,15,-9762.429248519938,-9777.021443181615,14.59219466167633,14.59219466167633
hexc_00000,1,180530237,179845447,684790,179845463,16,-9762.105898454938,-9777.81160617214,15.705707717201221,15.705707717201221
hexc_00000,1,180530237,179845447,684790,179845469,22,-9760.679609383646,-9782.552584115285,21.87297473163926,21.87297473163926
hexc_00000,1,180530237,179845447,684790,179845479,32,-9758.561675853623,-9790.454214020529,31.89253816690507,31.89253816690507
hexc_00000,1,180530237,179845447,684790,179845493,46,-9774.862673652313,-9801.51649588787,26.653822235557527,26.653822235557527
hexc_00000,1,180530237,179845447,684790,179845511,64,-9771.0287323826,-9815.73942971731,44.71069733471086,44.71069733471086
hexc_00000,1,180530237,179845447,684790,179845515,68,-9770.380539286143,-9818.900081679407,48.51954239326369,48.51954239326369
hexc_00000,1,180530237,179845447,684790,179845547,100,-9763.781497817195,-9844.185297376189,80.40379955899334,80.40379955899334
hexc_00000,1,180530237,179845447,684790,179845575,128,-9795.990374246749,-9866.30986111087,70.31948686412215,70.31948686412215
hexc_00000,1,180530237,179845447,684790,179845594,147,-9811.176047835072,-9881.322957930835,70.14691009576381,70.14691009576381
hexc_00000,1,180530237,179845447,684790,179845663,216,-9910.953539946768,-9935.844204277018,24.89066433025073,24.89066433025073
hexc_00000,1,180530237,179845447,684790,179845764,317,-9966.508729027171,-10015.650666319983,49.141937292812145,49.141937292812145
hexc_00000,1,180530237,179845447,684790,179845912,465,-10012.034312902477,-10132.594788917593,120.56047601511636,120.56047601511636
hexc_00000,1,180530237,179845447,684790,179846130,683,-10233.393986601435,-10304.850320851912,71.45633425047708,71.45633425047708
hexc_00000,1,180530237,179845447,684790,179846450,1003,-10395.763640591113,-10557.702477819721,161.93883722860846,161.93883722860846
hexc_00000,1,180530237,179845447,684790,179846919,1472,-10774.402300199694,-10928.288920375664,153.88662017597017,153.88662017597017
hexc_00000,1,180530237,179845447,684790,179847608,2161,-11317.325242083696,-11472.711220846975,155.38597876327913,155.38597876327913
hexc_00000,1,180530237,179845447,684790,179848619,3172,-11907.855223390608,-12271.566004267142,363.71078087653405,363.71078087653405
hexc_00000,1,180530237,179845447,684790,179850104,4657,-12990.630627183977,-13444.958045195875,454.32741801189877,454.32741801189877
hexc_00000,1,180530237,179845447,684790,179852283,6836,-14614.90077629156,-15166.72320154854,551.8224252569798,551.8224252569798
hexc_00000,1,180530237,179845447,684790,179855482,10035,-17274.85862153866,-17694.454608236094,419.59598669743355,419.59598669743355
hexc_00000,1,180530237,179845447,684790,179860179,14732,-20738.836637659428,-21405.8501747292,667.0135370697717,667.0135370697717
hexc_00000,1,180530237,179845447,684790,179867073,21626,-26299.017772390427,-26853.233831404406,554.2160590139792,554.2160590139792
