candidate_id,bound_name,bound_value,K_prime,passes_row,looseness
hexc_00453,C_short_1.11,64.67702295122548,64.24988591171059,True,1.0066480591125382
hexc_00453,C_short_1.12,65.25969883366895,64.24988591171059,True,1.0157169605459844
hexc_00453,C_short_1.15,67.00772648099937,64.24988591171059,True,1.0429236648463234
hexc_00453,C_short_1.2,69.92110589321672,64.24988591171059,True,1.0882681720135545
hexc_00453,sampled_supremum,280.96088953550833,64.24988591171059,True,4.372939897848108
hexc_00453,total_lambda_mass,24158.814171286496,64.24988591171059,True,376.013339610976
hexc_00453,direct_K_cap_65,65.0,64.24988591171059,True,1.0116749481753193
hexc_00442,C_short_1.11,64.59180363420596,59.23603287892927,True,1.0904140688527064
hexc_00442,C_short_1.12,65.17371177505466,59.23603287892927,True,1.1002376190225505
hexc_00442,C_short_1.15,66.91943619760075,59.23603287892927,True,1.1297082695320828
hexc_00442,C_short_1.2,69.82897690184427,59.23603287892927,True,1.178826020381304
hexc_00442,sampled_supremum,242.5890199203943,59.23603287892927,True,4.095294842181863
hexc_00442,total_lambda_mass,22681.86395437427,59.23603287892927,True,382.9065325953384
hexc_00442,direct_K_cap_65,65.0,59.23603287892927,True,1.0973050834253455
hexc_00462,C_short_1.11,67.2149398880591,33.768732131001784,True,1.9904490232948853
hexc_00462,C_short_1.12,67.82047988705062,33.768732131001784,True,2.008380996477722
hexc_00462,C_short_1.15,69.63709988402518,33.768732131001784,True,2.0621769160262318
hexc_00462,C_short_1.2,72.66479987898279,33.768732131001784,True,2.1518367819404154
hexc_00462,sampled_supremum,205.8988155613705,33.768732131001784,True,6.097321473681941
hexc_00462,total_lambda_mass,15917.365947551096,33.768732131001784,True,471.364038359556
hexc_00462,direct_K_cap_65,65.0,33.768732131001784,True,1.924857579723166
hexc_00663,C_short_1.11,67.26666290740465,8.20825117357986,True,8.195005426237179
hexc_00663,C_short_1.12,67.87266887954343,8.20825117357986,True,8.268834303951026
hexc_00663,C_short_1.15,69.69068679595976,8.20825117357986,True,8.490320937092571
hexc_00663,C_short_1.2,72.72071665665366,8.20825117357986,True,8.859465325661814
hexc_00663,sampled_supremum,37.34831990785523,8.20825117357986,True,4.55009466913846
hexc_00663,total_lambda_mass,17139.311676919144,8.20825117357986,True,2088.058870820858
hexc_00663,direct_K_cap_65,65.0,8.20825117357986,True,7.918860988223339
ALL_SHORT,C_short_1.11,64.59180363420596,64.24988591171059,True,8.195005426237179
ALL_SHORT,C_short_1.12,65.17371177505466,64.24988591171059,True,8.268834303951026
ALL_SHORT,C_short_1.15,66.91943619760075,64.24988591171059,True,8.490320937092571
ALL_SHORT,C_short_1.2,69.82897690184427,64.24988591171059,True,8.859465325661814
ALL_SHORT,direct_K_cap_65,65.0,64.24988591171059,True,7.918860988223339
ALL_SHORT,sampled_supremum,37.34831990785523,64.24988591171059,True,6.097321473681941
ALL_SHORT,total_lambda_mass,15917.365947551096,64.24988591171059,True,2088.058870820858
