extreme_type,candidate_id,block_id,x,y,h,p_star,E_theta_sign,row_regime,Q_R2Q,Q_exc,Q_energy_L2,Q_energy_RMS,kappa_L2,kappa_RMS,bridge_argmax_location_fraction,threshold_relevant_flag,forbidden_flag,finite_certified_flag,threshold_relevance_non_surviving_flag,energy_L2_above_0p025_flag,high_energy_harmless_flag,harmful_concentration_flag
top_Q_exc,hexc_00059,60,3290983,3290975,8,3291137,positive,finite_positive,0.0730965487832678,0.0205672364492246,0.0304825946938867,0.0101608648979622,0.674720661274592,2.0241619838237823,0.625,False,False,True,True,True,True,False
top_Q_exc,hexc_00001,2,24181,24178,3,24317,positive,finite_positive,0.1157979799474991,0.0184358992034248,0.0260719675992124,0.0130359837996062,0.70711576075991,1.41423152151982,0.6666666666666666,False,False,True,True,True,True,False
top_Q_exc,hexc_00032,33,1197619,1197615,4,1197697,positive,finite_positive,0.0726584885625681,0.0177247165152088,0.0249378557636041,0.0111525481401007,0.7107554347586446,1.5892974674977514,0.25,False,False,True,True,False,False,False
top_Q_exc,hexc_00304,305,30386689,30386676,13,30386821,positive,finite_positive,0.0656901337841472,0.0172880108593613,0.0289054037503281,0.0083442713181433,0.598089236486277,2.0718418901086366,0.7692307692307693,False,False,True,True,True,True,False
top_Q_exc,hexc_00231,232,7103281,7103277,4,7103387,positive,finite_positive,0.0636678531151053,0.0157384918917144,0.0221562198206484,0.0099085627286796,0.7103419274188179,1.5883728369766992,0.25,False,False,True,True,False,False,False
top_Q_exc,hexc_00242,243,30781189,30781182,7,30781319,positive,finite_positive,0.0666639054628127,0.0156184300412248,0.0247186134594574,0.0087393495993557,0.6318489532935009,1.7871387182378258,0.5714285714285714,False,False,True,True,False,False,False
top_Q_exc,hexc_00355,356,33821509,33821502,7,33821677,positive,finite_positive,0.0654611569085146,0.0155337822934355,0.0245850448951147,0.0086921259805556,0.6318386791525534,1.7871096585788993,0.5714285714285714,False,False,True,True,False,False,False
top_Q_exc,hexc_00025,26,230563,230560,3,230647,positive,finite_positive,0.0944180902326222,0.0151761792087925,0.0214623352385676,0.0107311676192838,0.7071075463177493,1.4142150926354986,0.6666666666666666,False,False,True,True,False,False,False
top_Q_exc,hexc_00185,186,22052341,22052337,4,22052431,positive,finite_positive,0.0607248084445193,0.014690835140949,0.0206876955885622,0.0092518187267695,0.7101242899702787,1.5878861848473187,0.25,False,False,True,True,False,False,False
top_Q_exc,hexc_00022,23,354553,354550,3,354619,positive,finite_positive,0.0920232096308952,0.0146788192753852,0.0207589711964358,0.0103794855982179,0.7071072615537649,1.4142145231075298,0.6666666666666666,False,False,True,True,False,False,False
top_Q_exc,hexc_00052,53,356173,356170,3,356243,positive,finite_positive,0.0917954514179663,0.0146736966602346,0.0207517267987916,0.0103758633993958,0.7071072591939225,1.414214518387845,0.6666666666666666,False,False,True,True,False,False,False
top_Q_exc,hexc_00113,114,359419,359416,3,359477,positive,finite_positive,0.0897827713986883,0.0146636407876059,0.0207375057936661,0.010368752896833,0.7071072545322517,1.4142145090645102,0.6666666666666666,False,False,True,True,False,False,False
top_Q_exc,hexc_00123,124,30340831,30340827,4,30340987,positive,finite_positive,0.0597199396392292,0.0144204613622394,0.0203085588396176,0.0090822636180878,0.7100681774675318,1.5877607134767926,0.25,False,False,True,True,False,False,False
top_Q_exc,hexc_00297,298,30423259,30423255,4,30423359,positive,finite_positive,0.0588683256744303,0.0144182081956392,0.0203053990582444,0.0090808505208989,0.7100677092965143,1.587759666614572,0.25,False,False,True,True,False,False,False
top_Q_exc,hexc_00399,400,31019929,31019925,4,31019993,positive,finite_positive,0.058517488803213,0.0144020784216403,0.0202827788463261,0.009070734454596,0.710064362026459,1.5877521818911797,0.25,False,False,True,True,False,False,False
top_Q_exc,hexc_00254,255,33472333,33472329,4,33472553,positive,finite_positive,0.0583129230101737,0.0143392191682336,0.0201946235958818,0.0090313102280826,0.7100513213406826,1.5877230220313114,0.25,False,False,True,True,False,False,False
top_Q_exc,hexc_00360,361,33862651,33862647,4,33862799,positive,finite_positive,0.0585493445209605,0.0143296944521975,0.0201812656596905,0.00902533637741,0.7100493444679852,1.5877186016095826,0.25,False,False,True,True,False,False,False
top_Q_exc,hexc_00341,342,40863883,40863879,4,40864051,positive,finite_positive,0.0574566735917498,0.014176984271913,0.0199670866976149,0.0089295526336997,0.7100176649008322,1.5876477639439344,0.25,False,False,True,True,False,False,False
top_Q_exc,hexc_00057,58,1188361,1188358,3,1188511,positive,finite_positive,0.0833294497303515,0.0134398679639979,0.0190068400397767,0.0095034200198883,0.7071069118207719,1.4142138236415513,0.6666666666666666,False,False,True,True,False,False,False
top_Q_exc,hexc_00060,61,1190071,1190068,3,1190143,positive,finite_positive,0.0832943901091022,0.0134386455041789,0.0190051112262544,0.0095025556131272,0.7071069116193456,1.4142138232386912,0.6666666666666666,False,False,True,True,False,False,False
top_Q_energy_L2,hexc_00026,27,1192781,1192323,458,1192781,negative,finite_negative,0.0967472985369818,0.0120403626533005,0.036413013628854,0.0061549226791826,0.33066097676023193,1.9562167196712064,0.24672489082969432,False,False,True,True,True,True,False
top_Q_energy_L2,hexc_00059,60,3290983,3290975,8,3291137,positive,finite_positive,0.0730965487832678,0.0205672364492246,0.0304825946938867,0.0101608648979622,0.674720661274592,2.0241619838237823,0.625,False,False,True,True,True,True,False
