block_id,p_star,start_prime,worst_prime,end_prime,covered_y,covered_h,d_start,d_worst,d_end,Q_tail_start,Q_tail_max_inside,Q_tail_end,candidate_crossing,first_crossing_inside_flag,covered_flag,finite_certificate_flag,covered_by_block_or_certificate,local_violation_flag,absorbed_by_HExc_flag,endpoint_favorable_flag_final,endpoint_repayment_norm,accumulation_proxy,Q_local,Q_post_response,Q_exc,Q_o2p4_total,Q_bdy,Q_pp,O2_total_with_o2p4,cross_Q,cross_Q_y,cross_Q_h,is_tail,B3_block_pass
10,178298621,178089889,178254509,178298621,178254856.0,43765.0,0.4997382893915928,0.6419754853013281,0.4998883809199506,0.0,0.5679019412053123,0.0,False,False,True,True,True,False,True,True,0.1420871043813775,0.0,0.4625799992422776,0.009178269885052,0.0025143310542018,0.0,0.0,0.0,0.0301511056,,,,False,True
12,3279709,3277541,3278837,3279709,3278912.0,797.0,0.5023916474371306,0.6235492881763838,0.49822610524861427,0.009566589748522425,0.4941971527055351,0.0,False,False,True,True,True,False,True,True,0.1253231829277695,0.0,0.1060058846880691,0.0173446147503645,0.0114062615417102,0.0,0.0,0.0,0.0301511056,,,,False,True
13,42899,42737,42863,42899,42898.0,1.0,0.5042334872374459,0.6188815394349537,0.49498636235266436,0.016933948949783506,0.4755261577398149,0.0,False,False,True,True,True,False,False,True,0.12389517708228938,0.0,0.0968247715409328,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
11,211,199,199,211,210.0,1.0,0.6161673473242094,0.6161673473242094,0.11875324912666235,0.46466938929683765,0.46466938929683765,0.0,False,False,True,True,True,False,False,True,0.49741409819754706,0.0,0.1912764152417241,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
14,1195669,1192831,1195247,1195669,1195386.0,205.0,0.5029205247407093,0.6157012647698638,0.4857124807422535,0.011682098962837006,0.462805059079455,0.0,False,False,True,True,True,False,True,True,0.1299887840276103,0.0,0.0899443884131837,0.0,0.0127144572989962,0.0,0.0,0.0,0.0301511056,,,,False,True
15,43133,42929,43067,43133,43132.0,1.0,0.5032469166118018,0.6098001375419628,0.4987020221807519,0.012987666447207058,0.4392005501678513,0.0,False,False,True,True,True,False,False,True,0.11109811536121095,0.0,0.0943896668138165,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
16,58309,58211,58243,58309,58308.0,1.0,0.5041643035491827,0.6010007595452326,0.41671880642490455,0.01665721419673094,0.4040030381809303,0.0,False,False,True,True,True,False,False,True,0.18428195312032805,0.0,0.0939517191622745,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
17,59333,59209,59243,59333,59332.0,1.0,0.5131634863416578,0.5990148784799189,0.40959446928550003,0.05265394536663104,0.3960595139196754,0.0,False,False,True,True,True,False,False,True,0.18942040919441883,0.0,0.0929815072257821,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
18,3241093,3236963,3239081,3241093,3239129.0,1964.0,0.4998615895935084,0.5971423528302159,0.48691379483862535,0.0,0.38856941132086353,0.0,False,False,True,True,True,False,True,True,0.11022855799159052,0.0,0.159654089699117,0.0,0.0081749848918229,0.0,0.0,0.0,0.0301511056,,,,False,True
19,1515197,1513397,1513751,1515197,1513853.0,1344.0,0.5000099859890832,0.5942937247376517,0.49500067156198607,3.9943956332777475e-05,0.37717489895060696,0.0,False,False,True,True,True,False,True,True,0.09929305317566568,0.0,0.1510851987794436,0.0,0.0103425912084517,0.0,0.0,0.0,0.0301511056,,,,False,True
