metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime,product_actual,rayleigh_over_h,weight_l2_sq,event_count,sample_count
product_actual,1,hexc_00304,305,30386821,13,False,73.91003130475967,73.9100313047598,73.91003130475967,0.0622439704219009,1187.4247546193487,4,12
product_actual,2,hexc_00453,454,604143557,767,True,64.24988591171059,64.24988591171167,64.24988591171059,0.0044902565189875,14308.73395317695,35,37
product_actual,3,hexc_00442,443,604711937,771,True,59.236032878929265,59.23603287892971,59.236032878929265,0.0042612153946668,13901.205968857425,34,37
product_actual,4,hexc_00275,276,108562291,313,False,56.08396418864769,56.08396418864813,56.08396418864769,0.0102386405991222,5477.676811261057,16,33
product_actual,5,hexc_00081,82,12782599,494,False,55.20495342984052,55.20495342984063,55.20495342984052,0.0079295555047139,6961.922821149648,26,36
product_actual,6,hexc_00355,356,33821677,7,False,55.20452323086658,55.20452323086658,55.20452323086658,0.0612244902599906,901.673872602938,3,8
product_actual,7,hexc_00242,243,30781319,7,False,54.60627873649685,54.60627873649688,54.60627873649685,0.0612244903086135,891.9025452273049,3,8
product_actual,8,hexc_00198,199,39635819,218,False,51.89152697394646,51.8915269739468,51.89152697394646,0.0121095669309337,4285.167856943783,14,35
product_actual,9,hexc_00662,663,604872131,4,True,51.108716920391565,51.1087169203916,51.108716920391565,0.06250000001022,817.7394705925482,2,5
product_actual,10,hexc_00026,27,1192781,458,False,50.66738569136971,50.66738569136996,50.66738569136971,0.0086272722536348,5872.9322782207055,30,35
product_actual,11,hexc_00273,274,109547591,776,False,47.57965339891239,47.57965339891258,47.57965339891239,0.0038567224770555,12336.81025325891,36,37
product_actual,12,hexc_00059,60,3291137,8,False,47.50332782189178,47.5033278218918,47.50332782189178,0.0703125109678581,675.6027791925528,3,9
product_actual,13,hexc_00303,304,604870961,1710,True,45.48807574882472,45.48807574882615,45.48807574882472,0.0014833768000711,30665.21988657529,75,36
product_actual,14,hexc_00673,674,187509659,4,False,45.359671130370025,45.35967113037008,45.359671130370025,0.062500000034995,725.7547376795558,2,5
product_actual,15,hexc_00322,323,179438351,4,False,45.150375852758884,45.150375852758906,45.150375852758884,0.0625000000366538,722.4060132204793,2,5
product_actual,16,hexc_00444,445,179382319,4,False,45.1488896869581,45.14888968695817,45.1488896869581,0.0625000000366658,722.3822345675421,2,5
product_actual,17,hexc_00525,526,179146433,4,False,45.142639412569515,45.14263941256952,45.142639412569515,0.0625000000367167,722.2822301767951,2,5
product_actual,18,hexc_00448,449,178913689,4,False,45.13646513874443,45.1364651387445,45.13646513874443,0.0625000000367669,722.1834417950718,2,5
product_actual,19,hexc_00423,424,178907011,4,False,45.13628574684366,45.13628574684368,45.13628574684366,0.0625000000367684,722.1805715246438,2,5
product_actual,20,hexc_00459,460,178299217,4,False,45.12012021068152,45.12012021068158,45.12012021068152,0.0625000000369003,721.9219229446782,2,5
rayleigh_over_h,1,hexc_00059,60,3291137,8,False,0.0703125109678581,47.5033278218918,47.50332782189178,0.0703125109678581,675.6027791925528,3,9
rayleigh_over_h,2,hexc_00032,33,1197697,4,False,0.0625000074574887,24.485463076576707,24.48546307657668,0.0625000074574887,391.767362479616,2,5
rayleigh_over_h,3,hexc_00231,232,7103387,4,False,0.0625000011154557,31.11053762086766,31.110537620867646,0.0625000011154557,497.7685930500613,2,5
rayleigh_over_h,4,hexc_00185,186,22052431,4,False,0.0625000003352271,35.73898635214269,35.73898635214264,0.0625000003352271,571.823778567229,2,5
rayleigh_over_h,5,hexc_00123,124,30340987,4,False,0.0625000002391374,37.10051919515608,37.10051919515607,0.0625000002391374,593.6083048512339,2,5
rayleigh_over_h,6,hexc_00297,298,30423359,4,False,0.0625000002384519,37.1122052310735,37.11220523107346,0.0625000002384519,593.7952814317096,2,5
rayleigh_over_h,7,hexc_00399,400,31019993,4,False,0.062500000233602,37.19591809331658,37.195918093316564,0.062500000233602,595.1346872686706,2,5
rayleigh_over_h,8,hexc_00254,255,33472553,4,False,0.062500000215536,37.5247797768865,37.52477977688646,0.062500000215536,600.3964743596705,2,5
