block_id,p_star,y,h,theta_local_error,theta_local_norm,theta_local_norm_pos,Q_max,D_start_norm,D_end_norm,delta_D_norm,prime_minus_repay_norm,repay_minus_prime_norm,cp_residual_norm,cp_obstruction_norm,canonical_response_norm,k4_sym_all_norm,k4_sym_comp_norm,is_tail,scale_bin,depth_bin,mu_bin
34,127,126,1,3.844187086458591,0.1638184076850698,0.1638184076850698,0.2157084836048593,-0.6467248915853149,-1.0478843074853785,-0.40115941590006365,0.19265355863346534,-0.19265355863346534,-0.2157084836048593,0.2157084836048593,1.1905211577477515,0.015432257878128127,0.015432257878128127,False,p<100M,0.50-0.55,0.50-1.00
11,211,210,1,4.351858133476067,0.1519376986384418,0.1519376986384418,0.1912764152417241,-0.4606108930177421,-0.80678766479914,-0.3461767717813979,0.1755617761599286,-0.1755617761599286,-0.19127641524172412,0.19127641524172412,0.9753707955937742,0.012643348290318572,0.012643348290318572,False,p<100M,0.60-0.65,0.50-1.00
59,293,292,1,4.680172609017068,0.1450570376438435,0.1450570376438435,0.1707575979731007,-0.6085539026973636,-0.9215028172174199,-0.3129489145200563,0.16602909215822045,-0.16602909215822045,-0.17075759797310078,0.17075759797310078,0.8658763280097976,0.011224014539727396,0.011224014539727396,False,p<100M,0.50-0.55,0.25-0.50
106,479,478,1,5.171700597410915,0.135776208151487,0.135776208151487,0.1648068982246287,-0.4234435554586279,-0.6906615118560081,-0.2672179563973802,0.15354076367626826,-0.15354076367626826,-0.1648068982246287,0.1648068982246287,0.7334478410772306,0.009507396109677864,0.009507396109677864,False,p<100M,0.50-0.55,>=1.00
202,673,672,1,5.511745329644728,0.1299853261832927,0.1299853261832927,0.1551610461475472,-0.4308700628058095,-0.6694151699238996,-0.2385451071180901,0.1459429870062299,-0.1459429870062299,-0.15516104614754728,0.15516104614754728,0.6588463112909868,0.008540365798396237,0.008540365798396237,False,p<100M,0.50-0.55,0.50-1.00
37,1657,1656,1,6.412764017426562,0.1167037763024239,0.1167037763024239,0.1389495863976313,-0.6022570675485369,-0.7764173343859431,-0.1741602668374061,0.12901790519204107,-0.12901790519204107,-0.13894958639763133,0.13894958639763133,0.5084152674823367,0.0065903872987928235,0.0065903872987928235,False,p<100M,0.55-0.60,0.50-1.00
137,2819,2818,1,6.944137491114112,0.1100334695184228,0.1100334695184228,0.1252023670442801,-0.5431934857752794,-0.686726666716912,-0.14353318094163264,0.12075533959843474,-0.12075533959843474,-0.12520236704428017,0.12520236704428017,0.4426754416413774,0.005738227772993055,0.005738227772993055,False,p<100M,0.50-0.55,0.50-1.00
76,2879,2878,1,6.965198290612176,0.1097843161595848,0.1097843161595848,0.1282261417306278,-0.4754420603135719,-0.617864222748547,-0.14242216243497505,0.12044956175546778,-0.12044956175546778,-0.1282261417306278,0.1282261417306278,0.4403375781593106,0.005707922967484713,0.005707922967484713,False,p<100M,0.50-0.55,>=1.00
1136,5897,5896,1,7.682199026000504,0.1019121772932965,0.1019121772932965,0.1166604661931528,-0.4608777997195147,-0.5697284214537426,-0.1088506217342279,0.1108886263423026,-0.1108886263423026,-0.11666046619315289,0.11666046619315289,0.37061198442871585,0.004804097498988401,0.004804097498988401,False,p<100M,0.50-0.55,0.50-1.00
100,6421,6420,1,7.767329147794049,0.1010501788281202,0.1010501788281202,0.1159896775054861,-0.6458832445091631,-0.7512602404968669,-0.10537699598770377,0.1098531528794008,-0.1098531528794008,-0.11598967750548612,0.11598967750548612,0.36344969644547964,0.0047112555747307735,0.0047112555747307735,False,p<100M,0.50-0.55,0.50-1.00
2,24317,24178,3,17.186562246627208,0.0972921006486078,0.0972921006486078,0.1157979799474991,-0.7899034104269596,-0.9152078611802413,-0.1253044507532818,0.1106139903704657,-0.1106139903704657,-0.11579797994749914,0.11579797994749914,0.1554664224663298,-0.006060952688088646,0.0041000570480796,False,p<100M,>=0.70,0.25-0.50
85,10357,10356,1,8.24541789858888,0.0964627367254228,0.0964627367254228,0.1086725867349362,-0.5116194437080099,-0.5992889443167494,-0.08766950060873936,0.10437883089286956,-0.10437883089286956,-0.10867258673493625,0.10867258673493625,0.32683295502544285,0.004236607146541754,0.004236607146541754,False,p<100M,0.50-0.55,0.50-1.00
86,15859,15858,1,8.6714924414986,0.0927057894159821,0.0927057894159821,0.1069835705399953,-0.4812308744670565,-0.5554622346963843,-0.07423136022932789,0.09993976520569149,-0.09993976520569149,-0.10698357053999535,0.10698357053999535,0.2986702323041991,0.003871544840209741,0.003871544840209741,False,p<100M,0.50-0.55,>=1.00
376,15937,15936,1,8.676398728859631,0.092664202109152,0.092664202109152,0.1034376505744083,-0.48729872596557733,-0.561387073375743,-0.07408834741016565,0.09989084397905897,-0.09989084397905897,-0.10343765057440836,0.10343765057440836,0.29836743566860907,0.0038676198064254656,0.0038676198064254656,False,p<100M,0.50-0.55,0.50-1.00
678,16183,16182,1,8.691716587516886,0.0925345985959794,0.0925345985959794,0.1069747307954135,-0.43653796406380707,-0.5101814531608608,-0.07364348909705377,0.09973841495317017,-0.09973841495317017,-0.10697473079541357,0.10697473079541357,0.29742503533667786,0.0038554038412977987,0.0038554038412977987,False,p<100M,0.50-0.55,>=1.00
143,42533,42532,1,9.658035524203411,0.0850226176164053,0.0850226176164053,0.0954963866947735,-0.5038835113471808,-0.5539946481583545,-0.05011113681117376,0.09097937233526061,-0.09097937233526061,-0.09549638669477349,0.09549638669477349,0.24593741635001146,0.0031879900716540706,0.0031879900716540706,False,p<100M,0.50-0.55,>=1.00
13,42899,42898,1,9.666603794621116,0.0849613864787405,0.0849613864787405,0.0968247715409328,-0.5844225343570068,-0.6343608159734115,-0.04993828161640477,0.09090857515635443,-0.09090857515635443,-0.09682477154093279,0.09682477154093279,0.24554246178520972,0.0031828704308526465,0.0031828704308526465,False,p<100M,0.60-0.65,>=1.00
83,42923,42922,1,9.66716309178561,0.0849573926179324,0.0849573926179324,0.0952612074725035,-0.5184858524534938,-0.5684128704413194,-0.04992701798782561,0.09090395766983898,-0.09090395766983898,-0.0952612074725035,0.0952612074725035,0.24551671405805756,0.003182536673184753,0.003182536673184753,False,p<100M,0.50-0.55,0.50-1.00
15,43133,43132,1,9.672043644375696,0.0849225570081055,0.0849225570081055,0.0943896668138165,-0.7004792354578507,-0.7503080660626523,-0.04982883060480158,0.09086368432228856,-0.09086368432228856,-0.09438966681381654,0.09438966681381654,0.24529220537343008,0.0031796264553406576,0.0031796264553406576,False,p<100M,0.60-0.65,0.50-1.00
16,58309,58308,1,9.973511734352114,0.0828241215201216,0.0828241215201216,0.0939517191622745,-0.5912710920818214,-0.6353761507131253,-0.04410505863130394,0.0884432993920433,-0.0884432993920433,-0.0939517191622745,0.0939517191622745,0.23199983095781132,0.0030073226298609557,0.0030073226298609557,False,p<100M,0.60-0.65,>=1.00
20,58511,58510,1,9.97697004973177,0.0828006431181152,0.0828006431181152,0.0923670994574258,-0.6357938202172171,-0.67983697717624,-0.04404315695902289,0.08841628088234174,-0.08841628088234174,-0.09236709945742581,0.09236709945742581,0.2318536700058786,0.00300542800288414,0.00300542800288414,False,p<100M,0.55-0.60,0.50-1.00
