block_id,p_star,y,h,D_start,D_end,DeltaD,DeltaD_sign,Q_DeltaD,Q_exc,Q_delayed_proxy,theta_local_sign_if_available,R2Q_obstruction_sign,B2_repayment_sign,endpoint_favorable_flag,endpoint_already_counted_flag,endpoint_harmful_flag,endpoint_harmful_Q,endpoint_repayment_Q,double_count_risk_flag,delayed_risk_proxy,large_endpoint_flag,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin,recovery_position
44,109588091,109577354,10737,-5924.212674655511,-13826.417254912514,-7902.204580257003,negative,0.2225301612998425,0.0066368119233886,0.2291669732232312,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.2225301612998425,False,True,False,False,8193<=h<=65536,100M<=p<500M,0.10-0.25,0.55-0.60,0.0078543707262982
39,39690667,39682692,7975,-3641.029352975941,-9613.98205726598,-5972.95270429004,negative,0.2184817075940539,0.0069005695359736,0.2253822771300276,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.2184817075940539,False,False,False,False,1025<=h<=8192,p<100M,0.05-0.10,0.55-0.60,0.0236287952987267
90,179641471,179630689,10782,-7227.938470810817,-15334.04316100074,-8106.104690189923,negative,0.2161023309574808,0.0058305796296811,0.221932910587162,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.2161023309574808,False,True,False,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.50-0.55,0.0079131394920868
28,109670797,109660803,9994,-6062.627144332166,-13303.443764865187,-7240.816620533022,negative,0.2113316628996534,0.0098010101179576,0.2211326730176111,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.2113316628996534,False,True,False,False,8193<=h<=65536,100M<=p<500M,0.10-0.25,0.55-0.60,0.0157573370100453
128,187449539,187440181,9358,-7264.99513125428,-14324.682866270734,-7059.687735016454,negative,0.2011169548690546,0.0051155744267494,0.2062325292958041,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.2011169548690546,False,True,False,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.50-0.55,0.0078456318914334
87,109467389,109460158,7231,-5686.430382908249,-11254.153785467564,-5567.723402559313,negative,0.1910786963521397,0.0074324407919268,0.1985111371440665,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1910786963521397,False,False,False,False,1025<=h<=8192,100M<=p<500M,0.05-0.10,0.50-0.55,0.0472990777338603
30,4994789,4991760,3029,-1282.5533183929576,-3575.231370335033,-2292.6780519420754,negative,0.1751074858509674,0.0057126820734734,0.1808201679244408,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1751074858509674,False,False,False,False,1025<=h<=8192,p<100M,0.05-0.10,0.55-0.60,0.0235332043842682
91,179602723,179595316,7407,-7218.827810161708,-12653.759305529657,-5434.931495367947,negative,0.1748153915205001,0.0055138368213938,0.180329228341894,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1748153915205001,False,False,False,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.0158118522455487
73,40882169,40877269,4900,-3459.772267638376,-7132.910898843928,-3673.138631205552,negative,0.1708297585564211,0.0069729630121156,0.1778027215685368,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1708297585564211,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.0156689433507432
31,7108243,7105465,2778,-1580.4968693296976,-3707.454245328314,-2126.957375998616,negative,0.1621275115134674,0.0068229245505902,0.1689504360640577,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1621275115134674,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0709030100334448
45,12836777,12833438,3339,-2020.026918484228,-4509.468817140625,-2489.441898656397,negative,0.1608095545919656,0.0060864238556851,0.1668959784476508,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1608095545919656,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0236842105263157
6,3448507,3446024,2483,-1269.9908564127795,-2957.528938594951,-1687.5380821821711,negative,0.1494490028165924,0.0076387824505859,0.1570877852671784,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1494490028165924,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.65-0.70,0.031591263650546
95,178011341,178005997,5344,-7170.087294076646,-11049.8280269501,-3879.7407328734553,negative,0.1470561101400873,0.0069070699511918,0.1539631800912791,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1470561101400873,False,False,False,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.0315331641899238
177,110319577,110315160,4417,-5474.407026463776,-8752.192725143545,-3277.7856986797688,negative,0.143809262978564,0.0049735266541079,0.148782789632672,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.143809262978564,False,False,False,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,0.0158199643493761
