W_bin,rows,W_min,W_max,rho_max,rho_q95,K_max,required_rho_for_65_at_Wmax,rho_margin_to_required,passes_bin_envelope
>1M,2,1051188.9309305267,3033676.629773508,2.0377749152049087e-06,1.9713290962397177e-06,2.1504475741786093,2.1426146531923823e-05,1.9388371616718915e-05,True
100k..1M,4,103850.3529007753,434187.6454525263,0.0001694418706646,0.000155112921814546,20.08877423302316,0.00014970485844260865,-1.9737012221991354e-05,True
10k..100k,15,11038.280977102491,89133.22770880035,0.0044902565189875,0.00432992773196301,64.24988591171059,0.0007292454415805071,-0.003761011077406993,True
2k..10k,1,9811.807685813064,9811.807685813064,0.003441642275544,0.003441642275544,33.768732131001784,0.006624671220776553,0.003183028945232553,True
400..800,117,408.820838667429,408.8705537076421,0.0,0.0,0.0,0.15897451995644923,0.15897451995644923,True
800..1040,3,817.718506154608,817.7394705925482,0.06250000001022,0.0599537037129017,51.108716920391565,0.07948741908336633,0.016987419073146326,True
