block_id,p_star,y,hi,h,prime_log_sum,theta_local_error,theta_local_sum_from_sieve,prime_log_sum_check_delta,theta_local_norm,theta_start_error,theta_end_error,theta_end_norm,theta_pstar_error,theta_pstar_norm,theta_start_sign,theta_end_sign,theta_local_sign,theta_crosses_sign,Q_max,near_forbidden_proxy,post_Q,cp_ratio,d_worst,is_tail,scale_bin,depth_bin,mu_bin
17,59333,59332,59333,1,10.990920922612805,9.990920922612805,10.990920922609803,3.0020430585864233e-12,0.08270606437914654,-197.16599189383123,-187.17507097122143,-0.006361092137362883,-187.17507097122143,-0.006361092137362883,negative,negative,positive,False,0.0929815072257821,False,0.0,0.0929815072257821,0.5990148784799189,False,p<100M,0.55-0.60,0.50-1.00
18,3241093,3239129,3241093,1964,1798.9329586309354,-165.06704136906455,1798.9329586341046,-3.1691342883277684e-09,-0.01657311004889265,-919.3058718373068,-1084.3729132032022,-0.002680077193231037,-1084.3729132032022,-0.002680077193231037,negative,negative,negative,False,0.159654089699117,False,0.0,0.159654089699117,0.5971423528302159,False,p<100M,0.55-0.60,0.10-0.25
19,1515197,1513853,1515197,1344,1280.753446878976,-63.24655312102391,1280.7534468783997,5.763922672485933e-10,-0.008518496923980384,-689.6372385844588,-752.8837917060591,-0.003020084818241494,-752.8837917060591,-0.003020084818241494,negative,negative,negative,False,0.1510851987794436,False,0.0,0.1510851987794436,0.5942937247376517,False,p<100M,0.55-0.60,0.10-0.25
20,58511,58510,58511,1,10.97697004973177,9.97697004973177,10.976970049734518,-2.7480240305521875e-12,0.08280064311811526,-176.999139295629,-167.02216924589447,-0.005730472082525359,-167.02216924589447,-0.005730472082525359,negative,negative,positive,False,0.0923670994574258,False,0.0,0.0923670994574258,0.5935433641279962,False,p<100M,0.55-0.60,0.50-1.00
21,30847123,30831334,30847123,15789,15364.66839069262,-424.33160930738086,15364.668390654027,3.859167918562889e-08,-0.01135596738560949,-2698.0201721712947,-3122.351781517267,-0.0018904733671001295,-3122.351781517267,-0.0018904733671001295,negative,negative,negative,False,0.338124053326903,False,0.0,0.338124053326903,0.5910684424741468,False,p<100M,0.55-0.60,0.05-0.10
22,60209,60208,60209,1,11.005577121783782,10.005577121783782,11.005577121781243,2.538413923502958e-12,0.08260693352007112,-182.35429245248088,-172.34871533069963,-0.005798981196919688,-172.34871533069963,-0.005798981196919688,negative,negative,positive,False,0.0940510554686493,False,0.0,0.0940510554686492,0.5866139076909833,False,p<100M,0.55-0.60,>=1.00
23,354619,354550,354553,3,25.55722059933116,22.55722059933116,25.557220599323045,8.114398042380344e-12,0.07975260251989916,-359.6596145264921,-337.10239392716903,-0.0034669997536609445,-364.766193573887,-0.003751055461298885,negative,negative,positive,False,0.0920232096308952,False,0.0,0.0920232096308952,0.5839609557801748,False,p<100M,0.55-0.60,0.50-1.00
24,180619079,180557417,180619079,61662,60495.3266136878,-1166.673386312199,60495.32661446929,-7.814887794665992e-07,-0.012998385316577796,-6201.409956872463,-7368.083342403173,-0.0015167766599432806,-7368.083342403173,-0.0015167766599432806,negative,negative,negative,False,0.5459231094474968,False,0.0,0.5459231094474968,0.5828287928298714,False,100M<=p<500M,0.55-0.60,0.018-0.05
25,109813367,109790208,109813367,23159,22439.19357068757,-719.8064293124298,22439.193570658565,2.9005605028942227e-08,-0.013798807743205282,-5068.864401891828,-5788.670831233263,-0.001611524803255104,-5788.670831233263,-0.001611524803255104,negative,negative,negative,False,0.3557665519303423,False,0.0,0.3557665519303423,0.5818528069713539,False,100M<=p<500M,0.55-0.60,0.05-0.10
26,230647,230560,230563,3,24.69655017143579,21.69655017143579,24.696550171414856,2.093258899549255e-11,0.08214696809023421,-318.4488748048316,-296.7523246334167,-0.00405309166444663,-331.35846971508,-0.004524656894503923,negative,negative,positive,False,0.0944180902326222,False,0.0,0.0944180902326222,0.5809506984984212,False,p<100M,0.55-0.60,0.25-0.50
27,1192781,1192323,1192781,458,419.7475054537239,-38.252494546276125,419.7475054534152,3.086597644141875e-10,-0.009130193097605441,-628.5907612997107,-666.8432558462955,-0.003118863348479418,-666.8432558462955,-0.003118863348479418,negative,negative,negative,False,0.0967472985369818,False,0.0,0.0967472985369818,0.5803693748006622,False,p<100M,0.55-0.60,0.25-0.50
28,109670797,109660803,109670797,9994,9293.499620888608,-700.5003791113922,9293.499621033669,-1.4506076695397496e-07,-0.020444919093745895,-5073.22338475287,-5773.723763719201,-0.0016086338239377708,-5773.723763719201,-0.0016086338239377708,negative,negative,negative,False,0.2345732370876761,False,0.0040775732389164805,0.2345732370876761,0.5767472460352718,False,100M<=p<500M,0.55-0.60,0.10-0.25
29,3456977,3455716,3456977,1261,1204.4570749115694,-56.54292508843059,1204.4570749104023,1.1671090760501102e-09,-0.007024363751630143,-1030.9596036165021,-1087.5025287060998,-0.0025802886680358727,-1087.5025287060998,-0.0025802886680358727,negative,negative,negative,False,0.1341559286414388,False,0.0,0.1341559286414388,0.5761187178156421,False,p<100M,0.55-0.60,0.10-0.25
30,4994789,4991760,4994789,3029,2915.059459257624,-113.94054074237602,2915.0594592560083,1.615717337699607e-09,-0.00870241751082165,-1178.6152836075053,-1292.555824351497,-0.002431095455396693,-1292.555824351497,-0.002431095455396693,negative,negative,negative,False,0.1879865387221068,False,0.0,0.1879865387221068,0.5736363522348349,False,p<100M,0.55-0.60,0.05-0.10
31,7108243,7105465,7108243,2778,2697.7929008970304,-80.20709910296955,2697.7929008957,1.330590748693794e-09,-0.006113793125343279,-1446.1588262310252,-1526.3659253353253,-0.0023000727883150016,-1526.3659253353253,-0.0023000727883150016,negative,negative,negative,False,0.1766899326140388,False,0.0,0.1766899326140388,0.5736183747679188,False,p<100M,0.55-0.60,0.10-0.25
32,3293113,3292080,3293113,1033,915.4381506666256,-117.56184933337443,915.4381506666541,-2.8535396268125623e-11,-0.016240843463246078,-953.7751942784525,-1071.3370436117984,-0.0026212904005023527,-1071.3370436117984,-0.0026212904005023527,negative,negative,negative,False,0.1154116378424172,False,0.0,0.1154116378424172,0.5732352521868559,False,p<100M,0.55-0.60,0.10-0.25
33,1197697,1197615,1197619,4,27.99169028406876,23.99169028406876,27.99169028410688,-3.8120617773529375e-11,0.06123905776439849,-658.9880678046029,-634.996377520496,-0.002962194697145093,-671.0087393932045,-0.0031300577106920906,negative,negative,positive,False,0.0726584885625681,False,0.0,0.0726584885625681,0.5714546434153948,False,p<100M,0.55-0.60,0.25-0.50
34,127,126,127,1,4.844187086458591,3.844187086458591,4.844187086458589,1.7763568394002505e-15,0.16381840768506986,-18.930195560461783,-15.086008474003194,-0.05704671903951806,-15.086008474003194,-0.05704671903951806,negative,negative,positive,False,0.2157084836048593,False,0.0,0.2157084836048593,0.5387179394323075,False,p<100M,0.50-0.55,0.50-1.00
35,354953,354952,354953,1,12.779740665326448,11.779740665326448,12.779740665340796,-1.4347634191835823e-11,0.0721259667898836,-378.28557841834845,-366.50583775300765,-0.003766616366266439,-366.50583775300765,-0.003766616366266439,negative,negative,positive,False,0.080127585396028,False,0.0,0.080127585396028,0.5708743245352553,False,p<100M,0.55-0.60,>=1.00
36,39707851,39704004,39707851,3847,3394.4196601234057,-452.5803398765943,3394.419660113752,9.653831511968747e-09,-0.02383441267313675,-3111.9928850978613,-3564.5732249841094,-0.0018477329872244703,-3564.5732249841094,-0.0018477329872244703,negative,negative,negative,False,0.1623741874086595,False,0.002835977728019102,0.1623741874086595,0.570765763152409,False,p<100M,0.55-0.60,0.10-0.25
37,1657,1656,1657,1,7.412764017426562,6.412764017426562,7.412764017426525,3.6415315207705135e-14,0.11670377630242393,-46.560019535945685,-40.14725551851916,-0.017948752062060074,-40.14725551851916,-0.017948752062060074,negative,negative,positive,False,0.1389495863976313,False,0.0,0.1389495863976313,0.5646890667962472,False,p<100M,0.55-0.60,0.50-1.00
38,156007,155920,155921,1,11.957104747706284,10.957104747706284,11.95710474770749,-1.20614629395277e-12,0.07663085853812723,-253.18551290550386,-242.22840815779637,-0.004290626411658459,-316.27075200076797,-0.005600088189198052,negative,negative,positive,False,0.0868104441327406,False,0.0,0.0868104441327406,0.5692447049653862,False,p<100M,0.55-0.60,>=1.00
39,39690667,39682692,39690667,7975,7610.989022311079,-364.01097768892123,7610.989022374153,-6.307436706265435e-08,-0.01331497902726315,-3180.960251748562,-3544.9712293744087,-0.0018380607773058005,-3544.9712293744087,-0.0018380607773058005,negative,negative,negative,False,0.2349256240499423,False,0.0,0.2349256240499423,0.5675301253868136,False,p<100M,0.55-0.60,0.05-0.10
40,30417481,30409154,30417481,8327,8098.2820029454115,-228.71799705458852,8098.282002937049,8.362803782802075e-09,-0.008442263113784957,-2880.7831094115973,-3109.5011064745486,-0.0018990304108167017,-3109.5011064745486,-0.0018990304108167017,negative,negative,negative,False,0.24963148266117,False,0.0,0.24963148266117,0.5656944525747528,False,p<100M,0.55-0.60,0.05-0.10
41,604672261,604520611,604672261,151650,150032.93169378905,-1617.0683062109456,150032.93169617653,-2.387474523857236e-06,-0.010156320244579683,-11613.621162891388,-13230.689466714859,-0.0013159872506794362,-13230.689466714859,-0.0013159872506794362,negative,negative,negative,False,0.7568596623500748,True,0.03437235322817768,0.7568596623500748,0.5650676485722232,True,p>=500M,0.55-0.60,0.018-0.05
42,7117417,7115469,7117417,1948,1830.2377002749845,-117.76229972501551,1830.2377002742141,7.703420124016702e-10,-0.010717780209247962,-1415.932465271093,-1533.6947649968788,-0.002309249053379138,-1533.6947649968788,-0.002309249053379138,negative,negative,negative,False,0.1460888226947264,False,0.0,0.1460888226947264,0.5645057407816215,False,p<100M,0.55-0.60,0.10-0.25
