row_regime,finite_zone_flag,post_P0_by_pstar,high_energy,threshold_relevant,forbidden,h_bin,p_star_bin,rows,C_bridge_max,C_bridge_mean,C_bridge_q95,Q_energy_L2_max,C_exc_max,Q_exc_max,high_energy_count,threshold_relevant_count,forbidden_count,surviving_proxy_count,failures
finite_negative,True,False,False,False,False,101<=h<=1k,100M<=p<500M,16,7.5172957888070675,4.410053181103325,7.060961489344353,0.0219576117786852,3.117477771354786,0.0091059828634137,0,0,0,0,0
finite_negative,True,False,False,False,False,101<=h<=1k,10M<=p<100M,21,6.488095069490741,3.9057219085345203,6.067760230348137,0.0226473860254771,3.295109104228417,0.0110815667281192,0,0,0,0,0
finite_negative,True,False,False,False,False,101<=h<=1k,1M<=p<10M,3,3.5482542969118818,3.0797727240603137,3.478763521510031,0.0149165232854705,1.6960252283114565,0.0071299286054191,0,0,0,0,0
finite_negative,True,False,False,False,False,10k<h<=100k,100M<=p<500M,8,3.972523031931926,3.3623648919405285,3.9680109148792653,0.0115541189824018,2.274455374559117,0.0066368119233886,0,0,0,0,0
finite_negative,True,False,False,False,False,10k<h<=100k,10M<=p<100M,4,2.507968798244117,2.0068579753568314,2.4625800304444216,0.0084337008776589,1.7932841452718646,0.0060303868534807,0,0,0,0,0
finite_negative,True,False,False,False,False,1k<h<=10k,100M<=p<500M,30,6.487786304142406,4.139493349261167,5.930165791632101,0.017879575931775,3.3591093623436743,0.0098010101179576,0,0,0,0,0
finite_negative,True,False,False,False,False,1k<h<=10k,10M<=p<100M,26,5.703211321141017,3.6786227519707513,5.4512498534510625,0.019183078468522,3.38008104097481,0.0110407093348006,0,0,0,0,0
finite_negative,True,False,False,False,False,1k<h<=10k,1M<=p<10M,10,4.735639977082923,3.4853319872796433,4.687072095518136,0.0204151477381646,2.094612138922983,0.0103425912084517,0,0,0,0,0
finite_negative,True,False,True,False,False,101<=h<=1k,10M<=p<100M,1,7.438244050688833,7.438244050688833,7.438244050688833,0.0277787667189073,2.9102160350499746,0.0108684538700757,1,0,0,0,0
finite_negative,True,False,True,False,False,101<=h<=1k,1M<=p<10M,4,7.128590769352836,6.373676073411678,7.0426577113928825,0.036413013628854,2.5675262997275308,0.0120403626533005,4,0,0,0,0
finite_negative,True,False,True,False,False,101<=h<=1k,p<1M,1,4.659963846370241,4.659963846370241,4.659963846370241,0.0285182984397066,2.1023683473972303,0.0128661873649445,1,0,0,0,0
finite_positive,True,False,False,False,False,101<=h<=1k,10M<=p<100M,9,7.2093575037210575,5.490359977058217,6.801086594466395,0.0235535603972833,2.6136848879975476,0.0085391222223537,0,0,0,0,0
finite_positive,True,False,False,False,False,101<=h<=1k,1M<=p<10M,2,4.4995847987826165,4.470397400002872,4.496666058904642,0.021936891056258,2.0184340246218007,0.0089098695882727,0,0,0,0,0
finite_positive,True,False,False,False,False,11<=h<=100,100M<=p<500M,1,6.0308749175919,6.0308749175919,6.0308749175919,0.0175999931381343,3.518316208293316,0.0102675552005105,0,0,0,0,0
finite_positive,True,False,False,False,False,11<=h<=100,10M<=p<100M,1,5.597908978702753,5.597908978702753,5.597908978702753,0.0209007108969602,3.0593006448996745,0.011422400501544,0,0,0,0,0
finite_positive,True,False,False,False,False,2<=h<=10,100M<=p<500M,23,6.671592040126676,5.6438269252116,6.656025378244917,0.0189204808195844,4.735389255768944,0.0134309492743368,0,0,0,0,0
finite_positive,True,False,False,False,False,2<=h<=10,10M<=p<100M,23,7.389235181064235,5.260721498761994,7.227275261823569,0.0247186134594574,4.668804596751205,0.0156184300412248,0,0,0,0,0
finite_positive,True,False,False,False,False,2<=h<=10,1M<=p<10M,9,5.514345714148036,4.141890290654929,5.262593442222014,0.0249378557636041,3.917070963041614,0.0177247165152088,0,0,0,0,0
finite_positive,True,False,False,False,False,2<=h<=10,p<1M,4,3.393602363465138,3.3618495202899457,3.3932319885185995,0.0214623352385676,2.399640850203994,0.0151761792087925,0,0,0,0,0
finite_positive,True,False,False,False,False,h=1,100M<=p<500M,451,0.0,0.0,0.0,0.0,9.094947017729286e-13,2.6566803310905e-15,0,0,0,0,0
finite_positive,True,False,False,False,False,h=1,10M<=p<100M,449,4.547473508864642e-13,1.1140803696550345e-14,0.0,1.7042514801809505e-15,9.094947017729286e-13,3.267795176339872e-15,0,0,0,0,0
finite_positive,True,False,False,False,False,h=1,1M<=p<10M,168,0.0,0.0,0.0,0.0,2.273736754432321e-13,1.0116649352359689e-15,0,0,0,0,0
finite_positive,True,False,False,False,False,h=1,p<1M,56,5.684341886080801e-14,1.5225915766287858e-15,0.0,4.697135078513482e-16,5.684341886080802e-14,3.473229348461692e-16,0,0,0,0,0
finite_positive,True,False,True,False,False,101<=h<=1k,1M<=p<10M,1,5.8364080193795465,5.8364080193795465,5.8364080193795465,0.0298022102047381,2.489975073396485,0.0127144572989962,1,0,0,0,0
finite_positive,True,False,True,False,False,11<=h<=100,10M<=p<100M,1,8.580752479596955,8.580752479596955,8.580752479596955,0.0289054037503281,5.132055698999871,0.0172880108593613,1,0,0,0,0
