column,primitive_candidate,leaky_excluded,non_null_count,min,max,mean,median,std,corr_with_R_R2Q_rec,corr_with_Q_R2Q,corr_with_E_theta,corr_with_negative_indicator,corr_with_near_forbidden_indicator
finite_certificate_coordinate_excluded_flag,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
threshold_negative_transfer_pass_flag,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
failure_type,False,True,0,,,,,,,,,,
status,False,True,0,,,,,,,,,,
candidate_id__prime_mesh_r2q_channel_compatibility_rows,False,True,0,,,,,,,,,,
O2_applicable_flag,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
B3_applicable_flag,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
B2_active_flag__prime_mesh_r2q_channel_compatibility_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
coordinate_available_flag__prime_mesh_r2q_channel_compatibility_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
valid_scale_flag__prime_mesh_r2q_channel_compatibility_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
tail_flag__prime_mesh_r2q_channel_compatibility_rows,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
finite_certificate_excluded_flag,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
negative_channel_flag,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
channel_compatible_flag,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
positive_channel_conflict_flag,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
finite_certificate_unresolved_flag,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
missing_channel_flag,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
failure_type__prime_mesh_r2q_channel_compatibility_rows,False,True,0,,,,,,,,,,
status__prime_mesh_r2q_channel_compatibility_rows,False,True,0,,,,,,,,,,
candidate_id__prime_mesh_r2q_o2_local_repayment_assembly_rows,False,True,0,,,,,,,,,,
channel_compatible_flag__prime_mesh_r2q_o2_local_repayment_assembly_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
O2_applicable_flag__prime_mesh_r2q_o2_local_repayment_assembly_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
B3_applicable_flag__prime_mesh_r2q_o2_local_repayment_assembly_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
coordinate_available_flag__prime_mesh_r2q_o2_local_repayment_assembly_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
valid_scale_flag__prime_mesh_r2q_o2_local_repayment_assembly_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
Q_2p1_source,False,True,0,,,,,,,,,,
Q_2p2_source,False,True,0,,,,,,,,,,
Q_2p3_source,False,True,0,,,,,,,,,,
Q_2p4_source,False,True,0,,,,,,,,,,
component_missing_flags,False,True,0,,,,,,,,,,
fallback_used_flag,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
pass_Q_O2_lt_1,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
pass_Q_O2_lt_0p25,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
pass_Q_O2_lt_0p10,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
pass_Q_O2_lt_0p05,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
failure_type__prime_mesh_r2q_o2_local_repayment_assembly_rows,False,True,0,,,,,,,,,,
status__prime_mesh_r2q_o2_local_repayment_assembly_rows,False,True,0,,,,,,,,,,
candidate_id__prime_mesh_r2q_hexc_bridge_rigidity_rows,False,True,0,,,,,,,,,,
O2_applicable_flag__prime_mesh_r2q_hexc_bridge_rigidity_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
B3_applicable_flag__prime_mesh_r2q_hexc_bridge_rigidity_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
coordinate_available_flag__prime_mesh_r2q_hexc_bridge_rigidity_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
Q_exc_source,False,True,0,,,,,,,,,,
variance_proxy_source,False,True,0,,,,,,,,,,
endpoint_exclusion_harmful_flag,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
valid_scale_flag__prime_mesh_r2q_hexc_bridge_rigidity_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
failure_type__prime_mesh_r2q_hexc_bridge_rigidity_rows,False,True,0,,,,,,,,,,
status__prime_mesh_r2q_hexc_bridge_rigidity_rows,False,True,0,,,,,,,,,,
candidate_id__prime_mesh_r2q_b3_no_accumulation_rows,False,True,0,,,,,,,,,,
Q_tail_end__prime_mesh_r2q_b3_no_accumulation_rows,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
candidate_crossing_flag,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
tail_candidate_crossing_flag,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
covered_flag__prime_mesh_r2q_b3_no_accumulation_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
channel_compatible_flag__prime_mesh_r2q_b3_no_accumulation_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
O2_applicable_flag__prime_mesh_r2q_b3_no_accumulation_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
B3_applicable_flag__prime_mesh_r2q_b3_no_accumulation_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
endpoint_repaid_flag,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
endpoint_harmful_flag,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
endpoint_repayment_failure_flag,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
valid_scale_flag__prime_mesh_r2q_b3_no_accumulation_rows,False,True,1468,1.0,1.0,1.0,1.0,0.0,,,,,
positive_unrepaid_tail_flag,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
negative_unrepaid_tail_flag,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
tail_forbidden_unrepaid_flag,False,True,1468,0.0,0.0,0.0,0.0,0.0,,,,,
failure_type__prime_mesh_r2q_b3_no_accumulation_rows,False,True,0,,,,,,,,,,
status__prime_mesh_r2q_b3_no_accumulation_rows,False,True,0,,,,,,,,,,
