candidate_id,offset,u,B_prime,B_prime_abs,B_prime_sq
hexc_00442,0,0.0,0.0,0.0,0.0
hexc_00442,1,0.0012970168612191958,-0.891684709650454,0.891684709650454,0.7951016214244144
hexc_00442,2,0.0025940337224383916,-1.783369419300908,1.783369419300908,3.1804064856976577
hexc_00442,3,0.0038910505836575876,17.545207366448636,17.545207366448636,307.8343015316835
hexc_00442,4,0.005188067444876783,16.653522656798184,16.653522656798184,277.33981688049045
hexc_00442,5,0.00648508430609598,35.98209944584773,35.98209944584773,1294.7114805308756
hexc_00442,6,0.007782101167315175,35.090414736197275,35.090414736197275,1231.3372063583308
hexc_00442,7,0.009079118028534372,34.19873002654682,34.19873002654682,1169.553135428635
hexc_00442,8,0.010376134889753566,33.30704531689637,33.30704531689637,1109.3592677417885
hexc_00442,10,0.01297016861219196,31.52367589759546,31.52367589759546,993.7421420966409
hexc_00442,12,0.01556420233463035,29.740306478294553,29.740306478294553,884.485829422889
hexc_00442,14,0.018158236057068743,27.956937058993645,27.956937058993645,781.5903297205323
hexc_00442,16,0.020752269779507133,26.173567639692735,26.173567639692735,685.0556429895707
hexc_00442,17,0.02204928664072633,25.28188293004228,25.28188293004228,639.1736044883631
hexc_00442,21,0.027237354085603113,41.935405616640466,41.935405616640466,1758.5782442321608
hexc_00442,25,0.0324254215304799,38.36866677803865,38.36866677803865,1472.154590324167
hexc_00442,31,0.040207522697795074,33.018558520135926,33.018558520135926,1090.2252067476406
hexc_00442,32,0.041504539559014265,32.12687381048548,32.12687381048548,1032.1360208348576
hexc_00442,37,0.04798962386511025,47.88871181053321,47.88871181053321,2293.328718872303
hexc_00442,45,0.058365758754863814,60.97549569152959,60.97549569152959,3718.0110748277434
hexc_00442,54,0.07003891050583658,52.9503333046755,52.9503333046755,2803.7377970762277
hexc_00442,64,0.08300907911802853,44.03348620817096,44.03348620817096,1938.9479076451823
hexc_00442,65,0.08430609597924774,43.14180149852051,43.14180149852051,1861.2150365377463
hexc_00442,79,0.10246433203631647,71.09873879571416,71.09873879571416,5055.030658341189
hexc_00442,95,0.12321660181582361,56.83178344130688,56.83178344130688,3229.851609119603
hexc_00442,115,0.14915693904020752,38.9980892482978,38.9980892482978,1520.8509650182007
hexc_00442,128,0.16601815823605706,27.406188022841903,27.406188022841903,751.099141943363
hexc_00442,140,0.1815823605706874,16.705971507036466,16.705971507036466,279.08948399391426
hexc_00442,169,0.2191958495460441,31.2876384404733,31.2876384404733,978.9163191817826
hexc_00442,204,0.26459143968871596,40.51919716230739,40.51919716230739,1641.8053386779395
hexc_00442,247,0.3203631647211414,22.39701653963789,22.39701653963789,501.62634987681315
hexc_00442,298,0.3865110246433204,17.361620234464795,17.361620234464795,301.42585716577736
hexc_00442,361,0.4682230869001297,42.066531757086125,42.066531757086125,1769.5930940699354
hexc_00442,436,0.5654993514915694,15.630702784202072,15.630702784202072,244.31886952806238
hexc_00442,527,0.6835278858625162,-25.072081232289236,25.072081232289236,628.6092573185101
hexc_00442,638,0.8274967574578469,37.71301556661035,37.71301556661035,1422.2715431273948
hexc_00442,771,1.0,0.0,0.0,0.0
hexc_00453,0,0.0,0.0,0.0,0.0
hexc_00453,1,0.001303780964797914,-0.9226548364691003,0.9226548364691003,0.8512919472598222
hexc_00453,2,0.002607561929595828,-1.8453096729382006,1.8453096729382006,3.4051677890392886
hexc_00453,3,0.003911342894393742,-2.7679645094073013,2.7679645094073013,7.661627525338402
hexc_00453,4,0.005215123859191656,-3.690619345876401,3.690619345876401,13.620671156157155
hexc_00453,5,0.00651890482398957,-4.613274182345502,4.613274182345502,21.282298681495558
hexc_00453,6,0.007822685788787484,-5.535929018814603,5.535929018814603,30.64651010135361
hexc_00453,7,0.009126466753585397,13.760737291516296,13.760737291516296,189.35789080612724
hexc_00453,8,0.010430247718383311,12.838082455047196,12.838082455047196,164.81636112259065
