extreme_type,candidate_id,block_id,x,y,h,p_star,E_theta_sign,row_regime,Q_R2Q,Q_energy_L2,Q_exc,C_bridge,C_exc,C_rms,post_P0_by_pstar,high_energy,threshold_relevant,forbidden,finite_certified_flag,surviving_proxy_flag,h_over_x,rho_proxy
top_C_bridge,hexc_00304,305,30386689,30386676,13,30386821,positive,finite_positive,0.0656901337841472,0.0289054037503281,0.0172880108593613,8.580752479596955,5.132055698999871,2.4770498769724036,False,True,False,False,True,False,4.2781890452098955e-07,4.2781890452098955e-07
top_C_bridge,hexc_00453,454,604143557,604142790,767,604143557,negative,post_P0_negative_tail,0.0613546266448391,0.0195894059694182,0.0067334208268465,8.008560508629008,2.752763825817252,1.3165992373922564,True,False,False,False,False,False,1.2695658028841645e-06,1.2695658028841645e-06
top_C_bridge,hexc_00442,443,604711937,604711166,771,604711937,negative,post_P0_negative_tail,0.0595213337383874,0.0188328980347233,0.0062676337811714,7.700000352930436,2.562578644990129,1.2658722602726313,True,False,False,False,False,False,1.2749872341283053e-06,1.2749872341283053e-06
top_C_bridge,hexc_00275,276,108562160,108561847,313,108562291,negative,finite_negative,0.0551202378966553,0.0219576117786852,0.0091059828634137,7.5172957888070675,3.117477771354786,1.308593230041159,False,False,False,False,True,False,2.8831408660255103e-06,2.8831408660255103e-06
top_C_bridge,hexc_00081,82,12782500,12782006,494,12782599,negative,finite_negative,0.0796044258439215,0.0277787667189073,0.0108684538700757,7.438244050688833,2.9102160350499746,1.2397073417814677,False,True,False,False,True,False,3.864658713084295e-05,3.864658713084295e-05
top_C_bridge,hexc_00355,356,33821509,33821502,7,33821677,positive,finite_positive,0.0654611569085146,0.0245850448951147,0.0155337822934355,7.389235181064235,4.668804596751205,2.612489152156346,False,False,False,False,True,False,2.069688848004978e-07,2.069688848004978e-07
top_C_bridge,hexc_00242,243,30781189,30781182,7,30781319,positive,finite_positive,0.0666639054628127,0.0247186134594574,0.0156184300412248,7.348868426896937,4.643374823426486,2.598217349353271,False,False,False,False,True,False,2.2741161818018145e-07,2.2741161818018145e-07
top_C_bridge,hexc_00198,199,39635782,39635564,218,39635819,positive,finite_positive,0.0588053295328899,0.0235535603972833,0.0085391222223537,7.2093575037210575,2.6136848879975476,1.2186038336257574,False,False,False,False,True,False,5.500080709899958e-06,5.500080709899958e-06
top_C_bridge,hexc_00026,27,1192781,1192323,458,1192781,negative,finite_negative,0.0967472985369818,0.036413013628854,0.0120403626533005,7.128590769352836,2.3571467867181815,1.2049517637873792,False,True,False,False,True,False,0.0003839766059318,0.0003839766059318
top_C_bridge,hexc_00662,663,604872091,604872087,4,604872131,positive,post_P0_positive_tail,0.0503724694200252,0.0173298733143556,0.0122977701368278,7.085660762263412,5.028186054290014,3.1688038259847766,True,False,False,False,False,False,6.612968360611632e-09,6.612968360611632e-09
top_C_bridge,hexc_00273,274,109547591,109546815,776,109547591,negative,finite_negative,0.0689354203592449,0.0201606811377659,0.0068967990800009,6.908850056190115,2.3634593685497056,1.1358079526822045,False,False,False,False,True,False,7.083679275065027e-06,7.083679275065027e-06
top_C_bridge,hexc_00059,60,3290983,3290975,8,3291137,positive,finite_positive,0.0730965487832678,0.0304825946938867,0.0205672364492246,6.864752116121557,4.631790087275691,2.288250705373845,False,True,False,False,True,False,2.430884632342373e-06,2.430884632342373e-06
