candidate_id,block_id,x,y,h,p_star,log_p_star,prime_event_count,W,K,rho,N_s,S_T,K_over_logpstar,K_over_logpstar_ST,PNT_prediction,PNT_residual_ratio,k_over_h,pnt_density_ratio,KS_stat,u_mean,u_std,anomalous,exceeds_cap,is_pnt_model_consistent
hexc_00040,41,604672261,604520611,151650,604672261,20.220197151857885,7420,3033676.629773508,2.1504475741786093,7.088585359010924e-07,41,1.4405551366662506,0.10635146423293011,0.07382672243913545,29.128308871513166,0.07382672243913545,0.048928453676228154,0.989342979668879,0.7394444846525617,0.08448545672400344,0.205456012781176,False,False,True
hexc_00063,64,604810421,604757400,53021,604810421,20.220425613170573,2571,1051188.9309305267,2.1420864345912927,2.0377749152049087e-06,41,1.5875568388622736,0.10593676293322159,0.06672942998950603,32.10107496689483,0.06672942998950603,0.04849022085588729,0.9804929037826813,0.7216845971292554,0.09140832831537987,0.21055153127235066,False,False,True
hexc_00104,105,604432601,604410439,22162,604432601,20.219800726352254,1062,434187.6454525263,8.953720835599166,2.06217770804309e-05,41,1.7364497679063118,0.44281944005164575,0.25501425277943174,35.11066827838624,0.25501425277943174,0.047919862828264596,0.9689300772216448,0.7041860270601623,0.09836107069671003,0.21525272844853388,False,False,True
hexc_00183,184,604356173,604335487,20686,604356173,20.21967427249738,1005,410878.7045005271,10.343278350394945,2.5173556665508988e-05,40,1.7492866547291575,0.5115452509768558,0.29243077433530096,35.37000636785015,0.29243077433530096,0.048583583099680944,0.9823442252663572,0.6973146089142416,0.10143696219665474,0.2177506338193766,False,False,True
hexc_00218,219,604167899,604161649,6250,604167899,20.21936269574705,290,118558.50123838447,20.08877423302316,0.0001694418706646,40,2.0187323136,0.9935414154892548,0.49216105017780926,40.817480834302984,0.49216105017780926,0.0464,0.9381784290826631,0.6694,0.114076,0.22493189721335655,False,False,True
hexc_00296,297,604724143,604718720,5423,604724143,20.22028295002937,254,103850.3529007753,7.676155432851152,7.391554499757357e-05,41,2.0605818049341407,0.3796265092739467,0.18423268048126834,41.66554713745055,0.18423268048126834,0.046837543794947444,0.9470683882182298,0.6709543363182111,0.11310902524477945,0.22373484496091256,False,False,True
hexc_00222,223,604848841,604844050,4791,604848841,20.220489135190732,218,89133.22770880035,34.17926461258425,0.0003834626602354,40,2.095805722838093,1.6903282796013257,0.8065290886372432,42.378216848118214,0.8065290886372432,0.04550198288457524,0.9200723505471884,0.6618712168649552,0.11755374660822374,0.22658270056568958,False,False,True
hexc_00227,228,604708931,604704593,4338,604708931,20.22025779444147,193,78909.72440457426,17.212625589363046,0.0002181306007497,40,2.125643391593817,0.8512564856663094,0.4004700360524883,42.98105735707788,0.4004700360524883,0.044490548639926235,0.8996103629154457,0.659047948363301,0.11890272014753342,0.22720866730652098,False,False,True
hexc_00214,215,604883911,604879711,4200,604883911,20.220547114938658,187,76458.7608888082,19.38552224181793,0.0002535421973423,40,2.1358816893424035,0.9587041404777904,0.44885638809561446,43.18869633128284,0.44885638809561446,0.04452380952380952,0.9002957882127449,0.6578571428571429,0.11935119047619047,0.22739710106891528,False,False,True
hexc_00334,335,604685377,604682818,2559,604685377,20.22021884271192,120,49062.859230318165,23.95246459907918,0.0004881995255645,39,2.303088303989887,1.1845798893374733,0.5143441036478273,46.56894952076575,0.5143441036478273,0.04689331770222743,0.9481931461998555,0.6372982234646948,0.13009889680464123,0.23263625598497237,False,False,True
