block_id,p_star,pos_y,pos_h,pos_theta_local_norm,neg_y,neg_h,neg_theta_local_norm,lag,neg_abs_over_pos
217,3236683,3236682,1,0.0622605346145852,,,,,
218,12784091,12784090,1,0.0573762950519638,,,,,
220,1513319,1513318,1,0.0653364058906387,,,,,
221,3452881,3452880,1,0.062012158141505,,,,,
222,3281627,3281626,1,0.0622073965135036,,,,,
224,30417889,30417888,1,0.0546682483182569,,,,,
225,30422863,30422680,3,0.0611802570819427,,,,,
226,39648883,39648882,1,0.0538903565361072,,,,,
227,17642453,17642326,3,0.062981403794995,,,,,
229,12421837,12421836,1,0.0574706798325747,,,,,
230,30405923,30405922,1,0.0546694197937272,,,,,
231,17591797,17591796,1,0.0563484825964836,,,,,
232,7103387,7103277,4,0.0553511856398291,,,,,
234,33928207,33928206,1,0.0543449974572264,,,,,
236,7114039,7114038,1,0.059363912863566,,,,,
237,1189109,1189108,1,0.0663759190947688,,,,,
239,1185979,1185978,1,0.0663874644969639,,,,,
240,3458053,3458052,1,0.062006432007354,,,,,
241,40846543,40846297,128,0.0186420686144074,,,,,
242,30338299,30338298,1,0.0546760498253001,,,,,
243,30781319,30781182,7,0.0568626034847033,,,,,
244,7108399,7108398,1,0.0593666951834059,,,,,
245,7114351,7114350,1,0.0593637590199632,,,,,
246,12808469,12808371,16,0.0461690329162983,,,,,
247,30364069,30364068,1,0.0546735213379358,,,,,
248,22048823,22048822,1,0.0556432611084996,,,,,
249,1197167,1197166,1,0.066346353591798,,,,,
250,12777763,12777762,1,0.0573779181230985,,,,,
251,12802759,12802758,1,0.0573715120978332,,,,,
252,39640253,39639838,294,0.0073188604745127,,,,,
253,153059,153058,1,0.0767459808386534,,,,,
254,109611739,109611738,1,0.0510997764116622,,,,,
255,33472553,33472329,4,0.0510536577711306,,,,,
256,33913801,33913800,1,0.0543462470661212,,,,,
257,7103077,7103076,1,0.0593693228910712,,,,,
259,1512751,1512750,1,0.0653379993168888,,,,,
260,108586733,108586732,1,0.0511242408134253,,,,,
261,3284137,3284136,1,0.0622044530282987,,,,,
262,7118317,7118316,1,0.0593618040879245,,,,,
263,39693439,39693438,1,0.0538871069476497,,,,,
264,31039823,31039822,1,0.0546080540824504,,,,,
265,33881387,33881386,1,0.0543490608809207,,,,,
266,40875397,40875396,1,0.0538023478613534,,,,,
267,359207,359206,1,0.0720644898643484,,,,,
270,17643289,17643288,1,0.0563392415972818,,,,,
272,39651113,39650618,347,0.0097158401781245,,,,,
273,30401963,30401962,1,0.0546698075916202,,,,,
277,7103683,7103682,1,0.0593690235709812,,,,,
278,30401417,30401416,1,0.0546698610651157,,,,,
280,33913261,33913260,1,0.0543462939183715,,,,,
281,108810601,108810600,1,0.0511188759785136,,,,,
282,1512877,1512876,1,0.0653376457872757,,,,,
283,17591999,17591998,1,0.0563484462858778,,,,,
284,30400757,30400756,1,0.0546699257048282,,,,,
286,1188899,1188898,1,0.0663766926301531,,,,,
287,108554851,108554850,1,0.0511250058335253,,,,,
288,108533687,108533470,3,0.0573481948942701,,,,,
289,187420763,187420762,1,0.049740672385038,,,,,
290,1200061,1200060,1,0.0663357901459158,,,,,
291,22052747,22052746,1,0.0556427123181621,,,,,
292,1196119,1196118,1,0.0663501860419012,,,,,
294,40836767,40836766,1,0.053805074950289,,,,,
295,30775879,30775878,1,0.0546334352933119,,,,,
296,12422077,12422076,1,0.0574706162903115,,,,,
298,30423359,30423255,4,0.0512995389049249,,,,,
300,108555463,108555462,1,0.0511249911460346,,,,,
302,30848879,30848878,1,0.0546263914492982,,,,,
303,155849,155848,1,0.0766406167450937,,,,,
305,30386821,30386676,13,0.0522437191890102,,,,,
306,17997751,17997750,1,0.0562764307389862,,,,,
307,17642591,17642590,1,0.056339366663129,,,,,
308,2275513,2275512,1,0.0636495014821801,,,,,
310,3459473,3459472,1,0.0620048615490405,,,,,
311,1516759,1516758,1,0.0653267699687681,,,,,
312,12785933,12785932,1,0.0573758227648104,,,,,
313,33868273,33868272,1,0.0543502001366919,,,,,
314,30402367,30402366,1,0.0546697680258361,,,,,
315,33926539,33926350,3,0.0608321023847929,,,,,
317,12783493,12783492,1,0.0573764483949254,,,,,
318,30820421,30820420,1,0.0546291351911239,,,,,
319,109684921,109684920,1,0.0510980393823076,,,,,
321,109471171,109470995,14,0.0468319996160824,,,,,
322,39669379,39669378,1,0.0538888612061281,,,,,
323,179438351,179438217,4,0.0470797305413001,,,,,
324,109683631,109683630,1,0.0510980699903657,,,,,
325,1190201,1190200,1,0.0663718991999174,,,,,
326,187501387,187501386,1,0.0497396115884831,,,,,
327,109497203,109497076,3,0.0573232309088009,,,,,
328,33489013,33488866,3,0.0608733598856568,,,,,
329,109452269,109452148,3,0.0573243900613778,,,,,
331,33415939,33415938,1,0.0543897978214996,,,,,
332,40835099,40835098,1,0.053805192767221,,,,,
333,445001,445000,1,0.0709767302044906,,,,,
334,40836461,40836460,1,0.0538050965637877,,,,,
336,12842771,12842770,1,0.0573612866806101,,,,,
337,3454739,3454738,1,0.0620100999656106,,,,,
339,108530069,108529950,1,0.0511255974816211,,,,,
340,40882771,40882770,1,0.0538018276172665,,,,,
341,7102457,7102456,1,0.0593696291556837,,,,,
342,40864051,40863879,4,0.0505474213053529,,,,,
343,1518239,1518238,1,0.0653226318701599,,,,,
345,31018529,31018450,3,0.0611180498705839,,,,,
346,40845443,40845352,1,0.0538044550444978,,,,,
348,12783283,12783282,1,0.0573765022463558,,,,,
349,7051327,7051326,1,0.0593949894643927,,,,,
350,178894987,178894798,3,0.0559695643377949,,,,,
351,33843569,33843568,1,0.0543523475814136,,,,,
352,109712341,109712340,1,0.0510973888768923,,,,,
353,179664509,179664508,1,0.0498451385866664,,,,,
354,30784619,30784618,1,0.0546325909865302,,,,,
355,33843947,33843946,1,0.054352314709925,,,,,
356,33821677,33821502,7,0.0566017416737003,,,,,
357,30978317,30978316,1,0.0546139471486721,,,,,
358,2275027,2275026,1,0.0636503621940717,,,,,
359,109548913,109548912,1,0.0511012686530033,,,,,
361,33862799,33862647,4,0.0510239841549303,,,,,
362,3441017,3441016,1,0.062025329723603,,,,,
363,17998027,17998026,1,0.0562763823689926,,,,,
364,12783557,12783556,1,0.0573764319832568,,,,,
365,1196653,1196652,1,0.0663482327733369,,,,,
366,178000301,178000300,1,0.0498681990919028,,,,,
367,444929,444928,1,0.0709775397104111,,,,,
368,108530371,108530370,1,0.051125593407958,,,,,
369,33877069,33877068,1,0.0543494359456534,,,,,
370,179411909,179411668,3,0.0559617942763139,,,,,
371,30801703,30801702,1,0.0546309413945658,,,,,
372,179380241,179380240,1,0.0498490609484484,,,,,
373,1198289,1198288,1,0.06634225473323,,,,,
374,30339893,30339892,1,0.0546758933569793,,,,,
375,33866071,33866070,1,0.054350391479501,,,,,
376,15937,15936,1,0.092664202109152,,,,,
378,108563563,108563562,1,0.0511247967613676,,,,,
380,3280747,3280746,1,0.0622084290910443,,,,,
381,22053061,22053060,1,0.055642668408432,,,,,
383,31019393,31019392,1,0.0546100101027406,,,,,
