rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,K_R,eta_aff,K_D,eta_times_KD,Q_exc,Q_energy_L2,C_end
K_R,1,hexc_00304,305,30386689,30386676,13,30386821,finite_positive,False,False,False,True,73.62931311610959,9.861270095805126e-06,7466514.191455994,73.62931311610959,0.0172880108593613,0.0289054037503281,8.580752479596972
K_R,2,hexc_00453,454,604143557,604142790,767,604143557,post_P0_negative_tail,True,False,False,False,64.13704142037176,8.37800899013996e-06,7655403.747579448,64.13704142037176,0.0067334208268465,0.0195894059694182,8.008560508628985
K_R,3,hexc_00442,443,604711937,604711166,771,604711937,post_P0_negative_tail,True,False,False,False,59.290005435129096,7.786089605810608e-06,7614862.97189312,59.290005435129096,0.0062676337811714,0.0188328980347233,7.700000352930452
K_R,4,hexc_00275,276,108562160,108561847,313,108562291,finite_negative,False,False,False,True,56.50973597641633,1.8522158874289463e-05,3050925.9940998172,56.50973597641633,0.0091059828634137,0.0219576117786852,7.517295788807058
K_R,5,hexc_00081,82,12782500,12782006,494,12782599,finite_negative,False,False,False,True,55.32747455760799,0.0001905539623356168,290350.6905837068,55.32747455760799,0.0108684538700757,0.0277787667189073,7.438244050688844
K_R,6,hexc_00355,356,33821509,33821502,7,33821677,finite_positive,False,False,False,True,54.6007965610797,5.261093137005674e-06,10378222.764586046,54.6007965610797,0.0155337822934355,0.0245850448951147,7.38923518106439
K_R,7,hexc_00242,243,30781189,30781182,7,30781319,finite_positive,False,False,False,True,54.00586715584355,5.094887652269624e-06,10600011.392162008,54.00586715584356,0.0156184300412248,0.0247186134594574,7.348868426896997
K_R,8,hexc_00198,199,39635782,39635564,218,39635819,finite_positive,False,False,False,True,51.97483561645937,2.945504504656541e-05,1764547.8231078063,51.974835616459366,0.0085391222223537,0.0235535603972833,7.209357503721075
K_R,9,hexc_00026,27,1192781,1192323,458,1192781,finite_negative,False,False,False,True,50.81680635690252,0.0013147173309265249,38652.26780047862,50.81680635690251,0.0120403626533005,0.036413013628854,7.12859076935284
K_R,10,hexc_00662,663,604872091,604872087,4,604872131,post_P0_positive_tail,True,False,False,False,50.2065884378795,2.594248423585903e-07,193530380.44244578,50.2065884378795,0.0122977701368278,0.0173298733143556,7.085660762263424
