extreme_type,candidate_id,block_id,x,y,h,p_star,Q_energy_L2,Q_exc,C_bridge,row_regime,post_P0_by_pstar,threshold_relevant,forbidden,finite_certified_flag,high_energy,B_L2_exported,B_abs_max,increment_centered_sqsum,sqrt_increment_centered_sqsum_over_sqrt_h,increment_centered_rms,R_inc,C_bridge_over_centered_increment_rms,increment_centered_abs_max
top_C_bridge,hexc_00304,305,30386689,30386676,13,30386821,0.0289054037503281,0.0172880108593613,8.580752479596955,finite_positive,False,False,False,True,True,30.93834304725165,18.50388997128084,743.6733125450253,7.56344097792403,8.222327211733942,1.1345037932658222,1.043591705685406,10.875567469326803
top_C_bridge,hexc_00453,454,604143557,604142790,767,604143557,0.0195894059694182,0.0067334208268465,8.008560508629008,post_P0_negative_tail,True,False,False,False,False,221.79520005948183,76.23714683878461,23048.27323048869,5.481778900080928,25.302762931308887,1.4609419049190016,0.31650932865989323,63.39630761253976
top_C_bridge,hexc_00442,443,604711937,604711166,771,604711937,0.0188328980347233,0.0062676337811714,7.700000352930436,post_P0_negative_tail,True,False,False,False,False,213.80503780426838,71.15483103322367,26822.382303571914,5.898227030710173,27.29590033501771,1.3054771057199108,0.28209365723145474,124.51706095713583
top_C_bridge,hexc_00275,276,108562160,108561847,313,108562291,0.0219576117786852,0.0091059828634137,7.5172957888070675,finite_negative,False,False,False,True,False,132.99453883757167,55.15381198050545,7881.237818143805,5.017935186946474,15.693587283250249,1.4980854691711376,0.4790042998537543,56.51457529874162
top_C_bridge,hexc_00081,82,12782500,12782006,494,12782599,0.0277787667189073,0.0108684538700757,7.438244050688833,finite_negative,False,False,False,True,True,165.32323621154507,64.68278396224969,8086.905420816292,4.046017040039758,15.20047501214193,1.8384114493535968,0.48934286887398365,48.12081659466453
top_C_bridge,hexc_00355,356,33821509,33821502,7,33821677,0.0245850448951147,0.0155337822934355,7.389235181064235,finite_positive,False,False,False,True,False,19.550078668065368,12.35249588295892,503.1066891472788,8.477758203906088,8.477758203906088,0.8716024924678444,0.8716024924678412,9.788584465366771
top_C_bridge,hexc_00242,243,30781189,30781182,7,30781319,0.0247186134594574,0.0156184300412248,7.348868426896937,finite_positive,False,False,False,True,False,19.443278275303793,12.28521502684498,497.5897896725949,8.431147944824213,8.431147944824213,0.8716331957391806,0.8716331957391786,9.734759780476193
top_C_bridge,hexc_00198,199,39635782,39635564,218,39635819,0.0235535603972833,0.0085391222223537,7.2093575037210575,finite_positive,False,False,False,True,False,106.44488792040764,38.59059490648997,3719.1916868972157,4.1304373043561124,10.45887139184217,1.7454223300079679,0.6893054932623318,25.659489357377826
top_C_bridge,hexc_00026,27,1192781,1192323,458,1192781,0.036413013628854,0.0120403626533005,7.128590769352836,finite_negative,False,False,False,True,True,152.55850455304468,50.44514412859007,7682.7215134663875,4.095668580476898,15.032045684300384,1.7405194363951169,0.4742262576275966,51.35987745894827
top_C_bridge,hexc_00662,663,604872091,604872087,4,604872131,0.0173298733143556,0.0122977701368278,7.085660762263412,post_P0_positive_tail,True,False,False,False,False,14.171321524526851,10.056372108580035,398.7726084824825,9.984645818486534,9.984645818486534,0.7096556944608241,0.7096556944608229,10.056372108580035
top_C_bridge,hexc_00273,274,109547591,109546815,776,109547591,0.0201606811377659,0.0068967990800009,6.908850056190115,finite_negative,False,False,False,True,False,192.45829226292332,65.83835952501795,18804.123307589005,4.922612889961877,22.854687889886815,1.4034924562682098,0.30229465786086174,74.24608857073707
top_C_bridge,hexc_00059,60,3290983,3290975,8,3291137,0.0304825946938867,0.0205672364492246,6.864752116121557,finite_positive,False,False,False,True,True,19.416451089897027,13.100680718981152,411.7849553601712,7.174476944002357,7.174476944002357,0.9568296294910087,0.9568296294910084,9.261342708004065
top_C_bridge,hexc_00303,304,604870961,604869251,1710,604870961,0.0165421719649012,0.0064493327137434,6.763592223850025,post_P0_negative_tail,True,False,False,False,False,279.68905485842146,109.04298268701676,100031.72671870112,7.648404134223688,53.46072703228074,0.8843141791613153,0.12651515606523686,195.62326320154799
