block_id,p_star,y,h,local_theta_sign,theta_end_error,theta_end_norm,E_theta_local,theta_local_norm,Q_theta,Q_R2Q,B2_active_flag,covered_flag,finite_certificate_flag,negative_transfer_flag,positive_harmless_flag,Cplus_value,O2_B3_repaid_flag,tail_flag,near_forbidden_R2Q,forbidden_R2Q,crossing_status
34,127,126,1,positive,-15.086008474003194,-0.057046719039518,3.844187086458591,0.1638184076850698,0.1638184076850698,0.2157084836048593,True,True,True,False,True,0.2157084836048593,False,False,False,False,positive_harmless
11,211,210,1,positive,-17.08463559501658,-0.0410634379539066,4.351858133476067,0.1519376986384418,0.1519376986384418,0.1912764152417241,True,True,True,False,True,0.1912764152417241,False,False,False,False,positive_harmless
59,293,292,1,positive,-15.974987924665244,-0.0289256856290319,4.680172609017068,0.1450570376438435,0.1450570376438435,0.1707575979731007,True,True,True,False,True,0.1707575979731007,False,False,False,False,positive_harmless
106,479,478,1,positive,-23.04287019193447,-0.0276413415878818,5.171700597410915,0.135776208151487,0.135776208151487,0.1648068982246287,True,True,True,False,True,0.1648068982246287,False,False,False,False,positive_harmless
202,673,672,1,positive,-26.113791346673334,-0.0237392822005624,5.511745329644728,0.1299853261832927,0.1299853261832927,0.1551610461475472,True,True,True,False,True,0.1551610461475472,False,False,False,False,positive_harmless
37,1657,1656,1,positive,-40.14725551851916,-0.01794875206206,6.412764017426562,0.1167037763024239,0.1167037763024239,0.1389495863976313,True,True,True,False,True,0.1389495863976313,False,False,False,False,positive_harmless
137,2819,2818,1,positive,-46.13954564344658,-0.0137699470925275,6.944137491114112,0.1100334695184228,0.1100334695184228,0.1252023670442801,True,True,True,False,True,0.1252023670442801,False,False,False,False,positive_harmless
76,2879,2878,1,positive,-50.450259322350576,-0.0148200403725385,6.965198290612176,0.1097843161595848,0.1097843161595848,0.1282261417306278,True,True,True,False,True,0.1282261417306278,False,False,False,False,positive_harmless
1136,5897,5896,1,positive,-64.53426595437577,-0.0111484717154571,7.682199026000504,0.1019121772932965,0.1019121772932965,0.1166604661931528,True,True,True,False,True,0.1166604661931528,False,False,False,False,positive_harmless
100,6421,6420,1,positive,-73.50954051980898,-0.0119345967754393,7.767329147794049,0.1010501788281202,0.1010501788281202,0.1159896775054861,True,True,True,False,True,0.1159896775054861,False,False,False,False,positive_harmless
2,24317,24178,3,positive,-74.5195169333092,-0.0047039706595976,17.186562246627208,0.0972921006486078,0.0972921006486078,0.1157979799474991,True,True,True,False,True,0.1157979799474991,False,False,False,False,positive_harmless
85,10357,10356,1,positive,-73.38927172170952,-0.0084365036208226,8.24541789858888,0.0964627367254228,0.0964627367254228,0.1086725867349362,True,True,True,False,True,0.1086725867349362,False,False,False,False,positive_harmless
86,15859,15858,1,positive,-107.6651510828433,-0.0091400855592023,8.6714924414986,0.0927057894159821,0.0927057894159821,0.1069835705399953,True,True,True,False,True,0.1069835705399953,False,False,False,False,positive_harmless
376,15937,15936,1,positive,-88.92227606655433,-0.0075228044472947,8.676398728859631,0.092664202109152,0.092664202109152,0.1034376505744083,True,True,True,False,True,0.1034376505744083,False,False,False,False,positive_harmless
678,16183,16182,1,positive,-121.86728258605216,-0.0101989672882047,8.691716587516886,0.0925345985959794,0.0925345985959794,0.1069747307954135,True,True,True,False,True,0.1069747307954135,False,False,False,False,positive_harmless
143,42533,42532,1,positive,-148.51644691013644,-0.0063395322533387,9.658035524203411,0.0850226176164053,0.0850226176164053,0.0954963866947735,True,True,True,False,True,0.0954963866947735,False,False,False,False,positive_harmless
13,42899,42898,1,positive,-141.32867865182925,-0.0059972808444038,9.666603794621116,0.0849613864787405,0.0849613864787405,0.0968247715409328,True,True,True,False,True,0.0968247715409328,False,False,False,False,positive_harmless
83,42923,42922,1,positive,-143.9948651453742,-0.0061080713427932,9.66716309178561,0.0849573926179324,0.0849573926179324,0.0952612074725035,True,True,True,False,True,0.0952612074725035,False,False,False,False,positive_harmless
15,43133,43132,1,positive,-140.6063379862317,-0.0059443569379127,9.672043644375696,0.0849225570081055,0.0849225570081055,0.0943896668138165,True,True,True,False,True,0.0943896668138165,False,False,False,False,positive_harmless
16,58309,58308,1,positive,-184.52605011811104,-0.006345978904787,9.973511734352114,0.0828241215201216,0.0828241215201216,0.0939517191622745,True,True,True,False,True,0.0939517191622745,False,False,False,False,positive_harmless
1,180530237,179845447,684790,negative,-7329.511083602905,-0.0015092855944754,-3089.9881332697114,-0.010331169902637,0.010331169902637,1.8193520399038576,True,True,True,True,False,,True,False,True,True,negative_transferred_repaid
7,30774449,30670319,104130,negative,-3146.412768442184,-0.0019078113651647,-928.3530182520336,-0.0096769856776032,0.0096769856776032,0.862526348366495,True,True,True,True,False,,True,False,True,False,negative_transferred_repaid
41,604672261,604520611,151650,negative,-13230.68946671486,-0.0013159872506794,-1617.0683062109456,-0.0101563202445796,0.0101563202445796,0.7568596623500748,True,True,False,True,False,,True,True,True,False,negative_transferred_repaid
3,30974597,30910184,64413,negative,-3143.99026767537,-0.0018987453894903,-1027.9446158131832,-0.0136135479206817,0.0136135479206817,0.6812241515207513,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
24,180619079,180557417,61662,negative,-7368.083342403173,-0.0015167766599432,-1166.673386312199,-0.0129983853165777,0.0129983853165777,0.5459231094474968,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
10,178298621,178254856,43765,negative,-7285.228781759739,-0.0015115032059114,-1758.548029879923,-0.0232879166509092,0.0232879166509092,0.4625799992422776,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
64,604810421,604757400,53021,negative,-13225.305972456932,-0.0013152718046089,-1034.3984432700745,-0.0109871060310642,0.0109871060310642,0.4494568065190746,True,True,False,True,False,,True,True,False,False,negative_transferred_repaid
25,109813367,109790208,23159,negative,-5788.670831233263,-0.0016115248032551,-719.8064293124298,-0.0137988077432052,0.0137988077432052,0.3557665519303423,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
21,30847123,30831334,15789,negative,-3122.351781517267,-0.0018904733671001,-424.33160930738086,-0.0113559673856094,0.0113559673856094,0.338124053326903,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
9,12883477,12871995,11482,negative,-2058.0660384446383,-0.0021392825173867,-480.68150179983786,-0.0167368613063616,0.0167368613063616,0.3212949859833325,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
49,33902159,33888759,13400,negative,-3262.648028358817,-0.0018638415614247,-291.8733586694325,-0.0083867655278248,0.0083867655278248,0.3075518627750951,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
105,604432601,604410439,22162,negative,-13218.100960731506,-0.0013150473247603,-688.5913402072983,-0.0113136656271269,0.0113136656271269,0.2914811871626422,True,True,False,True,False,,True,True,False,False,negative_transferred_repaid
184,604356173,604335487,20686,negative,-13220.706561803818,-0.0013154061701336,-365.2446493016978,-0.0062115114780855,0.0062115114780855,0.2819169646022565,True,True,False,True,False,,True,True,False,False,negative_transferred_repaid
75,113195507,113182659,12848,negative,-5860.925346642733,-0.0016018261842435,-330.4150379443963,-0.0084762905367088,0.0084762905367088,0.2647255241959858,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
62,113166227,113154493,11734,negative,-5881.228853285313,-0.0016076280361705,-570.3217879884924,-0.0153099168444497,0.0153099168444497,0.2503069484559692,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
40,30417481,30409154,8327,negative,-3109.5011064745486,-0.0018990304108167,-228.7179970545885,-0.0084422631137849,0.0084422631137849,0.24963148266117,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
44,109588091,109577354,10737,negative,-5782.091780498624,-0.0016117043962495,-629.3445955758762,-0.0177226687748103,0.0177226687748103,0.2415685632788372,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
79,109546081,109535495,10586,negative,-5775.924155026674,-0.0016103606118115,-330.4584709322444,-0.0093724045147303,0.0093724045147303,0.2408302537232801,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
39,39690667,39682692,7975,negative,-3544.9712293744087,-0.0018380607773058,-364.0109776889212,-0.0133149790272631,0.0133149790272631,0.2349256240499423,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
28,109670797,109660803,9994,negative,-5773.723763719201,-0.0016086338239377,-700.5003791113922,-0.0204449190937458,0.0204449190937458,0.2345732370876761,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
48,3440807,3439819,811,positive,-998.3029377148488,-0.0023757630357359,46.90968440981942,0.0072712465886281,0.0072712465886281,0.1225172337511368,True,True,True,False,True,0.1225172337511368,False,False,False,False,positive_harmless
56,1511527,1511046,403,positive,-704.6350166539196,-0.0028310294832277,9.625130217388572,0.0023682517122969,0.0023682517122969,0.0952884508457212,True,True,True,False,True,0.0952884508457212,False,False,False,False,positive_harmless
