row_regime,rows,Q_exc_max,Q_exc_mean,Q_exc_q95,ratio_max,ratio_q95,Q_exc_above_0p025_count,missing_Q_exc_rows
finite_negative,124,0.0128661873649445,0.006132662528095998,0.010382196042892559,0.6230915567213193,0.5027953123220938,0,0
finite_positive,1200,0.0205672364492246,0.0007453933121031794,0.009953902962999214,0.9960426514166575,0.4820536742350548,0,0
forbidden_negative,1,0.0022301154184481,0.0022301154184481,0.0022301154184481,0.10800138753886686,0.10800138753886686,0,0
post_P0_negative_tail,21,0.0069214615088821,0.004945313108891276,0.0067334208268465,0.33519675285520323,0.32609020419606155,0,0
post_P0_positive_tail,120,0.0122977701368278,0.00025857183191116086,8.89766010036464e-15,0.5955639010539189,4.3090130167222927e-13,0,0
threshold_relevant_negative,2,0.0037875901851982,0.00262870427163985,0.003671701593842365,0.18342772398509347,0.1778154007112314,0,0
