candidate_id,block_id,x,y,h,p_star,E_theta_sign,post_P0_flag,finite_zone_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon,bridge_excursion_raw,bridge_excursion_argmax,scale_denominator,threshold_relevant_flag,forbidden_flag,row_regime,bridge_sample_count,bridge_sample_min_t,bridge_sample_max_t,bridge_energy_raw,bridge_energy_mean,bridge_energy_rms,bridge_energy_max,bridge_samples_source,Q_exc_above_0p025_flag,missing_Q_exc_flag,bridge_samples_available_flag,bridge_energy_available_flag,Q_energy_sum,Q_energy_rms,Q_exc_over_Q_energy_rms,Q_exc_over_Q_energy_sum,V2_row_available_flag,V2_row,sqrt_V2_row,Q_exc_over_sqrt_V2_row,V2_global,sqrt_V2_global,Q_exc_over_sqrt_V2_global,variance_proxy_mode
hexc_00000,1,180530237,179845447,684790,180530237,negative,False,True,-3089.9881332697114,1.8193520399038576,1.8091175489119344,0.0022301154184481,,667.0135370697717,179860179,299093.72920882725,True,True,forbidden_negative,41.0,179845447.0,180530237.0,2903761.011298771,70823.43929997002,266.12673540997343,667.0135370697717,prime_mesh_r2q_o2p3_bridge_excursion_worst_paths.csv,False,False,True,True,0.0056973529810874675,0.000889777047863694,2.506375528344415,0.39143009496708986,False,,,,0.0004263792000474,0.0206489515483821,0.10800138753886686,partial_row_level_energy_available
hexc_00001,2,24181,24178,3,24317,positive,False,True,17.186562246627208,0.1157979799474991,0.1106139903704657,0.0184358992034248,,3.2566850455473286,24180,176.64910236341098,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.8928249533748992,partial_row_level_energy_available
hexc_00002,3,30974597,30910184,64413,30974597,negative,False,True,-1027.9446158131832,0.6812241515207513,0.6643586881865706,0.0022416133345536,,169.26185381026153,30957127,75508.94313535435,False,False,finite_negative,41.0,30910184.0,30974597.0,136547.70983287788,3330.431947143363,57.70989470743611,169.26185381026153,prime_mesh_r2q_o2p3_bridge_excursion_worst_paths.csv,False,False,True,True,0.004893772978367456,0.0007642789358604534,2.9329780390060196,0.45805421388823675,False,,,,0.0004263792000474,0.0206489515483821,0.1085582156218114,partial_row_level_energy_available
hexc_00003,4,59921,59920,1,59921,positive,False,True,10.0007823069704,0.0921982535693211,0.0882306914983774,2.348567539256741e-16,,2.8421709430404014e-14,59921,121.017211365353,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,1.1373785897815997e-14,partial_row_level_energy_available
hexc_00004,5,356077,355293,784,356077,negative,False,True,-4.315460261267276,0.1566810093663226,0.1351797213221275,0.0128661873649445,,58.86631372712248,355941,4575.2725385852,False,False,finite_negative,37.0,355293.0,356077.0,17024.766230790614,460.128817048395,21.45061344223971,58.86631372712248,prime_mesh_r2q_hexc_path_shape_worst_paths.csv,False,False,True,True,0.02851829843970666,0.004688379383159726,2.7442718076866366,0.45115550607432525,False,,,,0.0004263792000474,0.0206489515483821,0.6230915567213193,partial_row_level_energy_available
hexc_00005,6,3448507,3446024,2483,3448507,negative,False,True,-285.247239607314,0.1786966438467436,0.1494490028165924,0.0076387824505859,,86.25508396793089,3447295,11291.73196460307,False,False,finite_negative,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.3699356082408174,partial_row_level_energy_available
hexc_00006,7,30774449,30670319,104130,30774449,negative,False,True,-928.3530182520336,0.862526348366495,0.8528427097579773,0.0037875901851982,,363.3590972929378,30684688,95934.11101151556,True,False,threshold_relevant_negative,41.0,30670319.0,30774449.0,546004.5707118717,13317.184651509066,115.40010680891533,363.3590972929378,prime_mesh_r2q_o2p3_bridge_excursion_worst_paths.csv,False,False,True,True,0.007702382532338346,0.0012029100555803675,3.14868943661029,0.49174267433434465,False,,,,0.0004263792000474,0.0206489515483821,0.18342772398509347,partial_row_level_energy_available
hexc_00007,8,3452747,3451296,1451,3452747,negative,False,True,-246.6432758578178,0.1383470038914393,0.1049756413821095,0.0076429115920426,,65.98354433162308,3451634,8633.299435299174,False,False,finite_negative,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.3701355768177704,partial_row_level_energy_available
hexc_00008,9,12883477,12871995,11482,12883477,negative,False,True,-480.68150179983786,0.3212949859833325,0.3009444286825112,0.0039191521021917,,112.55777793578729,12878725,28719.93099549272,False,False,finite_negative,39.0,12871995.0,12883477.0,39642.26836207528,1016.4684195403918,31.88210186829582,112.55777793578729,prime_mesh_r2q_o2p3_bridge_excursion_worst_paths.csv,False,False,True,True,0.006932595429407138,0.0011101037071885502,3.5304378111819377,0.5653224888282364,False,,,,0.0004263792000474,0.0206489515483821,0.1897990846173871,partial_row_level_energy_available
hexc_00009,10,178298621,178254856,43765,178298621,negative,False,True,-1758.548029879923,0.4625799992422776,0.437251926315424,0.0025143310542018,,189.86549926782936,178261863,75513.32548295001,False,False,finite_negative,40.0,178254856.0,178298621.0,158688.08933025305,3967.202233256326,62.98573039392594,189.86549926782936,prime_mesh_r2q_o2p3_bridge_excursion_worst_paths.csv,False,False,True,True,0.005275317087686002,0.000834100868834698,3.014420855015426,0.4766217864080473,False,,,,0.0004263792000474,0.0206489515483821,0.12176555542350549,partial_row_level_energy_available
hexc_00010,11,211,210,1,211,positive,False,True,4.351858133476067,0.1912764152417241,0.1755617761599286,0.0,,0.0,210,28.642385480853928,False,False,finite_positive,,,,,,,,,False,False,False,False,,,,,False,,,,0.0004263792000474,0.0206489515483821,0.0,partial_row_level_energy_available
