row_regime,rows,Q_delta_D_max,Q_R2Q_max,DeltaD_norm_signed_min,DeltaD_norm_signed_max,E_theta_norm_min,E_theta_norm_max,threshold_relevant_rows,sign_inconsistent_rows,failures
forbidden_negative,1,1.8091175489119344,1.8193520399038576,-1.8091175489119342,-1.8091175489119342,-0.010331169902637048,-0.010331169902637048,1,0,0
threshold_relevant_negative,2,0.8528427097579773,0.862526348366495,-0.8528427097579773,-0.7467076670478365,-0.010156320244579683,-0.009676985677603223,2,0,0
subthreshold_negative,145,0.6643586881865706,0.6812241515207513,-0.6643586881865706,-0.03829367997107142,-0.028568831384367565,-0.00019785343061961378,0,0,0
positive_harmless,1320,0.1926535586334653,0.2157084836048593,-0.19265355863346534,-0.044323988539764124,0.00024879401090592063,0.16381840768506986,0,1320,0
