x,p_star,y,h,side,source_coordinate,block_id,Q_theta,Q_R2Q,E_theta_local,theta_local_norm,covered_flag,finite_certificate_flag,tail_flag,B2_active_flag,negative_transfer_flag,positive_harmless_flag,Cplus_value,O2_B3_repaid_flag,scale_ratio_local_to_global,scale_ratio_global_to_local,sign_match,scale_compatibility_ok,localization_ok,crossing_status,post_P0,failure_reason
180530237,180530237,179845447.0,684790.0,negative,theta_local,1,0.010331169902637,1.8193520399038576,-3089.9881332697114,-0.010331169902637,True,True,False,True,True,False,,True,0.061589081692324424,16.23664410188187,True,True,True,negative_transferred_repaid,False,
24181,24317,24178.0,3.0,positive,theta_local,2,0.0972921006486078,0.1157979799474991,17.186562246627208,0.0972921006486078,True,True,False,True,False,True,0.1157979799474991,False,0.011150799532227373,89.67966800137155,True,True,True,positive_harmless,False,
30974597,30974597,30910184.0,64413.0,negative,theta_local,3,0.0136135479206817,0.6812241515207513,-1027.9446158131832,-0.0136135479206817,True,True,False,True,True,False,,True,0.0456020042802328,21.928860710919942,True,True,True,negative_transferred_repaid,False,
59921,59921,59920.0,1.0,positive,theta_local,4,0.082639338604307,0.0921982535693211,10.0007823069704,0.082639338604307,True,True,False,True,False,True,0.0921982535693211,False,0.004085173196172094,244.78766308782798,True,True,True,positive_harmless,False,
356077,356077,355293.0,784.0,negative,theta_local,5,0.0009432138140128,0.1566810093663226,-4.315460261267276,-0.0009432138140128,True,True,False,True,True,False,,True,0.046923032353725275,21.311495652318147,True,True,True,negative_transferred_repaid,False,
3448507,3448507,3446024.0,2483.0,negative,theta_local,6,0.0252616020732246,0.1786966438467436,-285.247239607314,-0.0252616020732246,True,True,False,True,True,False,,True,0.026833220770958018,37.26723707659851,True,True,True,negative_transferred_repaid,False,
30774449,30774449,30670319.0,104130.0,negative,theta_local,7,0.0096769856776032,0.862526348366495,-928.3530182520336,-0.0096769856776032,True,True,False,True,True,False,,True,0.05816915985417842,17.191240212285233,True,True,True,negative_transferred_repaid,False,
3452747,3452747,3451296.0,1451.0,negative,theta_local,8,0.0285688313843675,0.1383470038914393,-246.6432758578178,-0.0285688313843675,True,True,False,True,True,False,,True,0.020499880428897634,48.78077233027911,True,True,True,negative_transferred_repaid,False,
12883477,12883477,12871995.0,11482.0,negative,theta_local,9,0.0167368613063616,0.3212949859833325,-480.68150179983786,-0.0167368613063616,True,True,False,True,True,False,,True,0.029853291940837728,33.49714336300892,True,True,True,negative_transferred_repaid,False,
178298621,178298621,178254856.0,43765.0,negative,theta_local,10,0.0232879166509092,0.4625799992422776,-1758.548029879923,-0.0232879166509092,True,True,False,True,True,False,,True,0.0156671309818421,63.827895557838936,True,True,True,negative_transferred_repaid,False,
211,211,210.0,1.0,positive,theta_local,11,0.1519376986384418,0.1912764152417241,4.351858133476067,0.1519376986384418,True,True,False,True,False,True,0.1912764152417241,False,0.06884283908215143,14.52583904633395,True,True,True,positive_harmless,False,
3279709,3279709,3278912.0,797.0,negative,theta_local,12,0.0262586899807756,0.1060058846880691,-166.86828088206357,-0.0262586899807756,True,True,False,True,True,False,,True,0.015588757633318009,64.14879386300098,True,True,True,negative_transferred_repaid,False,
42899,42899,42898.0,1.0,positive,theta_local,13,0.0849613864787405,0.0968247715409328,9.666603794621116,0.0849613864787405,True,True,False,True,False,True,0.0968247715409328,False,0.004828101767762978,207.12073773526396,True,True,True,positive_harmless,False,
1195591,1195669,1195386.0,205.0,positive,theta_local,14,0.0067422977497207,0.0899443884131837,18.90523282037472,0.0067422977497207,True,True,False,True,False,True,0.0899443884131837,False,0.013094522345503177,76.3678104183321,True,True,True,positive_harmless,False,
43133,43133,43132.0,1.0,positive,theta_local,15,0.0849225570081055,0.0943896668138165,9.672043644375696,0.0849225570081055,True,True,False,True,False,True,0.0943896668138165,False,0.004814987536601454,207.68485741623053,True,True,True,positive_harmless,False,
58309,58309,58308.0,1.0,positive,theta_local,16,0.0828241215201216,0.0939517191622745,9.973511734352114,0.0828241215201216,True,True,False,True,False,True,0.0939517191622745,False,0.004141257194078538,241.47256572952548,True,True,True,positive_harmless,False,
59333,59333,59332.0,1.0,positive,theta_local,17,0.0827060643791465,0.0929815072257821,9.990920922612805,0.0827060643791465,True,True,False,True,False,True,0.0929815072257821,False,0.004105365668222031,243.58366119261774,True,True,True,positive_harmless,False,
3241093,3241093,3239129.0,1964.0,negative,theta_local,18,0.0165731100488926,0.159654089699117,-165.06704136906455,-0.0165731100488926,True,True,False,True,True,False,,True,0.02461642579007996,40.62328172772282,True,True,True,negative_transferred_repaid,False,
1515197,1515197,1513853.0,1344.0,negative,theta_local,19,0.0085184969239803,0.1510851987794436,-63.24655312102391,-0.0085184969239803,True,True,False,True,True,False,,True,0.029782769714359624,33.57646080572065,True,True,True,negative_transferred_repaid,False,
58511,58511,58510.0,1.0,positive,theta_local,20,0.0828006431181152,0.0923670994574258,9.97697004973177,0.0828006431181152,True,True,False,True,False,True,0.0923670994574258,False,0.004134102494940063,241.89047108143802,True,True,True,positive_harmless,False,
30847123,30847123,30831334.0,15789.0,negative,theta_local,21,0.0113559673856094,0.338124053326903,-424.33160930738086,-0.0113559673856094,True,True,False,True,True,False,,True,0.022624030613567287,44.20078884618885,True,True,True,negative_transferred_repaid,False,
60209,60209,60208.0,1.0,positive,theta_local,22,0.0826069335200711,0.0940510554686493,10.005577121783782,0.0826069335200711,True,True,False,True,False,True,0.0940510554686493,False,0.004075391102211499,245.37522287305208,True,True,True,positive_harmless,False,
354553,354619,354550.0,3.0,positive,theta_local,23,0.0797526025198991,0.0920232096308952,22.55722059933116,0.0797526025198991,True,True,False,True,False,True,0.0920232096308952,False,0.0029089261571807316,343.76946885760015,True,True,True,positive_harmless,False,
180619079,180619079,180557417.0,61662.0,negative,theta_local,24,0.0129983853165777,0.5459231094474968,-1166.673386312199,-0.0129983853165777,True,True,False,True,True,False,,True,0.018476809950255735,54.12189672850746,True,True,True,negative_transferred_repaid,False,
109813367,109813367,109790208.0,23159.0,negative,theta_local,25,0.0137988077432052,0.3557665519303423,-719.8064293124298,-0.0137988077432052,True,True,False,True,True,False,,True,0.014522196119144612,68.86010847090131,True,True,True,negative_transferred_repaid,False,
230563,230647,230560.0,3.0,positive,theta_local,26,0.0821469680902342,0.0944180902326222,21.69655017143579,0.0821469680902342,True,True,False,True,False,True,0.0944180902326222,False,0.00360737625360393,277.2097861987519,True,True,True,positive_harmless,False,
1192781,1192781,1192323.0,458.0,negative,theta_local,27,0.0091301930976054,0.0967472985369818,-38.252494546276125,-0.0091301930976054,True,True,False,True,True,False,,True,0.019595321021403343,51.03259083674781,True,True,True,negative_transferred_repaid,False,
109670797,109670797,109660803.0,9994.0,negative,theta_local,28,0.0204449190937458,0.2345732370876761,-700.5003791113922,-0.0204449190937458,True,True,False,True,True,False,,True,0.009546060286687162,104.75525713938657,True,True,True,negative_transferred_repaid,False,
3456977,3456977,3455716.0,1261.0,negative,theta_local,29,0.0070243637516301,0.1341559286414388,-56.54292508843059,-0.0070243637516301,True,True,False,True,True,False,,True,0.019098941489281478,52.35892264297528,True,True,True,negative_transferred_repaid,False,
4994789,4994789,4991760.0,3029.0,negative,theta_local,30,0.0087024175108216,0.1879865387221068,-113.94054074237602,-0.0087024175108216,True,True,False,True,True,False,,True,0.02462584056341722,40.60775092832951,True,True,True,negative_transferred_repaid,False,
7108243,7108243,7105465.0,2778.0,negative,theta_local,31,0.0061137931253432,0.1766899326140388,-80.20709910296955,-0.0061137931253432,True,True,False,True,True,False,,True,0.01976901303120424,50.58421472137016,True,True,True,negative_transferred_repaid,False,
3293113,3293113,3292080.0,1033.0,negative,theta_local,32,0.016240843463246,0.1154116378424172,-117.56184933337444,-0.016240843463246,True,True,False,True,True,False,,True,0.01771115337926206,56.461596745635845,True,True,True,negative_transferred_repaid,False,
