candidate_id,block_id,p_star,y,h,sample_count,post_P0_flag,C_N_used,component_total_delta,component_comp_delta,component_prime_delta,B_comp_abs_max,B_prime_abs_max,B_total_abs_max,reconstruction_abs_error_max,reconstruction_abs_error_mean,reconstruction_l2_error,component_identity_pass_flag,E_comp,E_prime,inner_comp_prime,E_total,E_unreduced,cancel_term_2inner,cos_comp_prime,cancellation_fraction,K_comp,K_prime,K_total,K_unreduced,C_comp,C_prime,C_total,C_unreduced,smallness_driven_flag,cancellation_driven_flag,mixed_safe_flag,component_proof_source,post_P0_component_bound_failure_flag,component_audit_failure_flag,Q_R2Q,Q_delta_D,Q_exc,E_theta,E_theta_sign,threshold_relevant_flag,forbidden_flag,finite_zone_flag,post_P0_flag_primitive,positive_harmless_flag,negative_transfer_flag,O2_B3_repaid_flag,row_status,K_R,C_bridge,C_end,E_end_over_h,eta_aff,capture_aff,row_regime,h_bin_eb,p_star_bin_eb
hexc_00000,1,180530237,179845447,684790,41,False,1.29340026,-541095.7142812033,140632.81027282737,681728.5245510371,0.3407451714289391,667.0037518695754,667.0135370046878,1.7241982277482748e-06,1.3578364764273525e-07,2.3426637040535004e-06,True,1.2177595411144964,2905055.3510198356,647.7789659599858,2903761.0108474563,2905056.568779377,1295.5579319199717,0.3444045383357914,0.0004459665074491026,1.7782963260481263e-06,4.242257262839463,4.240367135687519,4.242259041135789,0.0013335277747569137,2.0596740671376774,2.0592151746933878,2.059674498831257,True,False,False,smallness_driven,False,False,1.8193520399038576,1.8091175489119344,0.0022301154184481,-3089.9881332697114,negative,True,True,True,False,False,True,True,primitive_negative_transfer_verified,4.240367136346573,2.059215174853389,2.059215174853413,4.240367136346573,4.980267198828742e-06,0.9999950197328012,forbidden_negative,h>100k,100M<=p<500M
hexc_00001,2,24317,24178,3,4,False,1.29340026,-19.539862107777758,0.6467001388494498,20.186562246627208,0.10778335205018347,3.364468397597527,3.2566850455473433,2.6645352591003757e-14,1.0103029524088925e-14,2.999164295563447e-14,True,0.023234501958347573,22.638738633251542,0.7252584484370541,21.21145623833578,22.66197313520989,1.4505168968741082,0.9999999999244499,0.0640066462094796,0.007744833986115858,7.546246211083847,7.070485412778594,7.553991045069964,0.08800473842990421,2.7470431760501777,2.6590384376271423,2.7484524818650153,True,False,False,smallness_driven,False,False,0.1157979799474991,0.1106139903704657,0.0184358992034248,17.186562246627208,positive,False,False,True,False,True,False,False,sign_inconsistent_positive_harmless,7.070485412778683,2.6590384376271583,2.659038437627159,7.070485412778683,0.0002992154873217,0.9997007845126784,finite_positive,2<=h<=10,p<1M
hexc_00002,3,30974597,30910184,64413,41,False,1.29340026,-50165.02240775864,13228.656869227092,63393.679276996896,0.41239551983876055,169.37992683528864,169.26185379692834,1.3333192327991128e-08,1.0028479117590454e-09,1.9232935318543194e-08,True,1.1206955025700953,136779.72839469244,116.56963157669725,136547.70982704163,136780.84909019503,233.1392631533945,0.2977355827472425,0.0017044729924118318,1.739859193905105e-05,2.1234801731745523,2.1198781275059635,2.1234975717664915,0.00417116194112037,1.4572165841681024,1.4559801260683345,1.4572225539588974,True,False,False,smallness_driven,False,False,0.6812241515207513,0.6643586881865706,0.0022416133345536,-1027.9446158131832,negative,False,False,True,False,False,True,True,primitive_full_verified,2.1198781275965835,1.4559801260994336,1.4559801260994545,2.1198781275965835,1.7827582935812492e-05,0.9999821724170642,finite_negative,10k<h<=100k,1M<=p<100M
hexc_00003,4,59921,59920,1,2,False,1.29340026,-10.6774322419704,0.323350065,11.0007823069704,0.0,0.0,0.0,5.684341886080803e-14,2.8421709430404014e-14,5.684341886080803e-14,True,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,smallness_driven,False,False,0.0921982535693211,0.0882306914983774,2.348567539256741e-16,10.0007823069704,positive,False,False,True,False,True,False,False,sign_inconsistent_positive_harmless,0.0,5.684341886080804e-14,0.0,0.0,0.0,1.0,finite_positive,h<=1,p<1M
hexc_00004,5,356077,355293,784,37,False,1.29340026,-618.4840667387306,161.20047299999987,779.6845397387327,0.3111030202019265,58.55521070691998,58.866313727121906,1.0231815394945443e-12,2.969516524567675e-13,2.709228637050044e-12,True,0.4730155778996154,16967.567170796392,-28.363022207870543,17024.766230790032,16968.04018637429,-56.726044415741086,-0.3165956873343659,-0.003343111154421541,0.0006033361963005299,21.642305064791316,21.71526304947708,21.64290840098762,0.024562902847597837,4.652129089437579,4.659963846370172,4.652193934154897,True,False,False,smallness_driven,False,False,0.1566810093663226,0.1351797213221275,0.0128661873649445,-4.315460261267276,negative,False,False,True,False,False,True,True,primitive_full_verified,21.7152630494778,4.659963846370241,4.659963846370249,21.7152630494778,0.0013550898740644,0.9986449101259356,finite_negative,101<=h<=1k,p<1M
hexc_00005,6,3448507,3446024,2483,40,False,1.29340026,-1687.5380821821718,510.21467821045155,2197.752760392686,0.34357275480391536,86.33615572803478,86.25508396795726,3.183231456205249e-11,5.318728790726368e-12,6.074301437144271e-11,True,0.664082194252098,38752.70162490228,5.465489072203695,38742.43472895212,38753.36570709653,10.93097814440739,0.034069606702094794,0.0002820652592352424,0.00026745154822879503,15.607209675756053,15.603074800222359,15.60747712730428,0.016353945952851716,3.9505961165064765,3.95007275885171,3.9506299658794015,True,False,False,smallness_driven,False,False,0.1786966438467436,0.1494490028165924,0.0076387824505859,-285.247239607314,negative,False,False,True,False,False,True,True,primitive_full_verified,15.603074800215609,3.950072758850848,3.950072758850855,15.603074800215603,0.0004159678813378,0.999584032118662,finite_negative,1k<h<=10k,1M<=p<100M
hexc_00006,7,30774449,30670319,104130,41,False,1.29340026,-81816.70719328354,21384.939788479074,103201.64698174795,0.31571340880874743,363.4686760886416,363.3590972902398,3.22015694109723e-08,1.4197360035573515e-09,3.412466051816143e-08,True,0.924745353746096,546616.6999555095,306.5269863610474,546004.5707281411,546617.6247008633,613.0539727220948,0.43113788659296304,0.0011215408084538359,8.880681395813849e-06,5.249368097143086,5.243489587324893,5.249376977824482,0.002980047213688711,2.2911499508201305,2.2898667182447308,2.2911518888595057,True,False,False,smallness_driven,False,False,0.862526348366495,0.8528427097579773,0.0037875901851982,-928.3530182520336,negative,True,False,True,False,False,True,True,primitive_negative_transfer_verified,5.243489587168667,2.2898667182106016,2.289866718210618,5.243489587168667,3.3053588386700646e-05,0.9999669464116132,threshold_relevant_negative,h>100k,1M<=p<100M
hexc_00007,8,3452747,3451296,1451,36,False,1.29340026,-906.2861454643347,298.0705786778408,1204.3567241421822,0.2805197830259232,65.70302454859478,65.9835443316207,2.3732127374387346e-12,5.37557652712116e-13,5.179238031442464e-12,True,0.579262731624922,21686.350879970727,-54.22706830750171,21795.384279317354,21686.930142702353,-108.45413661500342,-0.48382141979854815,-0.005000898508980223,0.0003992162175223446,14.945796609214836,15.020940233850691,14.946195825432358,0.019980395829971555,3.865979385513435,3.8756857759434897,3.8660310171327334,True,False,False,smallness_driven,False,False,0.1383470038914393,0.1049756413821095,0.0076429115920426,-246.6432758578178,negative,False,False,True,False,False,True,True,primitive_full_verified,15.020940233851428,3.875685775943569,3.8756857759435848,15.020940233851428,0.0003049414510545,0.9996950585489456,finite_negative,1k<h<=10k,1M<=p<100M
hexc_00008,9,12883477,12871995,11482,39,False,1.29340026,-8643.103225239709,2358.2152729600475,11001.318498200162,0.19030551745390767,112.74808345345537,112.55777793600146,2.467004378559068e-10,2.664354492018161e-11,3.991834820589739e-10,True,0.30882402252873786,39726.102031678136,42.07124680660993,39642.268362087445,39726.41085570066,84.14249361321986,0.37983227803812947,0.0021180492221875014,2.6896361481339302e-05,3.459859086542252,3.4525577740887865,3.459885982903733,0.005186170213301844,1.860069645616059,1.8581059641712543,1.8600768755359907,True,False,False,smallness_driven,False,False,0.3212949859833325,0.3009444286825112,0.0039191521021917,-480.68150179983786,negative,False,False,True,False,False,True,True,primitive_full_verified,3.452557774087724,1.858105964170959,1.8581059641709683,3.452557774087724,6.755530649395696e-05,0.999932444693506,finite_negative,10k<h<=100k,1M<=p<100M
hexc_00009,10,178298621,178254856,43765,40,False,1.29340026,-33018.34702990362,8988.104940226318,42006.451970120084,0.26142999979219894,189.87943571772757,189.86549926621842,4.998582880944014e-09,6.072709501925289e-10,8.814517334978952e-09,True,0.5796220088869761,158689.6449962887,1.0676450832594924,158688.08932813106,158690.2246182976,2.1352901665189847,0.003520304057559156,1.345571330357842e-05,1.324396227320864e-05,3.6259487032169244,3.625913157274787,3.625961947179198,0.0036392255045831715,1.9041924018378302,1.9041830682145,1.9041958794145097,True,False,False,smallness_driven,False,False,0.4625799992422776,0.437251926315424,0.0025143310542018,-1758.548029879923,negative,False,False,True,False,False,True,True,primitive_full_verified,3.625913157323299,1.9041830682272305,1.9041830682272385,3.625913157323299,2.0921081111323995e-05,0.9999790789188888,finite_negative,10k<h<=100k,100M<=p<500M
