E_theta_sign,post_P0_flag,source,rows,Q_min,Q_max,Q_mean,Q_median,Q_q95,Q_q99,near_forbidden_count,forbidden_count,E_theta_norm_min,E_theta_norm_max,E_theta_norm_mean
negative,False,theta,126,0.0527000394631234,1.8193520399038576,0.15066992490803652,0.0981437556955862,0.33391678649101036,0.817200799155059,2,1,-0.028568831384367565,-0.00019785343061961378,-0.011707822090072486
negative,True,theta,22,0.0508464536997485,0.7568596623500748,0.1596093501412469,0.1018007854400653,0.4415580255512529,0.6923050626255646,1,0,-0.021261742066286383,-0.0019340935765608715,-0.010550637189432405
positive,False,theta,1200,0.0519436214565968,0.2157084836048593,0.06071812261112572,0.0580394136574902,0.07793649505936039,0.10874384066706176,0,0,0.00024879401090592063,0.16381840768506986,0.05558437927758239
positive,True,theta,120,0.0489909092562281,0.0585344103602869,0.04998167621469551,0.049916660467031054,0.05045060587909455,0.056234009578331016,0,0,0.04456316004116768,0.05286979201958144,0.04708718821624312
unknown,False,B3,1,1.1611207216949435,1.1611207216949435,1.1611207216949435,1.1611207216949435,1.1611207216949435,1.1611207216949435,1,1,,,
