candidate_id,block_id,p_star,start_prime,worst_prime,end_prime,y,h,Q_tail_start,Q_tail_max_inside,Q_tail_end,Q_local,Q_O2,Q_exc,Q_o2p4_total,accumulation_proxy,unrepaid_tail,candidate_crossing_flag,tail_candidate_flag,tail_candidate_crossing_flag,post_P0_flag,finite_certificate_flag,covered_flag,near_forbidden_flag,forbidden_flag,C_minus_flag,channel_compatible_flag,O2_applicable_flag,B3_applicable_flag,endpoint_repaid_flag,endpoint_harmful_flag,endpoint_repayment_Q,endpoint_repayment_failure_flag,valid_scale_flag,positive_unrepaid_tail_flag,negative_unrepaid_tail_flag,tail_forbidden_unrepaid_flag,failure_type,status
b3_00017,17,59333,59209,59243,59333,59332.0,1.0,0.052653945366631,0.3960595139196754,0.0,0.0929815072257821,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.1894204091944188,False,True,False,False,False,,pass
b3_00018,18,3241093,3236963,3239081,3241093,3239129.0,1964.0,0.0,0.3885694113208635,0.0,0.159654089699117,0.0499059549846063,0.0081749848918229,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1401120285534746,False,True,False,False,False,,pass
b3_00019,19,1515197,1513397,1513751,1515197,1513853.0,1344.0,3.994395633277748e-05,0.3771748989506069,0.0,0.1510851987794436,0.0499059549846063,0.0103425912084517,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1353288100910507,False,True,False,False,False,,pass
b3_00020,20,58511,58417,58453,58511,58510.0,1.0,0.0504303841514013,0.3741734565119849,0.0,0.0923670994574258,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.1065607896926546,False,True,False,False,False,,pass
b3_00021,21,30847123,30825617,30831209,30847123,30831334.0,15789.0,0.0073122796392817,0.3642737698965872,0.0,0.338124053326903,0.0499059549846063,0.0060303868534807,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.3244066291128366,False,True,False,False,False,,pass
b3_00022,22,60209,60133,60169,60209,60208.0,1.0,0.031214466369684,0.3464556307639332,0.0,0.0940510554686493,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.122566997437011,False,True,False,False,False,,pass
b3_00023,23,354619,354373,354479,354619,354550.0,3.0,0.0164654164052295,0.3358438231206992,0.0,0.0920232096308952,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.0848471087112464,False,True,False,False,False,,pass
b3_00024,24,180619079,180530407,180557417,180619079,180557417.0,61662.0,0.0012376376099543,0.3313151713194857,0.0,0.5459231094474968,0.0499059549846063,0.0051149881925594,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.5329138719787416,False,True,False,False,False,,pass
b3_00025,25,109813367,109775839,109789837,109813367,109790208.0,23159.0,0.0031609093024025,0.3274112278854155,0.0,0.3557665519303423,0.0499059549846063,0.0045682420338709,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.3389837450779626,False,True,False,False,False,,pass
b3_00026,26,230647,230341,230393,230647,230560.0,3.0,0.0340959293737732,0.3238027939936847,0.0,0.0944180902326222,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.1185951914874093,False,True,False,False,False,,pass
b3_00027,27,1192781,1192099,1192271,1192781,1192323.0,458.0,0.0310522514590183,0.3214774992026488,0.0,0.0967472985369818,0.0499059549846063,0.0120403626533005,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.0776974809855303,False,True,False,False,False,,pass
b3_00028,28,109670797,109638709,109660643,109670797,109660803.0,9994.0,0.001573752051017,0.3069889841410873,0.0,0.2345732370876761,0.0499059549846063,0.0098010101179576,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.2113316628996534,False,True,False,False,False,,pass
b3_00029,29,3456977,3454817,3455597,3456977,3455716.0,1261.0,0.0058141676135763,0.3044748712625682,0.0,0.1341559286414388,0.0499059549846063,0.0077614986724626,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1174356488415478,False,True,False,False,False,,pass
b3_00030,30,4994789,4991293,4991687,4994789,4991760.0,3029.0,0.0045082999549515,0.2945454089393395,0.0,0.1879865387221068,0.0499059549846063,0.0057126820734734,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1751074858509674,False,True,False,False,False,,pass
b3_00031,31,7108243,7103687,7105253,7108243,7105465.0,2778.0,0.0156044991614399,0.2944734990716751,0.0,0.1766899326140388,0.0499059549846063,0.0068229245505902,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1621275115134674,False,True,False,False,False,,pass
b3_00032,32,3293113,3291683,3292063,3293113,3292080.0,1033.0,0.0057314574409166,0.2929410087474235,0.0,0.1154116378424172,0.0499059549846063,0.0061349229944132,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.0971366049932867,False,True,False,False,False,,pass
b3_00033,33,1197697,1197197,1197409,1197697,1197615.0,4.0,0.0356462121444285,0.285818573661579,0.0,0.0726584885625681,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.0719397104162754,False,True,False,False,False,,pass
b3_00034,34,127,113,113,127,126.0,1.0,0.15487175772923,0.15487175772923,0.0,0.2157084836048593,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.5598524264568655,False,True,False,False,False,,pass
b3_00035,35,354953,354667,354883,354953,354952.0,1.0,0.0137409895489994,0.2834972981410213,0.0,0.080127585396028,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.0743134701163977,False,True,False,False,False,,pass
b3_00036,36,39707851,39699383,39703973,39707851,39704004.0,3847.0,0.0034552793206774,0.283063052609636,0.0,0.1623741874086595,0.0499059549846063,0.0110407093348006,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1371454844597804,False,True,False,False,False,,pass
b3_00037,37,1657,1621,1627,1657,1656.0,1.0,0.1640765804714643,0.2587562671849888,0.0,0.1389495863976313,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.3771122106810464,False,True,False,False,False,,pass
b3_00038,38,156007,155851,155893,156007,155920.0,1.0,0.0963826107156098,0.2769788198615446,0.0,0.0868104441327406,0.0499059549846063,0.0205672364492246,0.0,0.0,0.0,False,False,False,False,True,True,False,False,False,True,True,True,True,False,0.2305844099952842,False,True,False,False,False,,pass
b3_00039,39,39690667,39674773,39682499,39690667,39682692.0,7975.0,0.0042422843974998,0.2701205015472543,0.0,0.2349256240499423,0.0499059549846063,0.0069005695359736,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.2184817075940539,False,True,False,False,False,,pass
b3_00040,40,30417481,30406037,30408883,30417481,30409154.0,8327.0,0.0021848427912742,0.2627778102990112,0.0,0.24963148266117,0.0499059549846063,0.0085348501864403,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.2357893781039462,False,True,False,False,False,,pass
b3_00041,41,604672261,604435829,604520611,604672261,604520611.0,151650.0,0.0004146196386161,0.260270594288893,0.0,0.7568596623500748,0.0499059549846063,0.0014698183580815,0.0,0.0,0.0,False,True,False,True,False,True,True,False,True,True,True,True,True,False,0.7467076670478365,False,True,False,False,False,,pass
b3_00042,42,7117417,7114357,7115389,7117417,7115469.0,1948.0,0.0068668010734582,0.2580229631264861,0.0,0.1460888226947264,0.0499059549846063,0.007641518998895,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1301567329770984,False,True,False,False,False,,pass
b3_00043,43,12781267,12778309,12779411,12781267,12779528.0,1739.0,0.0071387426338871,0.2566242471952797,0.0,0.1300675391522673,0.0499059549846063,0.0053725661686165,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.1101458902583867,False,True,False,False,False,,pass
b3_00044,44,109588091,109568161,109577269,109588091,109577354.0,10737.0,0.0012479877615363,0.2561510765381203,0.0,0.2415685632788372,0.0499059549846063,0.0066368119233886,0.0,0.0,0.0,False,False,False,False,True,True,False,False,True,True,True,True,True,False,0.2225301612998425,False,True,False,False,False,,pass
