gap_id,prime,eval_label,R_value
gap_003,604142041,prime_after_jump,-0.0006784354827236141
gap_003,604142047,prime_left_limit,-0.0006787459259778084
gap_003,604142047,prime_after_jump,-0.000677699753799041
gap_003,604142051,prime_left_limit,-0.0006779067159706004
gap_003,604142051,prime_after_jump,-0.0006768605438021495
gap_003,604142083,prime_left_limit,-0.0006785162411487239
gap_003,604142083,prime_after_jump,-0.0006774700690011248
gap_003,604142101,prime_left_limit,-0.0006784013987310778
gap_003,604142101,prime_after_jump,-0.0006773552266083148
gap_003,604142137,prime_left_limit,-0.0006792178860058444
gap_003,604142137,prime_after_jump,-0.0006781717139142497
gap_003,604142159,prime_left_limit,-0.0006793100057256625
gap_003,604142159,prime_after_jump,-0.0006782638336568845
gap_003,604142171,prime_left_limit,-0.0006788847200909915
gap_003,604142171,prime_after_jump,-0.000677838548028491
gap_003,604142207,prime_left_limit,-0.0006797012072795144
gap_003,604142207,prime_after_jump,-0.0006786550352543502
gap_003,604142213,prime_left_limit,-0.0006789654784561509
gap_003,604142213,prime_after_jump,-0.0006779193064372094
gap_003,604142237,prime_left_limit,-0.0006791610792323732
gap_003,604142237,prime_after_jump,-0.0006781149072383226
gap_003,604142249,prime_left_limit,-0.0006787357936261915
gap_003,604142249,prime_after_jump,-0.0006776896216445865
gap_003,604142261,prime_left_limit,-0.0006783105080301284
gap_003,604142261,prime_after_jump,-0.0006772643360548008
gap_003,604142317,prime_left_limit,-0.0006801618057167531
gap_003,604142317,prime_after_jump,-0.0006791156337933362
gap_003,604142321,prime_left_limit,-0.0006793225959038855
gap_003,604142321,prime_after_jump,-0.000678276423990785
gap_003,604142323,prime_left_limit,-0.0006783799050475183
gap_003,604142323,prime_after_jump,-0.000677333733130324
gap_003,604142333,prime_left_limit,-0.0006778511384182065
gap_003,604142333,prime_after_jump,-0.0006768049665175516
gap_003,604142347,prime_left_limit,-0.0006775293339178725
gap_003,604142347,prime_after_jump,-0.0006764831620255691
gap_003,604142377,prime_left_limit,-0.000678035377846807
gap_003,604142377,prime_after_jump,-0.0006769892059794493
gap_003,604142423,prime_left_limit,-0.0006793692701070693
gap_003,604142423,prime_after_jump,-0.0006783230982935871
gap_003,604142443,prime_left_limit,-0.0006793579087368928
gap_003,604142443,prime_after_jump,-0.000678311736931817
gap_003,604142453,prime_left_limit,-0.0006788291421484531
gap_003,604142453,prime_after_jump,-0.0006777829703599165
gap_003,604142491,prime_left_limit,-0.000679749110128987
gap_003,604142491,prime_after_jump,-0.0006787029383736929
gap_003,604142501,prime_left_limit,-0.0006792203435618307
gap_003,604142501,prime_after_jump,-0.0006781741718169077
gap_003,604142507,prime_left_limit,-0.000678484614931089
gap_003,604142507,prime_after_jump,-0.0006774384431923889
gap_003,604142519,prime_left_limit,-0.0006780593294221175
gap_003,604142519,prime_after_jump,-0.0006770131576958627
gap_003,604142531,prime_left_limit,-0.0006776340439232647
gap_003,604142531,prime_after_jump,-0.0006765878722032874
gap_003,604142543,prime_left_limit,-0.0006772087584283628
gap_003,604142543,prime_after_jump,-0.0006761625867269989
gap_003,604142557,prime_left_limit,-0.0006768869539854356
gap_003,604142557,prime_after_jump,-0.0006758407822924234
gap_003,604142573,prime_left_limit,-0.0006766686305797532
gap_003,604142573,prime_after_jump,-0.0006756224589033349
gap_003,604142599,prime_left_limit,-0.0006769677123411995
gap_003,604142599,prime_after_jump,-0.0006759215406917463
gap_003,604142611,prime_left_limit,-0.0006765424268828935
gap_003,604142611,prime_after_jump,-0.0006754962552397177
gap_003,604142659,prime_left_limit,-0.0006779797999063659
gap_003,604142659,prime_after_jump,-0.0006769336283129718
gap_003,604142687,prime_left_limit,-0.0006783823626217388
gap_003,604142687,prime_after_jump,-0.0006773361910512161
gap_003,604142729,prime_left_limit,-0.000679509292407125
gap_003,604142729,prime_after_jump,-0.0006784631208801614
gap_004,604143557,prime_left_limit,-0.0006857344219083944
gap_004,604143557,prime_after_jump,-0.0006846882511723164
gap_004,604143563,prime_left_limit,-0.0006849986939227636
gap_004,604143563,prime_after_jump,-0.0006839525231867402
gap_004,604143581,prime_left_limit,-0.0006848838514345905
gap_004,604143581,prime_after_jump,-0.0006838376807172353
gap_004,604143583,prime_left_limit,-0.0006839411616336856
gap_004,604143583,prime_after_jump,-0.0006828949909184045
gap_004,604143611,prime_left_limit,-0.0006843437237346634
gap_004,604143611,prime_after_jump,-0.0006832975530422536
gap_004,604143629,prime_left_limit,-0.0006842288812574749
gap_004,604143629,prime_after_jump,-0.0006831827105899012
gap_004,604143647,prime_left_limit,-0.0006841140387905532
gap_004,604143647,prime_after_jump,-0.0006830678681354797
gap_004,604143653,prime_left_limit,-0.000683378310867867
gap_004,604143653,prime_after_jump,-0.0006823321402190161
gap_004,604143667,prime_left_limit,-0.0006830565065947442
gap_004,604143667,prime_after_jump,-0.0006820103359542448
gap_004,604143713,prime_left_limit,-0.0006843903968092055
gap_004,604143713,prime_after_jump,-0.0006833442262225817
gap_005,604143751,prime_left_limit,-0.0006853103633262779
gap_005,604143751,prime_after_jump,-0.0006842641927667284
gap_005,604143763,prime_left_limit,-0.0006848850781495658
gap_005,604143763,prime_after_jump,-0.0006838389076086297
gap_006,604143797,prime_left_limit,-0.0006855980828150421
gap_006,604143797,prime_after_jump,-0.0006845519123031999
