group_field,group_value,rows,C_bridge_max,C_bridge_sq_max,C_bridge_q95,C_bridge_q99,B_abs_max,B_L2_max,B_sq_over_h_max,kappa_L2_max,Q_energy_L2_max,Q_exc_max,threshold_relevant_rows,forbidden_rows,surviving_proxy_rows,failures
row_regime,finite_negative,124.0,7.5172957888070675,56.50973597641647,6.4589848168405,7.367023795981552,459.0970686143192,958.0629698913689,56.50973597641648,0.8120333708824421,0.036413013628854,0.0128661873649445,0.0,0.0,0.0,0.0
row_regime,finite_positive,1200.0,8.580752479596955,73.62931311610929,4.441774697330002,6.483809241556806,57.481088754737584,128.13945366718406,73.62931311610959,0.7107554347586446,0.0304825946938867,0.0205672364492246,0.0,0.0,0.0,0.0
row_regime,forbidden_negative,1.0,2.059215174853389,4.240367136346474,2.059215174853389,2.059215174853389,667.0135370697717,1704.0425497324798,4.240367136346575,0.3914300949670945,0.0056973529810874,0.0022301154184481,1.0,1.0,0.0,0.0
row_regime,post_P0_negative_tail,21.0,8.008560508629008,64.13704142037213,7.700000352930436,7.9468484774892945,311.51713925927834,462.69206829711806,64.13704142037233,0.7382422708040356,0.0195894059694182,0.0069214615088821,0.0,0.0,0.0,0.0
row_regime,post_P0_positive_tail,120.0,7.085660762263412,50.20658843787932,0.0,5.4153097738497,10.056372108580035,14.17132152452685,50.206588437879496,0.7096283921845326,0.0173298733143556,0.0122977701368278,0.0,0.0,0.0,0.0
row_regime,threshold_relevant_negative,2.0,2.2898667182106016,5.2434895871685905,2.2486572698774583,2.281624828543973,363.3590972929378,738.9212209105052,5.243489587168652,0.4917426743343476,0.0077023825323383,0.0037875901851982,2.0,0.0,0.0,0.0
post_P0_by_pstar,False,1326.0,8.580752479596955,73.62931311610929,4.950134563437208,6.6549979267648585,667.0135370697717,1704.0425497324798,73.62931311610959,0.8120333708824421,0.036413013628854,0.0205672364492246,2.0,1.0,0.0,0.0
post_P0_by_pstar,True,142.0,8.008560508629008,64.13704142037213,5.430404862780583,7.448121120756959,311.51713925927834,570.768113427068,64.13704142037233,0.7382422708040356,0.0195894059694182,0.0122977701368278,1.0,0.0,0.0,0.0
finite_zone_flag,False,142.0,8.008560508629008,64.13704142037213,5.430404862780583,7.448121120756959,311.51713925927834,570.768113427068,64.13704142037233,0.7382422708040356,0.0195894059694182,0.0122977701368278,1.0,0.0,0.0,0.0
finite_zone_flag,True,1326.0,8.580752479596955,73.62931311610929,4.950134563437208,6.6549979267648585,667.0135370697717,1704.0425497324798,73.62931311610959,0.8120333708824421,0.036413013628854,0.0205672364492246,2.0,1.0,0.0,0.0
high_energy_flag,False,1458.0,8.008560508629008,64.13704142037213,4.910318895725108,6.654302107549671,667.0135370697717,1704.0425497324798,64.13704142037233,0.8120333708824421,0.0249378557636041,0.0177247165152088,3.0,1.0,0.0,0.0
high_energy_flag,True,10.0,8.580752479596955,73.62931311610929,8.066623686588299,8.477926720995224,72.48431875885103,165.32323621154507,73.62931311610959,0.70711576075991,0.036413013628854,0.0205672364492246,0.0,0.0,0.0,0.0
threshold_relevant_flag,False,1465.0,8.580752479596955,73.62931311610929,4.950688526384717,6.655965661733632,459.0970686143192,958.0629698913689,73.62931311610959,0.8120333708824421,0.036413013628854,0.0205672364492246,0.0,0.0,0.0,0.0
threshold_relevant_flag,True,3.0,2.2898667182106016,5.2434895871685905,2.26680156387488,2.2852536873434572,667.0135370697717,1704.0425497324798,5.243489587168652,0.4917426743343476,0.0077023825323383,0.0037875901851982,0.0,1.0,0.0,0.0
forbidden_flag,False,1467.0,8.580752479596955,73.62931311610929,4.950687593099379,6.655963450010992,459.0970686143192,958.0629698913689,73.62931311610959,0.8120333708824421,0.036413013628854,0.0205672364492246,2.0,0.0,0.0,0.0
forbidden_flag,True,1.0,2.059215174853389,4.240367136346474,2.059215174853389,2.059215174853389,667.0135370697717,1704.0425497324798,4.240367136346575,0.3914300949670945,0.0056973529810874,0.0022301154184481,1.0,0.0,0.0,0.0
h_bin_direct,101<=h<=1k,62.0,8.008560508629008,64.13704142037213,7.4267997233404435,7.82033881365288,99.80769344228564,221.79520005948183,64.13704142037233,0.6835252708922032,0.036413013628854,0.0128661873649445,0.0,0.0,0.0,0.0
h_bin_direct,10k<h<=100k,15.0,3.972523031931926,15.780939239229621,3.963498797826605,3.9707181851108615,459.0970686143192,958.0629698913689,15.780939239229664,0.7150344719309831,0.0115541189824018,0.0066368119233886,0.0,0.0,0.0,0.0
h_bin_direct,11<=h<=100,3.0,8.580752479596955,73.62931311610929,8.325764723396448,8.529754928356853,18.50388997128084,30.93834304725165,73.62931311610959,0.598089236486277,0.0289054037503281,0.0172880108593613,0.0,0.0,0.0,0.0
h_bin_direct,1k<h<=10k,80.0,6.763592223850025,45.74617977052452,5.846352396791297,6.545705547281004,335.81014783297,413.5422999525792,45.74617977052461,0.8120333708824421,0.0204151477381646,0.0110407093348006,0.0,0.0,0.0,0.0
h_bin_direct,2<=h<=10,64.0,7.389235181064235,54.600796561077395,6.835778104722324,7.363804125938837,13.100680718981152,19.550078668065368,54.600796561077786,0.7107554347586446,0.0304825946938867,0.0205672364492246,0.0,0.0,0.0,0.0
h_bin_direct,h<=1,1241.0,4.547473508864642e-13,2.06795153138257e-25,0.0,4.547473508864382e-14,4.547473508864641e-13,4.547473508864641e-13,2.0679515313825692e-25,,1.7042514801809505e-15,8.898615503505933e-15,0.0,0.0,0.0,0.0
h_bin_direct,h>100k,3.0,2.2898667182106016,5.2434895871685905,2.26680156387488,2.2852536873434572,667.0135370697717,1704.0425497324798,5.243489587168652,0.4917426743343476,0.0077023825323383,0.0037875901851982,3.0,1.0,0.0,0.0
