candidate_id,block_id,y,h,p_star,post_P0_flag,sample_count,sample_count_over_h,offsets_sorted,offsets_full_length,sample_offsets_min,sample_offsets_max,left_endpoint_sampled_flag,right_endpoint_sampled_flag,offset_gap_pattern,sample_offset_gaps_max,sample_offset_gaps_mean,sample_offset_gaps_median,simple_geometric_h_match_flag,simple_geometric_h_symmetric_difference_count,simple_geometric_h_missing_offsets,simple_geometric_h_extra_offsets,grid_origin_rule,grid_depends_on_Lambda_by_code_flag,grid_depends_on_candidate_h_flag,grid_depends_on_parent_sr11_y_path_flag,grid_endpoint_complete_flag,lambda_event_count,samples_on_event_count,event_to_sample_alignment_score,nearest_sample_distance_to_event_mean,nearest_sample_distance_to_event_max,K_prime_sampled,optional_K_prime_full,optional_full_to_sampled_energy_ratio,Q_R2Q,E_theta_sign,threshold_relevant_flag,forbidden_flag,finite_zone_flag,row_status
hexc_00000,1,179845447,684790,180530237,False,41,5.987236963156588e-05,"0,1,2,3,4,5,7,8,10,15,16,22,32,46,64,68,100,128,147,216,317,465,683,1003,1472,2161,3172,4657,6836,10035,14732,21626,31748,46606,68419,100440,147447,216455,317758,466474,684790",175,0,684790,True,True,"1,1,1,1,1,2,1,2,5,1,6,10,14,18,4,32,28,19,69,101,148,218,320,469,689,1011,1485,2179,3199,4697,6894,10122,14858,21813,32021,47007,69008,101303,148716,218316",218316,17119.75,124.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,35864,1,0.000587848783791,32461.473650457283,109140.0,4.242257262839463,224364.1899425553,52887.9264131148,1.8193520399038576,negative,True,True,True,primitive_negative_transfer_verified
hexc_00001,2,24178,3,24317,False,4,1.3333333333333333,"0,1,2,3",7,0,3,True,True,"1,1,1",1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,2,2,1.0,0.0,0.0,7.546246211083847,7.546246211083847,1.0,0.1157979799474991,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00002,3,30910184,64413,30974597,False,41,0.0006365174731808796,"0,1,2,3,4,5,7,8,9,10,13,16,17,24,32,45,61,64,84,115,128,158,217,297,408,560,768,1054,1446,1984,2723,3736,5126,7034,9651,13243,18171,24933,34212,46943,64413",155,0,64413,True,True,"1,1,1,1,1,2,1,1,1,3,3,1,7,8,13,16,3,20,31,13,30,59,80,111,152,208,286,392,538,739,1013,1390,1908,2617,3592,4928,6762,9279,12731,17470",17470,1610.325,30.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,3676,3,0.0069581001377815,2501.263057671382,8724.0,2.1234801731745523,32054.642903055512,15095.3342103188,0.6812241515207513,negative,False,False,True,primitive_full_verified
hexc_00003,4,59920,1,59921,False,2,2.0,"0,1",3,0,1,True,True,1,1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,1,1,1.0,0.0,0.0,0.0,0.0,inf,0.0921982535693211,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00004,5,355293,784,356077,False,37,0.047193877551020405,"0,1,2,3,4,5,6,7,8,10,12,14,16,17,21,25,31,32,37,45,55,64,66,80,97,117,128,141,171,207,250,303,366,443,536,648,784",113,0,784,True,True,"1,1,1,1,1,1,1,1,2,2,2,2,1,4,4,6,1,5,8,10,9,2,14,17,20,11,13,30,36,43,53,63,77,93,112,136",136,21.77777777777778,5.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,61,3,0.4544412607449856,15.60655737704918,54.0,21.64230506479132,1358.322052897152,62.76235589650438,0.1566810093663226,negative,False,False,True,primitive_full_verified
hexc_00005,6,3446024,2483,3448507,False,40,0.016109544905356425,"0,1,2,3,4,5,6,7,8,9,10,12,15,16,18,23,29,32,36,45,56,64,70,87,109,128,136,170,213,266,333,416,520,650,813,1016,1271,1588,1986,2483",130,0,2483,True,True,"1,1,1,1,1,1,1,1,1,1,2,3,1,2,5,6,3,4,9,11,8,6,17,22,19,8,34,43,53,67,83,104,130,163,203,255,317,398,497",497,63.666666666666664,8.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,146,4,0.1985731676928633,68.97260273972603,248.0,15.607209675756051,2279.5987659362568,146.0606228336474,0.1786966438467436,negative,False,False,True,primitive_full_verified
hexc_00006,7,30670319,104130,30774449,False,41,0.000393738595985787,"0,1,2,3,4,5,7,8,10,14,16,20,27,32,38,53,64,73,102,128,141,197,274,381,529,737,1025,1425,1983,2758,3837,5338,7425,10329,14369,19988,27806,38681,53809,74854,104130",161,0,104130,True,True,"1,1,1,1,1,2,1,2,4,2,4,7,5,6,15,11,9,29,26,13,56,77,107,148,208,288,400,558,775,1079,1501,2087,2904,4040,5619,7818,10875,15128,21045,29276",29276,2603.25,42.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,5986,2,0.0040480229115935,4279.391413297694,14628.0,5.249368097143086,27467.107511338865,5232.459793834529,0.862526348366495,negative,True,False,True,primitive_negative_transfer_verified
hexc_00007,8,3451296,1451,3452747,False,36,0.024810475534114404,"0,1,2,3,4,5,7,8,10,12,15,16,18,23,28,32,34,42,52,64,79,97,120,128,147,181,223,275,338,417,513,631,777,957,1179,1451",115,0,1451,True,True,"1,1,1,1,1,2,1,2,2,3,1,2,5,5,4,2,8,10,12,15,18,23,8,19,34,42,52,63,79,96,118,146,180,222,272",272,41.457142857142856,8.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,80,3,0.3501622519055165,34.0625,134.0,14.945796609214836,1527.8357709255722,102.22511458396166,0.1383470038914393,negative,False,False,True,primitive_full_verified
hexc_00008,9,12871995,11482,12883477,False,39,0.0033966207977704234,"0,1,2,3,4,5,6,8,10,11,14,16,19,25,32,42,55,64,72,94,122,128,160,209,273,356,466,608,794,1038,1355,1770,2312,3020,3945,5152,6730,8791,11482",138,0,11482,True,True,"1,1,1,1,1,1,2,2,1,3,2,3,6,7,10,13,9,8,22,28,6,32,49,64,83,110,142,186,244,317,415,542,708,925,1207,1578,2061,2691",2691,302.1578947368421,17.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,672,4,0.0419074101081436,390.9389880952381,1345.0,3.459859086542252,3001.906861133822,867.638474876125,0.3212949859833325,negative,False,False,True,primitive_full_verified
hexc_00009,10,178254856,43765,178298621,False,40,0.0009139723523363418,"0,1,2,3,4,5,6,8,10,12,16,21,29,32,39,53,64,72,98,128,132,180,244,331,449,609,827,1122,1522,2066,2803,3805,5163,7007,9508,12904,17511,23764,32250,43765",150,0,43765,True,True,"1,1,1,1,1,1,2,2,2,4,5,8,3,7,14,11,8,26,30,4,48,64,87,118,160,218,295,400,544,737,1002,1358,1844,2501,3396,4607,6253,8486,11515",11515,1122.179487179487,30.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,2211,1,0.0117474416734683,1663.6178199909543,5737.0,3.625948703216925,15097.997442236723,4163.875078773688,0.4625799992422776,negative,False,False,True,primitive_full_verified
