group_field,group_value,rows,C_bridge_max,C_bridge_sq_max,B_abs_max,B_sq_over_h_max,dB_L2_max,ddB_L2_max,curvature_ratio_max,effective_support_min,effective_support_frac_min,kappa_L2_max,zero_crossing_count_max,threshold_relevant_rows,forbidden_rows,surviving_proxy_rows,failures
row_regime,finite_negative,124.0,7.5172957888070675,56.50973597641647,459.0970686143192,56.50973597641649,623.7746511368516,986.0596668527957,2.0923493384552385,1.5165343292347004,0.037913358230867514,0.8120333708824401,14.0,0.0,0.0,0.0,0.0
row_regime,finite_positive,1200.0,8.580752479596955,73.62931311610929,57.481088754737584,73.62931311610959,83.03433296089901,128.478939664302,4.5474735088646406e+17,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0
row_regime,forbidden_negative,1.0,2.059215174853389,4.240367136346474,667.0135370697717,4.240367136346575,1474.2515025952246,2715.107599721836,0.6276151081110228,6.526668783840071,0.1591870435082944,0.3914300949671046,4.0,1.0,1.0,0.0,0.0
row_regime,post_P0_negative_tail,21.0,8.008560508629008,64.13704142037213,311.51713925927834,64.13704142037233,583.7179531620146,818.8316415567805,2.0747631057556077,1.8348568288969094,0.04475260558285145,0.7382422708040317,11.0,0.0,0.0,0.0,0.0
row_regime,post_P0_positive_tail,120.0,7.085660762263412,50.20658843787932,10.056372108580035,50.206588437879496,19.969291636973068,34.54609331319811,0.4102148800458658,0.0,0.0,0.7096283921845318,1.0,0.0,0.0,0.0,0.0
row_regime,threshold_relevant_negative,2.0,2.2898667182106016,5.243489587168591,363.3590972929378,5.243489587168652,665.981382093748,1034.6839898829146,0.8413732300380837,4.135463598521691,0.10086496581760224,0.491742674334354,3.0,2.0,0.0,0.0,0.0
post_P0_by_pstar,False,1326.0,8.580752479596955,73.62931311610929,667.0135370697717,73.62931311610959,1474.2515025952246,2715.107599721836,4.5474735088646406e+17,0.0,0.0,1.0,14.0,2.0,1.0,0.0,0.0
post_P0_by_pstar,True,142.0,8.008560508629008,64.13704142037213,311.51713925927834,64.13704142037233,583.7179531620146,818.8316415567805,2.0747631057556077,0.0,0.0,0.7382422708040317,11.0,1.0,0.0,0.0,0.0
finite_zone_flag,False,142.0,8.008560508629008,64.13704142037213,311.51713925927834,64.13704142037233,583.7179531620146,818.8316415567805,2.0747631057556077,0.0,0.0,0.7382422708040317,11.0,1.0,0.0,0.0,0.0
finite_zone_flag,True,1326.0,8.580752479596955,73.62931311610929,667.0135370697717,73.62931311610959,1474.2515025952246,2715.107599721836,4.5474735088646406e+17,0.0,0.0,1.0,14.0,2.0,1.0,0.0,0.0
high_energy_flag,False,1458.0,8.008560508629008,64.13704142037213,667.0135370697717,64.13704142037233,1474.2515025952246,2715.107599721836,4.5474735088646406e+17,0.0,0.0,1.0,14.0,3.0,1.0,0.0,0.0
high_energy_flag,True,10.0,8.580752479596955,73.62931311610929,72.48431875885103,73.62931311610959,87.4113564817944,120.56372275443586,1.5184713000234962,1.9999492048297909,0.13278400141432134,0.7071157607599191,5.0,0.0,0.0,0.0,0.0
threshold_relevant_flag,False,1465.0,8.580752479596955,73.62931311610929,459.0970686143192,73.62931311610959,623.7746511368516,986.0596668527957,4.5474735088646406e+17,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0
threshold_relevant_flag,True,3.0,2.2898667182106016,5.243489587168591,667.0135370697717,5.243489587168652,1474.2515025952246,2715.107599721836,0.8413732300380837,4.135463598521691,0.10086496581760224,0.491742674334354,4.0,0.0,1.0,0.0,0.0
forbidden_flag,False,1467.0,8.580752479596955,73.62931311610929,459.0970686143192,73.62931311610959,665.981382093748,1034.6839898829146,4.5474735088646406e+17,0.0,0.0,1.0,14.0,2.0,0.0,0.0,0.0
forbidden_flag,True,1.0,2.059215174853389,4.240367136346474,667.0135370697717,4.240367136346575,1474.2515025952246,2715.107599721836,0.6276151081110228,6.526668783840071,0.1591870435082944,0.3914300949671046,4.0,1.0,0.0,0.0,0.0
