group_field,group_value,rows,post_P0_rows,K_prime_max,rayleigh_over_h_max,weight_l2_sq_max,direct_product_max,rho_1_over_16_fail_count,W0_1040_fail_count
post_P0_flag,False,1326,0,73.9100313047598,0.0703125109678581,12959053.727783969,73.91003130475967,19,141
post_P0_flag,True,142,142,64.24988591171167,0.06250000001022,3033676.629773508,64.24988591171059,1,22
threshold_relevant_flag,False,1465,141,73.9100313047598,0.0703125109678581,1150120.8492122318,73.91003130475967,20,160
threshold_relevant_flag,True,3,1,5.2493680971415095,2.950329231534745e-06,12959053.727783969,5.2493680971415095,0,3
forbidden_flag,False,1467,142,73.9100313047598,0.0703125109678581,3033676.629773508,73.91003130475967,20,162
forbidden_flag,True,1,0,4.242257262838288,3.2735856737309205e-07,12959053.727783969,4.242257262838288,0,1
finite_zone_flag,False,142,142,64.24988591171167,0.06250000001022,3033676.629773508,64.24988591171059,1,22
finite_zone_flag,True,1326,0,73.9100313047598,0.0703125109678581,12959053.727783969,73.91003130475967,19,141
row_status,primitive_full_verified,146,22,64.24988591171167,0.0102386405991222,3033676.629773508,64.24988591171059,0,146
row_status,primitive_negative_transfer_verified,2,0,5.2493680971415095,2.950329231534745e-06,12959053.727783969,5.2493680971415095,0,2
row_status,sign_inconsistent_positive_harmless,1320,120,73.9100313047598,0.0703125109678581,12912.439063538932,73.91003130475967,20,15
