candidate_id,block_id,x,y,h,p_star,Q_R2Q,Q_delta_D,Q_exc,epsilon,E_theta,abs_E_theta,row_regime,post_P0_flag,finite_zone_flag,finite_certified_flag,threshold_relevant_flag,forbidden_flag,O2_safe_flag,repaid_flag,B3_safe_flag,non_surviving_flag,surviving_unrepaid_flag,harmless_flag,positive_flag,negative_flag,E_theta_sign,threshold_flag,Q_R2Q_bin,B3_failure,B3_accumulation_risk_flag,B3_surviving_unrepaid_flag,B3_non_surviving_flag,B3_repaid_flag_from_b3,B3_pass,covered_flag
hexc_00020,21,30847123,30831334,15789,30847123,0.338124053326903,0.3244066291128366,0.0060303868534807,0.0076870373605856,-424.33160930738086,424.33160930738086,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,False,False,True,negative,False,"(0.305, 0.75]",False,False,False,True,True,True,True
hexc_00021,22,60209,60208,1,60209,0.0940510554686493,0.0881934154907322,0.0,0.005857639977917,10.005577121783782,10.005577121783782,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00022,23,354553,354550,3,354619,0.0920232096308952,0.088072855820278,0.0146788192753852,-0.010728465464768,22.55722059933116,22.55722059933116,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00023,24,180619079,180557417,61662,180619079,0.5459231094474968,0.5329138719787416,0.0051149881925594,0.0078942492761956,-1166.673386312199,1166.673386312199,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,False,False,True,negative,False,"(0.305, 0.75]",False,False,False,True,True,True,True
hexc_00024,25,109813367,109790208,23159,109813367,0.3557665519303423,0.3389837450779626,0.0045682420338709,0.0122145648185086,-719.8064293124298,719.8064293124298,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,False,False,True,negative,False,"(0.305, 0.75]",False,False,False,True,True,True,True
hexc_00025,26,230563,230560,3,230647,0.0944180902326222,0.0910569767225814,0.0151761792087925,-0.0118150656987517,21.69655017143579,21.69655017143579,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00026,27,1192781,1192323,458,1192781,0.0967472985369818,0.0776974809855303,0.0120403626533005,0.0070094548981509,-38.252494546276125,38.252494546276125,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00027,28,109670797,109660803,9994,109670797,0.2345732370876761,0.2113316628996534,0.0098010101179576,0.0134405640700649,-700.5003791113922,700.5003791113922,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00028,29,3456977,3455716,1261,3456977,0.1341559286414388,0.1174356488415478,0.0077614986724626,0.0089587811274282,-56.54292508843059,56.54292508843059,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00029,30,4994789,4991760,3029,4994789,0.1879865387221068,0.1751074858509674,0.0057126820734734,0.0071663707976659,-113.94054074237602,113.94054074237602,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00030,31,7108243,7105465,2778,7108243,0.1766899326140388,0.1621275115134674,0.0068229245505902,0.007739496549981,-80.20709910296955,80.20709910296955,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00031,32,3293113,3292080,1033,3293113,0.1154116378424172,0.0971366049932867,0.0061349229944132,0.0121401098547171,-117.56184933337444,117.56184933337444,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00032,33,1197619,1197615,4,1197697,0.0726584885625681,0.069431568892584,0.0177247165152088,-0.0144977968452248,23.99169028406876,23.99169028406876,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00033,34,127,126,1,127,0.2157084836048593,0.1926535586334653,0.0,0.0230549249713939,3.844187086458591,3.844187086458591,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00034,35,354953,354952,1,354953,0.080127585396028,0.0762690147674882,0.0,0.0038585706285397,11.779740665326448,11.779740665326448,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00035,36,39707851,39704004,3847,39707851,0.1623741874086595,0.1371454844597804,0.0110407093348006,0.0141879936140783,-452.5803398765943,452.5803398765943,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00036,37,1657,1656,1,1657,0.1389495863976313,0.129017905192041,6.465466393439502e-17,0.0099316812055901,6.412764017426562,6.412764017426562,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00037,38,155921,155920,1,156007,0.0868104441327406,0.081363154764434,0.0,0.0054472893683065,10.957104747706284,10.957104747706284,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00038,39,39690667,39682692,7975,39690667,0.2349256240499423,0.2184817075940539,0.0069005695359736,0.0095433469199146,-364.0109776889212,364.0109776889212,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00039,40,30417481,30409154,8327,30417481,0.24963148266117,0.2357893781039462,0.0085348501864403,0.0053072543707834,-228.7179970545885,228.7179970545885,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00040,41,604672261,604520611,151650,604672261,0.7568596623500748,0.7467076670478365,0.0014698183580815,0.0086821769441567,-1617.0683062109456,1617.0683062109456,primitive_full_verified,True,False,False,True,False,True,True,True,True,False,False,False,True,negative,True,"(0.75, 1.0]",False,True,False,True,True,True,True
hexc_00041,42,7117417,7115469,1948,7117417,0.1460888226947264,0.1301567329770984,0.007641518998895,0.0082905707187329,-117.76229972501552,117.76229972501552,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00042,43,12781267,12779528,1739,12781267,0.1300675391522673,0.1101458902583867,0.0053725661686165,0.014549082725264,-151.7480364006467,151.7480364006467,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00043,44,109588091,109577354,10737,109588091,0.2415685632788372,0.2225301612998425,0.0066368119233886,0.0124015900556059,-629.3445955758762,629.3445955758762,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00044,45,12836777,12833438,3339,12836777,0.1752468754780604,0.1608095545919656,0.0060864238556851,0.0083508970304095,-163.66723291570224,163.66723291570224,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00045,46,618029,618028,1,618029,0.0748436752518515,0.0731760324597099,0.0,0.0016676427921415,12.3342906609052,12.3342906609052,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00046,47,12807413,12805898,1515,12807413,0.1184377830877646,0.0957330676536776,0.006714545286013,0.0159901701480738,-205.7621329185172,205.7621329185172,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00047,48,3440630,3439819,811,3440807,0.1225172337511368,0.1072136412049886,0.0089098695882727,0.0063937229578754,46.90968440981942,46.90968440981942,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00048,49,33902159,33888759,13400,33902159,0.3075518627750951,0.2975764937115444,0.0049814047227133,0.0049939643408373,-291.8733586694325,291.8733586694325,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,False,False,True,negative,False,"(0.305, 0.75]",False,False,False,True,True,True,True
hexc_00049,50,3457967,3457512,455,3457967,0.0793601948576568,0.055366069112823,0.006278619086263,0.0177155066585706,-93.6529697629686,93.6529697629686,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00050,51,12842173,12840082,2091,12842173,0.1392439305539144,0.1199057486653474,0.0050051051752984,0.0143330767132684,-192.29332879440085,192.29332879440085,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00051,52,1512479,1512478,1,1512479,0.0713499660129912,0.0686807082255686,0.0,0.0026692577874225,13.229260584493224,13.229260584493224,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00052,53,356173,356170,3,356243,0.0917954514179663,0.0880421204440856,0.0146736966602346,-0.0109203656863539,22.56633807844032,22.56633807844032,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00053,54,7112297,7110038,2259,7112297,0.1547550134720171,0.1421341086327225,0.0030623697626775,0.0095585350766169,-113.30394854654696,113.30394854654696,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00054,55,12895717,12894136,1581,12895717,0.1217247995908262,0.1031699645978112,0.0082557947953519,0.010299040197663,-156.60587200935356,156.60587200935356,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00055,56,1511449,1511046,403,1511527,0.0952884508457212,0.0811829553542681,0.007718928919738,0.006386566571715,9.625130217388572,9.625130217388572,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00056,57,179620853,179616870,3983,179620853,0.1434186712486546,0.1108425832777827,0.0081468555780067,0.024429232392865,-637.8829200418768,637.8829200418768,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00057,58,1188361,1188358,3,1188511,0.0833294497303515,0.0806391928862905,0.0134398679639979,-0.0107496111199369,24.97616952660599,24.97616952660599,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00058,59,293,292,1,293,0.1707575979731007,0.1660290921582204,5.505631574898212e-17,0.0047285058148801,4.680172609017068,4.680172609017068,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00059,60,3290983,3290975,8,3291137,0.0730965487832678,0.068097615704397,0.0205672364492246,-0.0155683033703539,37.02008815604045,37.02008815604045,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00060,61,1190071,1190068,3,1190143,0.0832943901091022,0.080631858151701,0.0134386455041789,-0.0107761135467777,24.97904537377347,24.97904537377347,sign_inconsistent_positive_harmless,False,True,True,False,False,True,True,True,True,False,True,True,False,positive,False,"(-inf, 0.305]",False,False,False,True,True,True,True
hexc_00061,62,113166227,113154493,11734,113166227,0.2503069484559692,0.2349919129337335,0.0041822745120619,0.0111327610101736,-570.3217879884924,570.3217879884924,primitive_full_verified,False,True,True,False,False,True,True,True,True,False,True,False,True,negative,False,"(-inf, 0.305]",False,False,False,True,True,True,True
