block_id,p_star,y,h,D_start,D_end,DeltaD,exc_abs,exc_signed,exc_t,exc_offset,exc_offset_frac,Q_exc,Q_DeltaD,Q_delayed_proxy,sampled_points,endpoint_line_r2,rms_diff,mean_abs_diff,rms_diff_norm,mean_abs_diff_norm,exc_over_abs_DeltaD,rms_over_abs_DeltaD,max_abs_residual_slope,rms_residual_slope,max_abs_curvature,rms_curvature,zero_crossings,peak_count_90pct,shape_class,endpoint_dominated_2pct,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin,recovery_position
5,356077,355293,784,-445.57865085028266,-1064.0627175890131,-618.4840667387305,58.866313727122474,-58.866313727122474,355941,648.0,0.826530612244898,0.012866187364944506,0.1351797213221275,0.148045908687072,37,0.982435493512823,21.45061344223971,13.346806466867582,0.004688379383159726,0.0029171609678567433,0.09517838355565865,0.034682564346966774,11.668476535217565,2.2926106102421646,12.664303315004759,3.488017178716439,5,2,small_absolute_excursion,False,False,257<=h<=1024,p<100M,0.10-0.25,0.65-0.70,0.1884057971014492
27,1192781,1192323,458,-623.3057979417131,-948.8325897505176,-325.52679180880466,50.44514412859007,-50.44514412859007,1192436,113.0,0.24672489082969432,0.012040362653300515,0.0776974809855303,0.0897378436388308,35,0.9084117540409677,25.787093843605067,20.91853934728615,0.006154922679182681,0.004992884930145626,0.15496464622247927,0.07921650227410743,12.957310165489844,2.806386789949272,13.875011394445437,3.959886119925573,2,3,small_absolute_excursion,False,False,257<=h<=1024,p<100M,0.25-0.50,0.55-0.60,0.1019607843137254
14,1195669,1195386,205,-686.8422426041038,-868.601622871141,-181.7593802670372,35.651017552909366,35.651017552909366,1195534,148.0,0.7219512195121951,0.01271445729899623,0.0648220454203745,0.0775365027193708,32,0.8807115543537705,14.772281905839538,12.008811494899003,0.005268336232529328,0.004282781571016569,0.19614403119405235,0.08127383513377082,12.783999352038336,2.5748258192139972,13.670630475295752,2.8845072234739324,1,1,small_absolute_excursion,False,False,65<=h<=256,p<100M,0.50-1.00,0.60-0.65,0.3293838862559242
56,1511527,1511046,403,-710.2584342675988,-1040.2049989253685,-329.9465646577695,31.371536904404707,31.371536904404707,1511174,128.0,0.3176178660049628,0.007718928919738007,0.0811829553542681,0.0889018842740061,35,0.9637769639072228,15.070227554268937,12.501289624776204,0.00370801136234248,0.003075927274865427,0.09508065930901329,0.04567475212206022,13.086241284855646,3.311607388087549,13.919298556568378,4.314215196999685,6,3,small_absolute_excursion,False,False,257<=h<=1024,p<100M,0.10-0.25,0.55-0.60,0.1410714285714285
19,1515197,1513853,1344,-753.3241327486062,-1758.088336176791,-1004.7642034281848,76.78974942550394,-76.78974942550394,1514743,890.0,0.6622023809523809,0.010342591208451771,0.1353288100910507,0.1456714012995024,37,0.9923597444166155,21.91874028231025,14.033716657153757,0.0029521722917468934,0.001890161064544053,0.07642564211931786,0.02181481008929762,13.159230099598176,2.5499058231042713,14.068497545364323,3.9108499701623836,7,1,small_absolute_excursion,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0705394190871369
18,3241093,3239129,1964,-1080.182066429391,-2475.688277714416,-1395.5062112850246,81.42228980252094,-81.42228980252094,3240710,1581.0,0.804989816700611,0.008174984891822905,0.1401120285534746,0.1482870134452975,39,0.9952040205969599,23.610950211610533,14.52098201380526,0.0023705936265074534,0.001457939943290747,0.05834606047904639,0.016919272748968168,6.623191454643461,1.5908825798540784,7.4774454720794665,1.9108424838422031,9,2,small_absolute_excursion,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0238568588469184
12,3279709,3278912,797,-1129.0381509763808,-1595.281448924815,-466.2432979484343,72.48431875885103,-72.48431875885103,3279010,98.0,0.12296110414052698,0.01140626154171027,0.0733688760483797,0.08477513759009,37,0.9488369824627791,26.55848394776703,19.030120352033606,0.0041792903519915275,0.0029946136436443146,0.15546458056940837,0.05696271466985109,14.094675813484173,2.7464116734828687,14.886617719511378,4.125790902575672,3,1,small_absolute_excursion,False,False,257<=h<=1024,p<100M,0.25-0.50,0.60-0.65,0.0860091743119266
88,3290641,3290318,323,-968.6745457375904,-1187.291206905305,-218.61666116771448,31.763224857564865,-31.763224857564865,3290350,32.0,0.09907120743034056,0.007848002333847626,0.0540154242762154,0.061863426610063,35,0.8851850905891617,18.494628783581742,16.677261068721403,0.004569620701552489,0.0041205886485527945,0.1452918761447798,0.08459844133011142,14.00631446089335,3.5674266148890403,14.826856761371118,5.383636431561785,1,1,small_absolute_excursion,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.1027777777777777
60,3291137,3290975,8,-997.1631099024464,-1040.539142616886,-43.37603271443948,13.100680718981152,13.100680718981152,3290980,5.0,0.625,0.020567236449224698,0.068097615704397,0.0886648521536217,9,0.7616309614018524,6.47215036329897,4.976364417285506,0.010160864897962174,0.00781257598924059,0.30202579395003215,0.1492102886842496,9.261342708003895,7.174476944002313,14.89028901574352,12.469970268942927,2,1,small_absolute_excursion,False,False,5<=h<=16,p<100M,0.50-1.00,0.55-0.60,0.352
32,3293113,3292080,1033,-1036.8409135045636,-1739.9792047404453,-703.1382912358818,44.40858594402789,-44.40858594402789,3292775,695.0,0.6727976766698935,0.006134922994413269,0.0971366049932867,0.1032715279877,37,0.990796777174865,17.067366552912386,11.420657591656326,0.0023578093581163267,0.0015777321745547553,0.06315768391161355,0.02427312914919435,14.00300621936185,2.4909297679502984,14.890626244733085,3.7079197513925535,6,1,small_absolute_excursion,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0161904761904761
