metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime,lambda_event_count,prime_event_count,prime_power_event_count,sample_count,B_prime_effective_support_frac
lambda_event_weight_sum,7,hexc_00009,10,178298621,43765,False,42006.451970120135,3.6259487032169244,2211,2211,0,40,0.1100354775024901
lambda_event_weight_sum,8,hexc_00024,25,109813367,23159,False,22439.193570687552,8.632103006924334,1212,1212,0,41,0.08602448171814606
lambda_event_weight_sum,9,hexc_00104,105,604432601,22162,True,21473.408659792687,8.95372083559938,1062,1062,0,41,0.05650367396336649
lambda_event_weight_sum,10,hexc_00183,184,604356173,20686,True,20320.755350698288,10.34327835039503,1005,1005,0,40,0.055112601838899655
lambda_event_weight_sum,11,hexc_00020,21,30847123,15789,False,15364.668390692605,6.28187190744635,891,891,0,40,0.04889656085484474
lambda_event_weight_sum,12,hexc_00048,49,33902159,13400,False,13108.126641330573,4.868706166264128,756,756,0,41,0.052865033428749535
lambda_event_weight_sum,13,hexc_00074,75,113195507,12848,False,12526.857243829116,15.294287511442386,676,675,1,41,0.1126264036386013
lambda_event_weight_sum,14,hexc_00061,62,113166227,11734,False,11163.6782120115,6.659239168363856,602,602,0,40,0.08063545118891983
lambda_event_weight_sum,15,hexc_00008,9,12883477,11482,False,11001.318498200164,3.459859086542252,672,672,0,39,0.0801296065235554
lambda_event_weight_sum,16,hexc_00089,90,179641471,10782,False,10320.498783983432,15.782038821551193,543,543,0,40,0.08891275932428822
lambda_event_weight_sum,17,hexc_00078,79,109546081,10586,False,10255.54152906775,14.296962892039497,554,554,0,40,0.16222102766203625
lambda_event_weight_sum,18,hexc_00043,44,109588091,10737,False,10107.655404424126,15.650024564874375,546,546,0,40,0.07581503938024836
lambda_event_weight_sum,19,hexc_00027,28,109670797,9994,False,9293.499620888617,17.104383267421262,502,502,0,40,0.037927074987456136
lambda_event_weight_sum,20,hexc_00127,128,187449539,9358,False,8981.601107973736,11.35315314289714,472,471,1,39,0.08446426727140825
lambda_event_weight_sq_sum,1,hexc_00000,1,180530237,684790,False,12959053.727783969,4.242257262839463,35864,35861,3,41,0.15926267327466226
lambda_event_weight_sq_sum,2,hexc_00040,41,604672261,151650,True,3033676.629773508,2.150447574178819,7420,7420,0,41,0.1452468690931007
lambda_event_weight_sq_sum,3,hexc_00006,7,30774449,104130,False,1779248.2415295793,5.249368097143086,5986,5986,0,41,0.10091716949212236
lambda_event_weight_sq_sum,4,hexc_00023,24,180619079,61662,False,1150120.8492122318,14.887526869901857,3182,3182,0,41,0.10625611742141922
lambda_event_weight_sq_sum,5,hexc_00002,3,30974597,64413,False,1093316.616665536,2.1234801731745523,3676,3675,1,41,0.11628240312003037
lambda_event_weight_sq_sum,6,hexc_00063,64,604810421,53021,True,1051188.9309305267,2.142086434591942,2571,2571,0,41,0.11110716423183119
lambda_event_weight_sq_sum,7,hexc_00009,10,178298621,43765,False,798074.177811984,3.6259487032169244,2211,2211,0,40,0.1100354775024901
