rank,x,theta_x,H_x,abs_H_x,M_x,ratio,sign,endpoint_type
65,149,131.647590,-17.352410,17.352410,305.645789,0.0567729399,negative,prime_endpoint
66,347,311.618959,-35.381041,35.381041,637.347387,0.0555129616,negative,pre_prime_left_limit
67,229,204.747486,-24.252514,24.252514,446.799391,0.0542805436,negative,pre_prime_left_limit
68,223,199.322536,-23.677464,23.677464,436.609081,0.0542303513,negative,prime_endpoint
69,137,121.709170,-15.290830,15.290830,283.326451,0.0539689470,negative,prime_endpoint
70,211,188.563506,-22.436494,22.436494,416.054681,0.0539267907,negative,pre_prime_left_limit
71,193,172.724308,-20.275692,20.275692,384.763851,0.0526964589,negative,pre_prime_left_limit
72,131,116.789189,-14.210811,14.210811,272.032031,0.0522394774,negative,prime_endpoint
73,307,277.025012,-29.974988,29.974988,574.646098,0.0521625188,negative,pre_prime_left_limit
74,89,79.153679,-9.846321,9.846321,190.074498,0.0518024285,negative,prime_endpoint
75,79,70.246202,-8.753798,8.753798,169.694070,0.0515857598,negative,prime_endpoint
76,181,162.273537,-18.726463,18.726463,363.575733,0.0515063610,negative,pre_prime_left_limit
77,331,299.996758,-31.003242,31.003242,612.473309,0.0506197443,negative,pre_prime_left_limit
78,251,226.593507,-24.406493,24.406493,483.696149,0.0504583155,negative,pre_prime_left_limit
79,257,232.118960,-24.881040,24.881040,493.637246,0.0504034898,negative,pre_prime_left_limit
80,239,215.632247,-23.367753,23.367753,463.659704,0.0503984995,negative,pre_prime_left_limit
81,233,210.181208,-22.818792,22.818792,453.561781,0.0503102174,negative,pre_prime_left_limit
82,263,237.668036,-25.331964,25.331964,503.528551,0.0503088927,negative,pre_prime_left_limit
83,227,204.747486,-22.252514,22.252514,443.408905,0.0501850855,negative,prime_endpoint
84,269,243.240190,-25.759810,25.759810,513.371215,0.0501777448,negative,pre_prime_left_limit
85,337,305.798876,-31.201124,31.201124,621.832328,0.0501761046,negative,pre_prime_left_limit
86,109,97.651069,-11.348931,11.348931,229.778043,0.0493908430,negative,pre_prime_left_limit
87,349,317.468284,-31.531716,31.531716,640.438132,0.0492346015,negative,pre_prime_left_limit
88,163,146.814866,-16.185134,16.185134,331.260069,0.0488592971,negative,prime_endpoint
89,311,282.751860,-28.248140,28.248140,580.995330,0.0486202534,negative,pre_prime_left_limit
90,419,382.740850,-36.259150,36.259150,746.233360,0.0485895594,negative,pre_prime_left_limit
91,197,177.986998,-19.013002,19.013002,391.766980,0.0485314057,negative,pre_prime_left_limit
92,191,172.724308,-18.275692,18.275692,381.251304,0.0479360786,negative,prime_endpoint
93,367,335.073146,-31.926854,31.926854,668.076292,0.0477892334,negative,pre_prime_left_limit
94,157,141.721116,-15.278884,15.278884,320.336321,0.0476963845,negative,prime_endpoint
95,557,512.120682,-44.879318,44.879318,943.439893,0.0475698753,negative,pre_prime_left_limit
96,431,394.821354,-36.178646,36.178646,763.939426,0.0473580040,negative,pre_prime_left_limit
97,373,340.978508,-32.021492,32.021492,677.219393,0.0472837789,negative,pre_prime_left_limit
98,83,74.665043,-8.334957,8.334957,177.891714,0.0468541045,negative,prime_endpoint
99,563,518.443247,-44.556753,44.556753,951.725103,0.0468168305,negative,pre_prime_left_limit
100,379,346.900086,-32.099914,32.099914,686.328679,0.0467704681,negative,pre_prime_left_limit
