candidate_id,block_id,p_star,start_prime,worst_prime,end_prime,y,h,Q_R2Q,Q_tail_start,Q_tail_max_inside,Q_tail_end,Q_O2,Q_exc,Q_o2p4_total,accumulation_value,accumulation_balance,accumulation_margin,B3_value,B3_balance,B3_margin,unrepaid_tail,post_P0_flag,finite_certified_flag,near_forbidden_flag,forbidden_flag,C_minus_flag,covered_flag,O2_applicable_flag,B3_applicable_flag,endpoint_repaid_flag,endpoint_harmful_flag,endpoint_repayment_failure_flag,positive_unrepaid_tail_flag,negative_unrepaid_tail_flag,tail_forbidden_unrepaid_flag,candidate_crossing_flag,tail_candidate_flag,tail_candidate_crossing_flag,B3_status,B3_block_pass,O2_E_theta,E_theta_sign,O2_Q_R2Q,O2_finite_certified_flag,O2_threshold_relevant_flag,O2_forbidden_flag,O2_near_forbidden_flag,O2_negative_subthreshold_flag,O2_B3_repaid_flag,O2_B3_block_pass,O2_harmless_flag,O2_repaid_flag,O2_surviving_flag,O2_non_surviving_flag,O2_unrepaid_flag,O2_surviving_unrepaid_flag,O2_available_flag,O2_value,O2_margin,O2_failure_flag,O2_row_regime,TT_Q_R2Q,TT_E_theta,TT_Q_delta_D,TT_Q_exc,TT_epsilon,TT_threshold_relevant_flag,TT_positive_harmless_flag,TT_negative_transfer_flag,TT_finite_certified_flag,TT_row_regime,E_theta,row_regime,positive_flag,negative_flag,neutral_flag,threshold_row_flag,positive_harmless_flag,negative_subthreshold_flag,threshold_relevant_flag,O2_safe_flag,repaid_flag,surviving_flag,non_surviving_flag,harmless_flag,unrepaid_flag,surviving_unrepaid_flag,accumulation_risk_flag,B3_repaid_flag,B3_surviving_flag,zero_crossing_count,zero_crossing_flag,persistence_failure_flag,B3_numeric_failure_flag,B3_accumulation_failure_flag,B3_failure_flag,row_class
b3_00001,1,180530237,179667343,179845447,180530237,179845447.0,684790.0,1.8193520399038576,0.0,0.9071321825031058,0.0,0.0499059549846063,0.0022301154184481,9.5330264469676e-05,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,pass,True,-3089.9881332697114,negative,1.8193520399038576,True,True,True,True,False,True,True,False,True,False,True,False,False,True,0.0499059549846063,9.404501539370114e-05,False,primitive_negative_transfer_verified,1.8193520399038576,-3089.9881332697114,1.8091175489119344,0.0022301154184481,0.008004375573475,True,False,True,True,primitive_negative_transfer_verified,-3089.9881332697114,primitive_negative_transfer_verified,False,True,False,True,False,False,True,True,True,False,True,False,False,False,False,True,False,0,False,False,False,False,False,F_finite
b3_00007,7,30774449,30650107,30670319,30774449,30670319.0,104130.0,0.862526348366495,0.0032325641194259,0.647867166329954,0.0,0.0499059549846063,0.0037875901851982,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,pass,True,-928.3530182520336,negative,0.862526348366495,True,True,False,True,False,True,True,False,True,False,True,False,False,True,0.0499059549846063,9.404501539370114e-05,False,primitive_negative_transfer_verified,0.862526348366495,-928.3530182520336,0.8528427097579773,0.0037875901851982,0.0058960484233195,True,False,True,True,primitive_negative_transfer_verified,-928.3530182520336,primitive_negative_transfer_verified,False,True,False,True,False,False,True,True,True,False,True,False,False,False,False,True,False,0,False,False,False,False,False,F_finite
b3_00041,41,604672261,604435829,604520611,604672261,604520611.0,151650.0,0.7568596623500748,0.0004146196386161,0.260270594288893,0.0,0.0499059549846063,0.0014698183580815,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,pass,True,-1617.0683062109456,negative,0.7568596623500748,False,True,False,True,False,True,True,False,True,False,True,False,False,True,0.0499059549846063,9.404501539370114e-05,False,primitive_full_verified,0.7568596623500748,-1617.0683062109456,0.7467076670478365,0.0014698183580815,0.0086821769441568,True,False,True,False,primitive_full_verified,-1617.0683062109456,primitive_full_verified,False,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,True,0,False,False,False,False,False,T_threshold_negative
