candidate_id,x,selected_block_id,control_type,right_endpoint_control_flag,containing_block_control_flag,partial_interval_used_flag,x_precedes_J_flag,scale_ratio,pstar_over_x,h_over_x,status
cand_00000,180530237,theta_local:1:179845447:684790,finite_certificate,True,True,False,True,0.061589081692324424,1.0,0.0037932149837038103,covered
cand_00001,24181,theta_local:2:24178:3,finite_certificate,True,True,False,True,0.011150799532227373,1.0056242504445638,0.00012406434804185105,covered
cand_00002,30974597,theta_local:3:30910184:64413,finite_certificate,True,True,False,True,0.0456020042802328,1.0,0.0020795427943743707,covered
cand_00003,59921,theta_local:4:59920:1,finite_certificate,True,True,False,True,0.004085173196172094,1.0,1.668864004272292e-05,covered
cand_00004,356077,theta_local:5:355293:784,finite_certificate,True,True,False,True,0.046923032353725275,1.0,0.002201770965268748,covered
cand_00005,3448507,theta_local:6:3446024:2483,finite_certificate,True,True,False,True,0.026833220770958018,1.0,0.0007200217369429727,covered
cand_00006,30774449,theta_local:7:30670319:104130,finite_certificate,True,True,False,True,0.05816915985417842,1.0,0.003383651158140963,covered
cand_00007,3452747,theta_local:8:3451296:1451,finite_certificate,True,True,False,True,0.020499880428897634,1.0,0.00042024509759910005,covered
cand_00008,12883477,theta_local:9:12871995:11482,finite_certificate,True,True,False,True,0.029853291940837728,1.0,0.0008912190397048871,covered
cand_00009,178298621,theta_local:10:178254856:43765,finite_certificate,True,True,False,True,0.0156671309818421,1.0,0.0002454589932021964,covered
cand_00010,211,theta_local:11:210:1,finite_certificate,True,True,False,True,0.06884283908215143,1.0,0.004739336492890996,covered
cand_00011,3279709,theta_local:12:3278912:797,finite_certificate,True,True,False,True,0.015588757633318009,1.0,0.00024300936455033052,covered
cand_00012,42899,theta_local:13:42898:1,finite_certificate,True,True,False,True,0.004828101767762978,1.0,2.3310566679875986e-05,covered
cand_00013,1195591,theta_local:14:1195386:205,finite_certificate,True,True,False,True,0.013094522345503177,1.0000652397015368,0.00017146331814140453,covered
cand_00014,43133,theta_local:15:43132:1,finite_certificate,True,True,False,True,0.004814987536601454,1.0,2.318410497762734e-05,covered
cand_00015,58309,theta_local:16:58308:1,finite_certificate,True,True,False,True,0.004141257194078538,1.0,1.7150011147507247e-05,covered
cand_00016,59333,theta_local:17:59332:1,finite_certificate,True,True,False,True,0.004105365668222031,1.0,1.6854027269816123e-05,covered
cand_00017,3241093,theta_local:18:3239129:1964,finite_certificate,True,True,False,True,0.02461642579007996,1.0,0.0006059684186785136,covered
cand_00018,1515197,theta_local:19:1513853:1344,finite_certificate,True,True,False,True,0.029782769714359624,1.0,0.0008870133718585768,covered
cand_00019,58511,theta_local:20:58510:1,finite_certificate,True,True,False,True,0.004134102494940063,1.0,1.7090803438669653e-05,covered
cand_00020,30847123,theta_local:21:30831334:15789,finite_certificate,True,True,False,True,0.022624030613567287,1.0,0.0005118467612036299,covered
cand_00021,60209,theta_local:22:60208:1,finite_certificate,True,True,False,True,0.004075391102211499,1.0,1.6608812635984655e-05,covered
cand_00022,354553,theta_local:23:354550:3,finite_certificate,True,True,False,True,0.0029089261571807316,1.0001861498845024,8.461358386475366e-06,covered
cand_00023,180619079,theta_local:24:180557417:61662,finite_certificate,True,True,False,True,0.018476809950255735,1.0,0.0003413925059378694,covered
cand_00024,109813367,theta_local:25:109790208:23159,finite_certificate,True,True,False,True,0.014522196119144612,1.0,0.00021089418012289887,covered
