component,rows,max,tail_max,finite_max,mean,q95,q99,nonzero_frac,worst_block_id,worst_p_star,worst_h,worst_is_tail,worst_shell_pattern
projection_leak_response_abs,1468,0.4011668793555976,0.026983077621651214,0.4011668793555976,0.0306471570746745,0.04811273523573665,0.08859828924568254,1.0,34,127,1,False,10000
projection_leak_E_abs,1468,0.4011668793555976,0.026983077621651214,0.4011668793555976,0.0306471570746745,0.04811273523573664,0.08859828924568254,1.0,34,127,1,False,10000
post_Q,1468,0.03946320129494251,0.03437235322817768,0.03946320129494251,0.0012825557376887934,0.013817173144016412,0.022005995397103465,0.09264305177111716,272,39651113,347,False,11111
finite_zone_Q,1468,0.03946320129494251,0.0,0.03946320129494251,0.0009962806852205819,0.009965778428896864,0.018747572674901125,0.07697547683923706,272,39651113,347,False,11111
slack_proxy_sum_overcount,1468,0.019754849314279888,0.019754849314279888,0.018563746874519164,0.0004290008862932877,0.00010760223386521902,0.016536754278555357,0.05313351498637602,680,604865039,3,True,10100
boundary_local_proxy_Q,1468,0.019754849314279888,0.019754849314279888,0.018563746874519164,0.00036718774860855833,0.0,0.016536754278555357,0.02656675749318801,680,604865039,3,True,10100
projection_leak_negative_extra,1468,0.009502682738794031,0.009502682738794031,0.007399973009039728,6.089480513108243e-05,0.0,0.002035344781619853,0.023841961852861037,41,604672261,151650,True,11111
Qpp_norm,1468,0.0006293709991497,0.0,0.0006293709991497,9.183325536469182e-07,0.0,0.0,0.0034059945504087193,153,108849263,1843,False,11111
