candidate_id,block_id,x,y,h,p_star,E_theta_sign,DeltaD_sign,channel_full,channel_inferred,channel,post_P0_flag,finite_zone_flag,E_theta,D_start,D_end,DeltaD,Q_delta_D,Q_R2Q,Q_exc,epsilon,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,S,E_theta_norm,neg_E_theta_norm,DeltaD_norm_signed,Q_delta_D_share,h_over_x,pstar_over_x,rho_proxy,log_pstar,inv_log_pstar,sqrt_h_over_sqrt_x,h_bin,p_star_bin,row_regime,sign_consistent,sign_inconsistent_flag,positive_harmless_flag,sign_inconsistent_positive_harmless,sign_inconsistent_threshold_relevant,sign_inconsistent_forbidden,threshold_margin_Q_delta_D_minus_0p75,positive_cap_margin_0p25_minus_Q_delta_D,minus_E_theta,failure_type,status
hexc_00000,1,180530237,179845447,684790,180530237,negative,negative,,,,False,True,-3089.9881332697114,-9765.168998323748,-550860.8832795271,-541095.7142812033,1.8091175489119344,1.8193520399038576,0.0022301154184481,0.0080043755734753,True,True,True,299093.72920882725,-0.010331169902637048,0.010331169902637048,-1.8091175489119342,0.9943746505528067,0.0037932149837038103,1.0,1.0,19.011408839713177,0.05259999447863575,0.06158908169232441,h>65536,100M<=p<500M,forbidden_negative,True,False,False,False,False,False,1.0591175489119344,-1.5591175489119344,3089.9881332697114,,pass
hexc_00001,2,24181,24178,3,24317,positive,negative,,,,False,True,17.186562246627208,-123.17681954167884,-142.7166816494566,-19.53986210777775,0.1106139903704657,0.1157979799474991,0.0184358992034248,-0.0132519096263914,False,False,False,176.64910236341098,0.09729210064860783,-0.09729210064860783,-0.1106139903704657,0.9552324696908897,0.00012406434804185105,1.0056242504445638,1.0,10.09893097320806,0.09902038172683308,0.01113841766328822,2<=h<=4,1K<=p<100K,positive_harmless,False,True,True,True,False,False,-0.6393860096295343,0.1393860096295343,-17.186562246627208,,pass
hexc_00002,3,30974597,30910184,64413,30974597,negative,negative,,,,False,True,-1027.9446158131832,-4189.11794672998,-54354.14035448835,-50165.02240775837,0.6643586881865706,0.6812241515207513,0.0022416133345536,0.014623849999627,False,False,False,75508.94313535435,-0.013613547920681797,0.013613547920681797,-0.6643586881865706,0.9752424172036024,0.0020795427943743707,1.0,1.0,17.24867797490251,0.057975457681744565,0.0456020042802328,8193<=h<=65536,1M<=p<100M,subthreshold_negative,True,False,False,False,False,False,-0.08564131181342938,-0.4143586881865706,1027.9446158131832,,pass
hexc_00003,4,59921,59920,1,59921,positive,negative,,,,False,True,10.0007823069704,-239.1624278487056,-249.839860090676,-10.677432241970394,0.0882306914983774,0.0921982535693211,2.348567539256741e-16,0.0039675620709434,False,False,False,121.017211365353,0.08263933860430703,-0.08263933860430703,-0.08823069149837741,0.9569670582972527,1.668864004272292e-05,1.0,1.0,11.0007823069704,0.0909026260220032,0.004085173196172093,h=1,1K<=p<100K,positive_harmless,False,True,True,True,False,False,-0.6617693085016226,0.1617693085016226,-10.0007823069704,,pass
hexc_00004,5,356077,355293,784,356077,negative,negative,,,,False,True,-4.315460261267276,-445.57865085028266,-1064.0627175890131,-618.4840667387305,0.1351797213221275,0.1566810093663226,0.0128661873649445,0.0086351006792505,False,False,False,4575.2725385852,-0.0009432138140128665,0.0009432138140128665,-0.13517972132212755,0.8627702991501366,0.002201770965268748,1.0,1.0,12.782902278581227,0.07822949579107553,0.04692303235372527,257<=h<=1024,100K<=p<1M,subthreshold_negative,True,False,False,False,False,False,-0.6148202786778725,0.1148202786778725,4.315460261267276,,pass
hexc_00005,6,3448507,3446024,2483,3448507,negative,negative,,,,False,True,-285.247239607314,-1269.9908564127795,-2957.528938594951,-1687.5380821821711,0.1494490028165924,0.1786966438467436,0.0076387824505859,0.0216088585795651,False,False,False,11291.73196460307,-0.025261602073224653,0.025261602073224653,-0.14944900281659243,0.8363279779600394,0.0007200217369429727,1.0,1.0,15.053451941719482,0.06642994602643777,0.026833220770958018,1025<=h<=8192,1M<=p<100M,subthreshold_negative,True,False,False,False,False,False,-0.6005509971834075,0.1005509971834076,285.247239607314,,pass
hexc_00006,7,30774449,30670319,104130,30774449,negative,negative,,,,False,True,-928.3530182520336,-3672.24244464055,-85488.94963792409,-81816.70719328354,0.8528427097579773,0.862526348366495,0.0037875901851982,0.0058960484233194,True,False,True,95934.11101151556,-0.009676985677603223,0.009676985677603223,-0.8528427097579773,0.9887729358913415,0.003383651158140963,1.0,1.0,17.242195325731537,0.05799725505415436,0.05816915985417842,h>65536,1M<=p<100M,threshold_relevant_negative,True,False,False,False,False,False,0.10284270975797727,-0.6028427097579773,928.3530182520336,,pass
hexc_00007,8,3452747,3451296,1451,3452747,negative,negative,,,,False,True,-246.6432758578178,-1239.2532286860674,-2145.539374150402,-906.2861454643348,0.1049756413821095,0.1383470038914393,0.0076429115920426,0.0257284509172871,False,False,False,8633.299435299174,-0.028568831384367565,0.028568831384367565,-0.10497564138210953,0.7587850725302568,0.00042024509759910005,1.0,1.0,15.05468070406716,0.0664245240172939,0.02049988042889763,1025<=h<=8192,1M<=p<100M,subthreshold_negative,True,False,False,False,False,False,-0.6450243586178905,0.14502435861789048,246.6432758578178,,pass
hexc_00008,9,12883477,12871995,11482,12883477,negative,negative,,,,False,True,-480.68150179983786,-2412.5263892811627,-11055.629614520863,-8643.103225239702,0.3009444286825112,0.3212949859833325,0.0039191521021917,0.0164314051986295,False,False,False,28719.930995492716,-0.016736861306361622,0.016736861306361622,-0.30094442868251126,0.9366608313586412,0.0008912190397048871,1.0,1.0,16.371456195625765,0.06108192136672526,0.029853291940837728,8193<=h<=65536,1M<=p<100M,subthreshold_negative,True,False,False,False,False,False,-0.4490555713174888,-0.0509444286825112,480.68150179983786,,pass
hexc_00009,10,178298621,178254856,43765,178298621,negative,negative,,,,False,True,-1758.548029879923,-8710.023780257156,-41728.370810160646,-33018.34702990349,0.437251926315424,0.4625799992422776,0.0025143310542018,0.0228137418726517,False,False,False,75513.32548295001,-0.023287916650909273,0.023287916650909273,-0.43725192631542403,0.9452460699374338,0.0002454589932021964,1.0,1.0,18.998970348647543,0.0526344313217577,0.015667130981842095,8193<=h<=65536,100M<=p<500M,subthreshold_negative,True,False,False,False,False,False,-0.312748073684576,-0.18725192631542398,1758.548029879923,,pass
