crossing_id,block_id,p_star,y,h,local_theta_sign,theta_end_error,theta_end_norm,E_theta_local,theta_local_norm,Q_theta,Q_R2Q,B2_active_flag,covered_flag,finite_certificate_flag,negative_transfer_flag,positive_harmless_flag,Cplus_value,O2_B3_repaid_flag,tail_flag,near_forbidden_R2Q,forbidden_R2Q,crossing_status
0,1,180530237,179845447,684790,negative,-7329.511083602905,-0.0015092855944754,-3089.9881332697114,-0.010331169902637,0.010331169902637,1.8193520399038576,True,True,True,True,False,,True,False,True,True,negative_transferred_repaid
1,2,24317,24178,3,positive,-74.5195169333092,-0.0047039706595976,17.186562246627208,0.0972921006486078,0.0972921006486078,0.1157979799474991,True,True,True,False,True,0.1157979799474991,False,False,False,False,positive_harmless
2,3,30974597,30910184,64413,negative,-3143.99026767537,-0.0018987453894903,-1027.9446158131832,-0.0136135479206817,0.0136135479206817,0.6812241515207513,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
3,4,59921,59920,1,positive,-170.4337727178281,-0.0057533260944789,10.0007823069704,0.082639338604307,0.082639338604307,0.0921982535693211,True,True,True,False,True,0.0921982535693211,False,False,False,False,positive_harmless
4,5,356077,355293,784,negative,-365.7594953235239,-0.0037511524150766,-4.315460261267276,-0.0009432138140128,0.0009432138140128,0.1566810093663226,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
5,6,3448507,3446024,2483,negative,-1093.270455588121,-0.0025980042378904,-285.247239607314,-0.0252616020732246,0.0252616020732246,0.1786966438467436,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
6,7,30774449,30670319,104130,negative,-3146.412768442184,-0.0019078113651647,-928.3530182520336,-0.0096769856776032,0.0096769856776032,0.862526348366495,True,True,True,True,False,,True,False,True,False,negative_transferred_repaid
7,8,3452747,3451296,1451,negative,-1088.0371295344085,-0.0025835581430731,-246.6432758578178,-0.0285688313843675,0.0285688313843675,0.1383470038914393,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
8,9,12883477,12871995,11482,negative,-2058.0660384446383,-0.0021392825173867,-480.68150179983786,-0.0167368613063616,0.0167368613063616,0.3212949859833325,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
9,10,178298621,178254856,43765,negative,-7285.228781759739,-0.0015115032059114,-1758.548029879923,-0.0232879166509092,0.0232879166509092,0.4625799992422776,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
10,11,211,210,1,positive,-17.08463559501658,-0.0410634379539066,4.351858133476067,0.1519376986384418,0.1519376986384418,0.1912764152417241,True,True,True,False,True,0.1912764152417241,False,False,False,False,positive_harmless
