block_id,p_star,y,h,D_start,D_end,DeltaD,DeltaD_sign,Q_DeltaD,Q_exc,Q_delayed_proxy,theta_local_sign_if_available,R2Q_obstruction_sign,B2_repayment_sign,endpoint_favorable_flag,endpoint_already_counted_flag,endpoint_harmful_flag,endpoint_harmful_Q,endpoint_repayment_Q,double_count_risk_flag,delayed_risk_proxy,large_endpoint_flag,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin,recovery_position
99,4991101,4990677,357,-1187.829339260422,-1454.0770886755686,-266.2477494151465,negative,0.0592385896584613,0.0071299286054191,0.0663685182638805,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0592385896584613,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.0619469026548672
30,4994789,4991760,3029,-1282.5533183929576,-3575.231370335033,-2292.6780519420754,negative,0.1751074858509674,0.0057126820734734,0.1808201679244408,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1751074858509674,False,False,False,False,1025<=h<=8192,p<100M,0.05-0.10,0.55-0.60,0.0235332043842682
31,7108243,7105465,2778,-1580.4968693296976,-3707.454245328314,-2126.957375998616,negative,0.1621275115134674,0.0068229245505902,0.1689504360640577,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1621275115134674,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0709030100334448
54,7112297,7110038,2259,-1488.4660516560812,-3170.0701790061385,-1681.6041273500573,negative,0.1421341086327225,0.0030623697626775,0.1451964783954001,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1421341086327225,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0237683664649956
42,7117417,7115469,1948,-1505.373515836785,-2935.478994847477,-1430.1054790106923,negative,0.1301567329770984,0.007641518998895,0.1377982519759935,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1301567329770984,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.039447731755424
175,12776941,12776609,332,-1883.618079285617,-2159.0713721740294,-275.4532928884128,negative,0.0564605318020301,0.0075023689938937,0.0639629007959238,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0564605318020301,False,False,False,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,0.2905982905982906
43,12781267,12779528,1739,-2025.7534664814043,-3255.654084869332,-1229.9006183879278,negative,0.1101458902583867,0.0053725661686165,0.1155184564270032,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.1101458902583867,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.55-0.60,0.0630387931034482
82,12782599,12782006,494,-1913.6440995584924,-2237.438634810692,-323.79453525219947,negative,0.0544062230194822,0.0108684538700757,0.065274676889558,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0544062230194822,False,False,False,False,257<=h<=1024,p<100M,0.50-1.00,0.50-0.55,0.1015151515151515
154,12801751,12800706,1045,-1866.3131855344056,-2649.979196511098,-783.6660109766922,negative,0.0905182056127375,0.0050052374179884,0.095523443030726,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0905182056127375,False,False,False,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,0.0395220588235294
235,12805417,12804850,567,-1837.6669933460464,-2261.2276249081365,-423.5606315620903,negative,0.066415879984152,0.0051852383941086,0.0716011183782606,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.066415879984152,False,False,False,False,257<=h<=1024,p<100M,0.10-0.25,0.50-0.55,0.055
47,12807413,12805898,1515,-2004.667713167148,-3002.6634605183744,-997.9957473512264,negative,0.0957330676536776,0.006714545286013,0.1024476129396907,not_available,negative-deficit-facing,endpoint_descent_counted_by_B2,True,True,False,0.0,0.0957330676536776,False,False,False,False,1025<=h<=8192,p<100M,0.25-0.50,0.55-0.60,0.023840206185567
