metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime_sampled,optional_K_prime_full,optional_full_to_sampled_energy_ratio,sample_count,sample_offset_gaps_max,lambda_event_count,event_to_sample_alignment_score
K_prime_sampled,1,hexc_00304,305,30386821,13,False,73.9100313047598,73.9100313047598,98.36655018928595,1.3308957992952595,12,2,4,1.0
K_prime_sampled,2,hexc_00453,454,604143557,767,True,64.2498859117116,64.2498859117116,1862.98018049244,28.995851962327798,37,133,35,0.5559038662486938
K_prime_sampled,3,hexc_00442,443,604711937,771,True,59.23603287892971,59.23603287892971,931.7988715415215,15.730271361115456,37,133,34,0.5662979830839298
K_prime_sampled,4,hexc_00275,276,108562291,313,False,56.083964188648075,56.083964188648075,1011.2379544616175,18.030785966914614,33,50,16,0.6705202312138728
K_prime_sampled,5,hexc_00081,82,12782599,494,False,55.20495342984067,55.20495342984067,1575.5811266564385,28.54057523404718,36,82,26,0.6519071752467325
K_prime_sampled,6,hexc_00355,356,33821677,7,False,55.20452323086655,55.20452323086655,55.20452323086655,1.0,8,1,3,1.0
K_prime_sampled,7,hexc_00242,243,30781319,7,False,54.60627873649688,54.60627873649688,54.60627873649688,1.0,8,1,3,1.0
K_prime_sampled,8,hexc_00198,199,39635819,218,False,51.891526973946796,51.891526973946796,267.83891088679525,5.161515309065182,35,32,14,0.8042387060791968
K_prime_sampled,9,hexc_00662,663,604872131,4,True,51.10871692039162,51.10871692039162,51.10871692039162,1.0,5,1,2,1.0
K_prime_sampled,10,hexc_00026,27,1192781,458,False,50.66738569136996,50.66738569136996,861.3782100994046,17.000644464790707,35,74,30,0.6674507497794766
K_prime_sampled,11,hexc_00273,274,109547591,776,False,47.57965339891257,47.57965339891257,1349.1253077624658,28.355089022008304,37,134,36,0.5456147565059037
K_prime_sampled,12,hexc_00059,60,3291137,8,False,47.50332782189178,47.50332782189178,47.50332782189178,1.0,9,1,3,1.0
K_prime_sampled,13,hexc_00303,304,604870961,1710,True,45.488075748826134,45.488075748826134,3704.4680363368107,81.43822255291616,36,328,75,0.3903155431510439
K_prime_sampled,14,hexc_00673,674,187509659,4,False,45.35967113037005,45.35967113037005,45.35967113037005,1.0,5,1,2,1.0
K_prime_sampled,15,hexc_00322,323,179438351,4,False,45.150375852758884,45.150375852758884,45.150375852758884,1.0,5,1,2,1.0
K_prime_sampled,16,hexc_00444,445,179382319,4,False,45.14888968695816,45.14888968695816,45.14888968695816,1.0,5,1,2,1.0
K_prime_sampled,17,hexc_00525,526,179146433,4,False,45.14263941256953,45.14263941256953,45.14263941256953,1.0,5,1,2,1.0
K_prime_sampled,18,hexc_00448,449,178913689,4,False,45.136465138744505,45.136465138744505,45.136465138744505,1.0,5,1,2,1.0
K_prime_sampled,19,hexc_00423,424,178907011,4,False,45.1362857468437,45.1362857468437,45.1362857468437,1.0,5,1,2,1.0
K_prime_sampled,20,hexc_00459,460,178299217,4,False,45.12012021068158,45.12012021068158,45.12012021068158,1.0,5,1,2,1.0
optional_K_prime_full,1,hexc_00000,1,180530237,684790,False,224364.1899425553,4.242257262839463,224364.1899425553,52887.9264131148,41,218316,35864,0.0005878487837910868
optional_K_prime_full,2,hexc_00040,41,604672261,151650,True,52989.54013889719,2.150447574178819,52989.54013889719,24641.168087593134,41,43800,7420,0.003165485405860318
optional_K_prime_full,3,hexc_00023,24,180619079,61662,False,47326.17452119338,14.887526869901857,47326.17452119338,3178.9144654289626,41,16667,3182,0.007951862833145583
optional_K_prime_full,4,hexc_00104,105,604432601,22162,True,33652.84775716971,8.95372083559938,33652.84775716971,3758.532165015498,41,5511,1062,0.026591194804820948
optional_K_prime_full,5,hexc_00002,3,30974597,64413,False,32054.642903055512,2.1234801731745523,32054.642903055512,15095.3342103188,41,17470,3676,0.00695810013778153
optional_K_prime_full,6,hexc_00006,7,30774449,104130,False,27467.107511338865,5.249368097143086,27467.107511338865,5232.459793834529,41,29276,5986,0.004048022911593514
optional_K_prime_full,7,hexc_00024,25,109813367,23159,False,27452.176913513507,8.632103006924334,27452.176913513507,3180.2420443190326,41,5780,1212,0.023348936666563864
optional_K_prime_full,8,hexc_00063,64,604810421,53021,True,25170.595562141607,2.142086434591942,25170.595562141607,11750.504160648632,41,14164,2571,0.009862133134759803
optional_K_prime_full,9,hexc_00089,90,179641471,10782,False,22223.818952747657,15.782038821551193,22223.818952747657,1408.1716059651228,40,2512,543,0.052681519609350254
optional_K_prime_full,10,hexc_00027,28,109670797,9994,False,20822.05034498363,17.104383267421262,20822.05034498363,1217.3517173602752,40,2312,502,0.058211222474324836
optional_K_prime_full,11,hexc_00020,21,30847123,15789,False,18142.37311260896,6.28187190744635,18142.37311260896,2888.0520615365476,40,3811,891,0.03227111432174552
optional_K_prime_full,12,hexc_00183,184,604356173,20686,True,17862.530362542606,10.34327835039503,17862.530362542606,1726.9698984616807,40,5113,1005,0.027593878197238665
optional_K_prime_full,13,hexc_00043,44,109588091,10737,False,17469.61274591748,15.650024564874375,17469.61274591748,1116.2674329040397,40,2501,546,0.05197922170326458
optional_K_prime_full,14,hexc_00039,40,30417481,8327,False,16782.973974333727,15.415499961309294,16782.973974333727,1088.7077303010994,39,1893,470,0.06261550833598005
optional_K_prime_full,15,hexc_00061,62,113166227,11734,False,15279.35316428806,6.659239168363856,15279.35316428806,2294.459288513905,40,2756,602,0.047268060770797586
optional_K_prime_full,16,hexc_00086,87,109467389,7231,False,15202.012582426905,16.910044187145772,15202.012582426905,898.993072648667,38,1621,381,0.07860746069558402
optional_K_prime_full,17,hexc_00009,10,178298621,43765,False,15097.997442236723,3.6259487032169244,15097.997442236723,4163.875078773688,40,11515,2211,0.011747441673468353
optional_K_prime_full,18,hexc_00222,223,604848841,4791,True,14743.940925974248,34.17926461259285,14743.940925974248,431.37092307545015,40,1030,218,0.12828598298860516
optional_K_prime_full,19,hexc_00056,57,179620853,3983,False,13237.292920668751,39.695186823043905,13237.292920668751,333.47350094808525,39,840,176,0.1656059737090283
optional_K_prime_full,20,hexc_00035,36,39707851,3847,False,12814.344762733343,24.37384681290929,12814.344762733343,525.7415811748842,39,808,194,0.15474968407010084
optional_full_to_sampled_energy_ratio,1,hexc_00000,1,180530237,684790,False,52887.9264131148,4.242257262839463,224364.1899425553,52887.9264131148,41,218316,35864,0.0005878487837910868
optional_full_to_sampled_energy_ratio,2,hexc_00040,41,604672261,151650,True,24641.168087593134,2.150447574178819,52989.54013889719,24641.168087593134,41,43800,7420,0.003165485405860318
optional_full_to_sampled_energy_ratio,3,hexc_00002,3,30974597,64413,False,15095.3342103188,2.1234801731745523,32054.642903055512,15095.3342103188,41,17470,3676,0.00695810013778153
optional_full_to_sampled_energy_ratio,4,hexc_00063,64,604810421,53021,True,11750.504160648632,2.142086434591942,25170.595562141607,11750.504160648632,41,14164,2571,0.009862133134759803
optional_full_to_sampled_energy_ratio,5,hexc_00006,7,30774449,104130,False,5232.459793834529,5.249368097143086,27467.107511338865,5232.459793834529,41,29276,5986,0.004048022911593514
optional_full_to_sampled_energy_ratio,6,hexc_00009,10,178298621,43765,False,4163.875078773688,3.6259487032169244,15097.997442236723,4163.875078773688,40,11515,2211,0.011747441673468353
optional_full_to_sampled_energy_ratio,7,hexc_00104,105,604432601,22162,True,3758.532165015498,8.95372083559938,33652.84775716971,3758.532165015498,41,5511,1062,0.026591194804820948
optional_full_to_sampled_energy_ratio,8,hexc_00024,25,109813367,23159,False,3180.2420443190326,8.632103006924334,27452.176913513507,3180.2420443190326,41,5780,1212,0.023348936666563864
optional_full_to_sampled_energy_ratio,9,hexc_00023,24,180619079,61662,False,3178.9144654289626,14.887526869901857,47326.17452119338,3178.9144654289626,41,16667,3182,0.007951862833145583
optional_full_to_sampled_energy_ratio,10,hexc_00020,21,30847123,15789,False,2888.0520615365476,6.28187190744635,18142.37311260896,2888.0520615365476,40,3811,891,0.03227111432174552
optional_full_to_sampled_energy_ratio,11,hexc_00061,62,113166227,11734,False,2294.459288513905,6.659239168363856,15279.35316428806,2294.459288513905,40,2756,602,0.047268060770797586
optional_full_to_sampled_energy_ratio,12,hexc_00183,184,604356173,20686,True,1726.9698984616807,10.34327835039503,17862.530362542606,1726.9698984616807,40,5113,1005,0.027593878197238665
optional_full_to_sampled_energy_ratio,13,hexc_00089,90,179641471,10782,False,1408.1716059651228,15.782038821551193,22223.818952747657,1408.1716059651228,40,2512,543,0.052681519609350254
optional_full_to_sampled_energy_ratio,14,hexc_00027,28,109670797,9994,False,1217.3517173602752,17.104383267421262,20822.05034498363,1217.3517173602752,40,2312,502,0.058211222474324836
optional_full_to_sampled_energy_ratio,15,hexc_00043,44,109588091,10737,False,1116.2674329040397,15.650024564874375,17469.61274591748,1116.2674329040397,40,2501,546,0.05197922170326458
optional_full_to_sampled_energy_ratio,16,hexc_00039,40,30417481,8327,False,1088.7077303010994,15.415499961309294,16782.973974333727,1088.7077303010994,39,1893,470,0.06261550833598005
optional_full_to_sampled_energy_ratio,17,hexc_00296,297,604724143,5423,True,1022.3351085073549,7.676155432851411,7847.603197363468,1022.3351085073549,41,1181,254,0.11659540085966809
optional_full_to_sampled_energy_ratio,18,hexc_00090,91,179602723,7407,False,1005.8746661913054,10.500128217395725,10561.812965638832,1005.8746661913054,38,1665,366,0.07850309105942826
optional_full_to_sampled_energy_ratio,19,hexc_00127,128,187449539,9358,False,1000.4438776678442,11.35315314289714,11358.192554036887,1000.4438776678442,39,2152,472,0.060106597811164335
optional_full_to_sampled_energy_ratio,20,hexc_00086,87,109467389,7231,False,898.993072648667,16.910044187145772,15202.012582426905,898.993072648667,38,1621,381,0.07860746069558402
sample_offset_gaps_max,1,hexc_00000,1,180530237,684790,False,218316,4.242257262839463,224364.1899425553,52887.9264131148,41,218316,35864,0.0005878487837910868
sample_offset_gaps_max,2,hexc_00040,41,604672261,151650,True,43800,2.150447574178819,52989.54013889719,24641.168087593134,41,43800,7420,0.003165485405860318
sample_offset_gaps_max,3,hexc_00006,7,30774449,104130,False,29276,5.249368097143086,27467.107511338865,5232.459793834529,41,29276,5986,0.004048022911593514
sample_offset_gaps_max,4,hexc_00002,3,30974597,64413,False,17470,2.1234801731745523,32054.642903055512,15095.3342103188,41,17470,3676,0.00695810013778153
sample_offset_gaps_max,5,hexc_00023,24,180619079,61662,False,16667,14.887526869901857,47326.17452119338,3178.9144654289626,41,16667,3182,0.007951862833145583
sample_offset_gaps_max,6,hexc_00063,64,604810421,53021,True,14164,2.142086434591942,25170.595562141607,11750.504160648632,41,14164,2571,0.009862133134759803
sample_offset_gaps_max,7,hexc_00009,10,178298621,43765,False,11515,3.6259487032169244,15097.997442236723,4163.875078773688,40,11515,2211,0.011747441673468353
sample_offset_gaps_max,8,hexc_00024,25,109813367,23159,False,5780,8.632103006924334,27452.176913513507,3180.2420443190326,41,5780,1212,0.023348936666563864
sample_offset_gaps_max,9,hexc_00104,105,604432601,22162,True,5511,8.95372083559938,33652.84775716971,3758.532165015498,41,5511,1062,0.026591194804820948
sample_offset_gaps_max,10,hexc_00183,184,604356173,20686,True,5113,10.34327835039503,17862.530362542606,1726.9698984616807,40,5113,1005,0.027593878197238665
sample_offset_gaps_max,11,hexc_00020,21,30847123,15789,False,3811,6.28187190744635,18142.37311260896,2888.0520615365476,40,3811,891,0.03227111432174552
sample_offset_gaps_max,12,hexc_00048,49,33902159,13400,False,3186,4.868706166264128,3260.8458529138193,669.7561408631776,41,3186,756,0.03757827373823572
