gap_id,gap_start,gap_end,gap_length,left_candidate_id,right_candidate_id,global_error_process,envelope_type,envelope_constant,envelope_constant_status,R_upper_max_bound,R_upper_max_location,R_upper_max_label,R_lower_min_bound,R_lower_min_location,R_lower_min_label,theta_error_at_Rmax,theta_error_at_Rmin,upper_margin_to_1,lower_margin_to_minus1,prime_jump_count,prime_power_jump_count,jump_inventory_available,sampled_only,continuous_bound_available,upper_exit_possible,lower_exit_possible,margin_safe,margin_class,needed_data,eval_point_count
gap_016,604170577,604170642,65,955,1210,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006832479230828982,604170583.0,prime_after_jump,-0.0006863005282685469,604170642.0,gap_end,-13205.473668932915,-13264.473668932915,1.000683247923083,0.9993136994717314,2,,True,False,True,False,False,True,margin_safe,,6
gap_017,604170643,604176892,6249,1210,629,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.000678954157055885,604176667.0,prime_after_jump,-0.000703420800373111,604171903.0,prime_left_limit,-13122.56505215168,-13595.382727861404,1.000678954157056,0.9992965791996269,309,,True,False,True,False,False,True,margin_safe,,620
gap_018,604176893,604193620,16727,629,1363,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006836750894314462,604193581.0,prime_after_jump,-0.0007237732547534161,604188371.0,prime_left_limit,-13214.03096973896,-13988.973648786545,1.0006836750894315,0.9992762267452466,828,,True,False,True,False,False,True,margin_safe,,1658
gap_019,604193621,604203810,10189,1363,1357,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.00068364929885069,604203751.0,prime_after_jump,-0.000713241086730337,604200461.0,prime_left_limit,-13213.665698051453,-13785.57480084896,1.0006836492988507,0.9992867589132697,503,,True,False,True,False,False,True,margin_safe,,1008
gap_020,604203811,604205268,1457,1357,772,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006807728156130341,604205131.0,prime_after_jump,-0.0006927472445088257,604204493.0,prime_left_limit,-13158.086641907692,-13389.521864771843,1.000680772815613,0.9993072527554911,73,,True,False,True,False,False,True,margin_safe,,148
gap_021,604205269,604205662,393,772,658,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006793719955049109,604205387.0,prime_after_jump,-0.0006883691889701226,604205662.0,gap_end,-13131.014697313309,-13304.91757285595,1.000679371995505,0.9993116308110299,17,,True,False,True,False,False,True,margin_safe,,36
gap_022,604205663,604205808,145,658,1153,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006830300626183226,604205761.0,prime_after_jump,-0.0006884209262398969,604205663.0,prime_left_limit,-13201.723319888115,-13305.91757285595,1.0006830300626184,0.9993115790737601,10,,True,False,True,False,False,True,margin_safe,,22
gap_023,604205809,604206345,536,1153,664,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006794700021020723,604206319.0,prime_after_jump,-0.0006855134514621303,604205809.0,prime_left_limit,-13132.921117782593,-13249.723319888115,1.000679470002102,0.9993144865485378,31,,True,False,True,False,False,True,margin_safe,,64
gap_024,604206971,604207242,271,664,1445,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006838786523865722,604207213.0,prime_after_jump,-0.0006876252856288211,604207063.0,prime_left_limit,-13218.14403450489,-13290.557738661766,1.0006838786523866,0.9993123747143712,14,,True,False,True,False,False,True,margin_safe,,30
gap_025,604207243,604207847,604,1445,463,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006756861583457115,604207823.0,prime_after_jump,-0.0006868680431635519,604207291.0,prime_left_limit,-13059.805759906769,-13275.92460668087,1.0006756861583457,0.9993131319568365,38,,True,False,True,False,False,True,margin_safe,,78
