row_regime,rows,Q_R2Q_max,Q_delta_D_max,Q_exc_max,epsilon_abs_max,threshold_relevant_rows,sign_inconsistent_rows,failures
forbidden_negative,1,1.8193520399038576,1.8091175489119344,0.0022301154184481,0.0080043755734753,1,0,0
threshold_relevant_negative,2,0.862526348366495,0.8528427097579773,0.0037875901851982,0.0086821769441567,2,0,0
finite_negative_repaid,124,0.6812241515207513,0.6643586881865706,0.0128661873649445,0.0257284509172871,0,0,0
post_P0_negative_tail,21,0.4494568065190746,0.436528398028676,0.0069214615088821,0.0164108600076312,0,0,0
sign_inconsistent_positive_harmless,1320,0.2157084836048593,0.1926535586334653,0.0205672364492246,0.0230549249713939,0,1320,0
