candidate_id,x,source,selected_block_id,y,h,right_endpoint,post_P0_flag,finite_certificate_flag,right_endpoint_control_flag,containing_block_control_flag,x_minus_right_endpoint,partial_interval_used_flag,x_inside_full_block_flag,finite_certificate_outside_block_flag,partial_length,remainder_length,remainder_over_h,E_theta_partial,E_theta_full,E_theta_remainder,theta_additivity_delta,partial_sign,full_sign,sign_known_flag,sign_preserved_flag,sign_mismatch_flag,Q_R2Q_full,channel_full,positive_harmless_flag,negative_transfer_flag,near_forbidden_flag,forbidden_flag,boundary_slack_proxy,O2p4_Q_bdy,O2p4_boundary_local_proxy,boundary_repaid_flag,dangerous_sign_mismatch_flag,invalid_interval_flag,missing_selected_block_flag,missing_y_h_flag,missing_E_theta_flag,partial_full_additivity_failure_flag,boundary_repayment_unknown_for_mismatch_flag,near_forbidden_partial_full_unresolved_flag,forbidden_partial_full_unresolved_flag,partial_full_pass_flag,status
cand_00015,58309,theta,theta_local:16:58308:1,58308.0,1.0,58309.0,False,True,True,True,0.0,False,True,False,1.0,0.0,0.0,9.973511734352114,9.973511734352114,0.0,0.0,positive,positive,True,True,False,0.0939517191622745,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00016,59333,theta,theta_local:17:59332:1,59332.0,1.0,59333.0,False,True,True,True,0.0,False,True,False,1.0,0.0,0.0,9.990920922612805,9.990920922612805,0.0,0.0,positive,positive,True,True,False,0.0929815072257821,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00017,3241093,theta,theta_local:18:3239129:1964,3239129.0,1964.0,3241093.0,False,True,True,True,0.0,False,True,False,1964.0,0.0,0.0,-165.06704136906455,-165.06704136906455,0.0,0.0,negative,negative,True,True,False,0.159654089699117,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00018,1515197,theta,theta_local:19:1513853:1344,1513853.0,1344.0,1515197.0,False,True,True,True,0.0,False,True,False,1344.0,0.0,0.0,-63.24655312102391,-63.24655312102391,0.0,0.0,negative,negative,True,True,False,0.1510851987794436,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00019,58511,theta,theta_local:20:58510:1,58510.0,1.0,58511.0,False,True,True,True,0.0,False,True,False,1.0,0.0,0.0,9.97697004973177,9.97697004973177,0.0,0.0,positive,positive,True,True,False,0.0923670994574258,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00020,30847123,theta,theta_local:21:30831334:15789,30831334.0,15789.0,30847123.0,False,True,True,True,0.0,False,True,False,15789.0,0.0,0.0,-424.33160930738086,-424.33160930738086,0.0,0.0,negative,negative,True,True,False,0.338124053326903,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00021,60209,theta,theta_local:22:60208:1,60208.0,1.0,60209.0,False,True,True,True,0.0,False,True,False,1.0,0.0,0.0,10.005577121783782,10.005577121783782,0.0,0.0,positive,positive,True,True,False,0.0940510554686493,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00022,354553,theta,theta_local:23:354550:3,354550.0,3.0,354553.0,False,True,True,True,0.0,False,True,False,3.0,0.0,0.0,22.55722059933116,22.55722059933116,0.0,0.0,positive,positive,True,True,False,0.0920232096308952,positive_harmless,True,False,False,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00023,180619079,theta,theta_local:24:180557417:61662,180557417.0,61662.0,180619079.0,False,True,True,True,0.0,False,True,False,61662.0,0.0,0.0,-1166.673386312199,-1166.673386312199,0.0,0.0,negative,negative,True,True,False,0.5459231094474968,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
cand_00024,109813367,theta,theta_local:25:109790208:23159,109790208.0,23159.0,109813367.0,False,True,True,True,0.0,False,True,False,23159.0,0.0,0.0,-719.8064293124298,-719.8064293124298,0.0,0.0,negative,negative,True,True,False,0.3557665519303423,negative_transferred_repaid,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,endpoint_identical
