candidate_id,block_id,x,y,h,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,source,E_theta,DeltaD,Q_delta_D,Q_R2Q,Q_exc,epsilon,S,E_theta_normalized,positive_flag,negative_flag,threshold_relevant_flag,forbidden_flag,positive_above_0p20_flag,positive_above_0p225_flag,positive_above_0p24_flag,positive_above_0p25_flag,positive_cap_pass_flag,h_bin,p_star_bin,finite_tail_regime,short_window_flag,single_step_flag,sign_consistent,sign_inconsistent_positive_harmless,neg_E_theta_norm,rho_proxy,h_over_x,pstar_over_x,log_pstar,inv_log_pstar,sqrt_h_over_sqrt_x,positive_formula_prediction,positive_formula_residual,failure_type,status
hexc_00000,1,180530237,179845447,684790,180530237,negative,negative,False,True,theta_local,-3089.9881332697114,-541095.7142812033,1.8091175489119344,1.8193520399038576,0.0022301154184481,0.0080043755734753,299093.72920882725,-0.010331169902637048,False,True,True,True,False,False,False,False,True,h>1024,100M<=p<500M,finite_zone,False,False,True,False,0.010331169902637048,1.0,0.0037932149837038103,1.0,19.011408839713177,0.05259999447863575,0.06158908169232441,,,,pass
hexc_00001,2,24181,24178,3,24317,positive,negative,False,True,theta_local,17.186562246627208,-19.53986210777775,0.1106139903704657,0.1157979799474991,0.0184358992034248,-0.0132519096263914,176.64910236341098,0.09729210064860783,True,False,False,False,False,False,False,False,True,2<=h<=4,1K<=p<100K,finite_zone,True,False,False,True,-0.09729210064860783,1.0,0.00012406434804185105,1.0056242504445638,10.09893097320806,0.09902038172683308,0.01113841766328822,0.11274507094988007,-0.002131080579414371,,pass
hexc_00002,3,30974597,30910184,64413,30974597,negative,negative,False,True,theta_local,-1027.9446158131832,-50165.02240775837,0.6643586881865706,0.6812241515207513,0.0022416133345536,0.014623849999627,75508.94313535435,-0.013613547920681797,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.013613547920681797,1.0,0.0020795427943743707,1.0,17.24867797490251,0.057975457681744565,0.0456020042802328,,,,pass
hexc_00003,4,59921,59920,1,59921,positive,negative,False,True,theta_local,10.0007823069704,-10.677432241970394,0.0882306914983774,0.0921982535693211,2.348567539256741e-16,0.0039675620709434,121.017211365353,0.08263933860430703,True,False,False,False,False,False,False,False,True,h=1,1K<=p<100K,finite_zone,True,True,False,True,-0.08263933860430703,1.0,1.668864004272292e-05,1.0,11.0007823069704,0.0909026260220032,0.004085173196172093,0.08558632888271145,0.002644362615665946,,pass
hexc_00004,5,356077,355293,784,356077,negative,negative,False,True,theta_local,-4.315460261267276,-618.4840667387305,0.1351797213221275,0.1566810093663226,0.0128661873649445,0.0086351006792505,4575.2725385852,-0.0009432138140128665,False,True,False,False,False,False,False,False,True,257<=h<=1024,100K<=p<1M,finite_zone,False,False,True,False,0.0009432138140128665,1.0,0.002201770965268748,1.0,12.782902278581227,0.07822949579107553,0.04692303235372527,,,,pass
hexc_00005,6,3448507,3446024,2483,3448507,negative,negative,False,True,theta_local,-285.247239607314,-1687.5380821821711,0.1494490028165924,0.1786966438467436,0.0076387824505859,0.0216088585795651,11291.73196460307,-0.025261602073224653,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.025261602073224653,1.0,0.0007200217369429727,1.0,15.053451941719482,0.06642994602643777,0.026833220770958018,,,,pass
hexc_00006,7,30774449,30670319,104130,30774449,negative,negative,False,True,theta_local,-928.3530182520336,-81816.70719328354,0.8528427097579773,0.862526348366495,0.0037875901851982,0.0058960484233194,95934.11101151556,-0.009676985677603223,False,True,True,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.009676985677603223,1.0,0.003383651158140963,1.0,17.242195325731537,0.05799725505415436,0.05816915985417842,,,,pass
hexc_00007,8,3452747,3451296,1451,3452747,negative,negative,False,True,theta_local,-246.6432758578178,-906.2861454643348,0.1049756413821095,0.1383470038914393,0.0076429115920426,0.0257284509172871,8633.299435299174,-0.028568831384367565,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.028568831384367565,1.0,0.00042024509759910005,1.0,15.05468070406716,0.0664245240172939,0.02049988042889763,,,,pass
hexc_00008,9,12883477,12871995,11482,12883477,negative,negative,False,True,theta_local,-480.68150179983786,-8643.103225239702,0.3009444286825112,0.3212949859833325,0.0039191521021917,0.0164314051986295,28719.930995492716,-0.016736861306361622,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.016736861306361622,1.0,0.0008912190397048871,1.0,16.371456195625765,0.06108192136672526,0.029853291940837728,,,,pass
hexc_00009,10,178298621,178254856,43765,178298621,negative,negative,False,True,theta_local,-1758.548029879923,-33018.34702990349,0.437251926315424,0.4625799992422776,0.0025143310542018,0.0228137418726517,75513.32548295001,-0.023287916650909273,False,True,False,False,False,False,False,False,True,h>1024,100M<=p<500M,finite_zone,False,False,True,False,0.023287916650909273,1.0,0.0002454589932021964,1.0,18.998970348647543,0.0526344313217577,0.015667130981842095,,,,pass
hexc_00010,11,211,210,1,211,positive,negative,False,True,theta_local,4.351858133476067,-5.028508068476066,0.1755617761599286,0.1912764152417241,0.0,0.0157146390817954,28.642385480853928,0.15193769863844186,True,False,False,False,False,False,False,False,True,h=1,p<1K,finite_zone,True,True,False,True,-0.15193769863844186,1.0,0.004739336492890996,1.0,5.351858133476067,0.18685099176021946,0.06884283908215143,0.17981107540316077,-0.0042492992432321686,,pass
hexc_00011,12,3279709,3278912,797,3279709,negative,negative,False,True,theta_local,-166.86828088206357,-466.2432979484343,0.0733688760483797,0.1060058846880691,0.0114062615417102,0.021230747097979,6354.78315956471,-0.026258689980775633,False,True,False,False,False,False,False,False,True,257<=h<=1024,1M<=p<100M,finite_zone,False,False,True,False,0.026258689980775633,1.0,0.00024300936455033052,1.0,15.003265256912323,0.06665215757211776,0.01558875763331801,,,,pass
hexc_00012,13,42899,42898,1,42899,positive,negative,False,True,theta_local,9.666603794621116,-10.343253729621123,0.0909085751563544,0.0968247715409328,0.0,0.0059161963845783,113.77643651142559,0.08496138647874055,True,False,False,False,False,False,False,False,True,h=1,1K<=p<100K,finite_zone,True,True,False,True,-0.08496138647874055,1.0,2.3310566679875986e-05,1.0,10.666603794621116,0.09375055258959496,0.004828101767762978,0.08811674811081027,0.0027918270455441208,,pass
hexc_00013,14,1195591,1195386,205,1195669,positive,negative,False,True,theta_local,18.90523282037472,-181.7593802670372,0.0648220454203745,0.0899443884131837,0.0127144572989962,0.0124078856938128,2803.974775684992,0.006742297749720769,True,False,False,False,False,False,False,False,True,65<=h<=256,1M<=p<100M,finite_zone,False,False,False,True,-0.006742297749720769,1.0,0.00017146331814140453,1.0000652397015368,13.994216419335903,0.07145809168838445,0.013094400258942923,0.078715826363015,-0.013893780942640502,,pass
hexc_00014,15,43133,43132,1,43133,positive,negative,False,True,theta_local,9.672043644375696,-10.34869357937572,0.0908636843222885,0.0943896668138165,0.0,0.0035259824915279,113.8925155474597,0.08492255700810557,True,False,False,False,False,False,False,False,True,h=1,1K<=p<100K,finite_zone,True,True,False,True,-0.08492255700810557,1.0,2.318410497762734e-05,1.0,10.672043644375696,0.09370276521751415,0.004814987536601454,0.08807365308441528,0.0027900312378732195,,pass
hexc_00015,16,58309,58308,1,58309,positive,negative,False,True,theta_local,9.973511734352114,-10.650161669352116,0.0884432993920433,0.0939517191622745,0.0,0.0055084197702311,120.41795978396352,0.08282412152012163,True,False,False,False,False,False,False,False,True,h=1,1K<=p<100K,finite_zone,True,True,False,True,-0.08282412152012163,1.0,1.7150011147507247e-05,1.0,10.973511734352114,0.09112853061154,0.004141257194078538,0.08578430105307255,0.00265899833897075,,pass
hexc_00016,17,59333,59332,1,59333,positive,negative,False,True,theta_local,9.990920922612805,-10.667570857612787,0.0883074552338765,0.0929815072257821,2.3527838405727803e-16,0.0046740519919053,120.80034272712787,0.08270606437914654,True,False,False,False,False,False,False,False,True,h=1,1K<=p<100K,finite_zone,True,True,False,True,-0.08270606437914654,1.0,1.6854027269816123e-05,1.0,10.990920922612803,0.09098418658827692,0.004105365668222031,0.08565775166632128,0.0026497035675552144,,pass
hexc_00017,18,3241093,3239129,1964,3241093,negative,negative,False,True,theta_local,-165.06704136906455,-1395.5062112850246,0.1401120285534746,0.159654089699117,0.0081749848918229,0.0113670762538194,9959.931532590872,-0.01657311004889265,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.01657311004889265,1.0,0.0006059684186785136,1.0,14.991421176559264,0.06670481658961126,0.02461642579007996,,,,pass
hexc_00018,19,1515197,1513853,1344,1515197,negative,negative,False,True,theta_local,-63.24655312102391,-1004.7642034281848,0.1353288100910507,0.1510851987794436,0.0103425912084517,0.0054137974799411,7424.614187859693,-0.008518496923980384,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.008518496923980384,1.0,0.0008870133718585768,1.0,14.231056021475348,0.07026885415185997,0.029782769714359624,,,,pass
hexc_00019,20,58511,58510,1,58511,positive,negative,False,True,theta_local,9.97697004973177,-10.653619984731762,0.0884162808823417,0.0923670994574258,0.0,0.003950818575084,120.4938714727083,0.08280064311811526,True,False,False,False,False,False,False,False,True,h=1,1K<=p<100K,finite_zone,True,True,False,True,-0.08280064311811526,1.0,1.7090803438669653e-05,1.0,10.97697004973177,0.09109982039391969,0.004134102494940063,0.08575911521460045,0.002657165667741254,,pass
hexc_00020,21,30847123,30831334,15789,30847123,negative,negative,False,True,theta_local,-424.33160930738086,-12121.907568691418,0.3244066291128366,0.338124053326903,0.0060303868534807,0.0076870373605856,37366.399083278666,-0.01135596738560949,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.01135596738560949,1.0,0.0005118467612036299,1.0,17.24455404626836,0.05798932215451494,0.02262403061356729,,,,pass
hexc_00021,22,60209,60208,1,60209,positive,negative,False,True,theta_local,10.005577121783782,-10.682227056783772,0.0881934154907322,0.0940510554686493,0.0,0.005857639977917,121.12272778353059,0.08260693352007112,True,False,False,False,False,False,False,False,True,h=1,1K<=p<100K,finite_zone,True,True,False,True,-0.08260693352007112,1.0,1.6608812635984655e-05,1.0,11.005577121783782,0.09086302235079156,0.004075391102211499,0.08555166941648484,0.0026417460742473586,,pass
hexc_00022,23,354553,354550,3,354619,positive,negative,False,True,theta_local,22.55722059933116,-24.91052046929002,0.088072855820278,0.0920232096308952,0.0146788192753852,-0.010728465464768,282.8399310693702,0.07975260251989916,True,False,False,False,False,False,False,False,True,2<=h<=4,100K<=p<1M,finite_zone,True,False,False,True,-0.07975260251989916,1.0,8.461358386475366e-06,1.0001861498845024,12.778799252687088,0.07825461377286469,0.0029088414165222834,0.07994671369725048,0.008126142123027522,,pass
hexc_00023,24,180619079,180557417,61662,180619079,negative,negative,False,True,theta_local,-1166.673386312199,-47831.82037550756,0.5329138719787416,0.5459231094474968,0.0051149881925594,0.0078942492761956,89755.2548180161,-0.012998385316577796,False,True,False,False,False,False,False,False,True,h>1024,100M<=p<500M,finite_zone,False,False,True,False,0.012998385316577796,1.0,0.0003413925059378694,1.0,19.011900835670836,0.052598633279412166,0.01847680995025574,,,,pass
hexc_00024,25,109813367,109790208,23159,109813367,negative,negative,False,True,theta_local,-719.8064293124298,-17682.881280788435,0.3389837450779626,0.3557665519303423,0.0045682420338709,0.0122145648185086,52164.39294669296,-0.013798807743205282,False,True,False,False,False,False,False,False,True,h>1024,100M<=p<500M,finite_zone,False,False,True,False,0.013798807743205282,1.0,0.00021089418012289887,1.0,18.514292819156463,0.054012324951742956,0.014522196119144612,,,,pass
hexc_00025,26,230563,230560,3,230647,positive,negative,False,True,theta_local,21.69655017143579,-24.04985004133846,0.0910569767225814,0.0944180902326222,0.0151761792087925,-0.0118150656987517,264.11869696278075,0.08214696809023421,True,False,False,False,False,False,False,False,True,2<=h<=4,100K<=p<1M,finite_zone,True,False,False,True,-0.08214696809023421,1.0,1.3011628058274744e-05,1.0003643255856316,12.34864368218124,0.08098055347106443,0.0036071634365904106,0.08303521495533239,0.008021761767249003,,pass
hexc_00026,27,1192781,1192323,458,1192781,negative,negative,False,True,theta_local,-38.252494546276125,-325.52679180880466,0.0776974809855303,0.0967472985369818,0.0120403626533005,0.0070094548981509,4189.669828156048,-0.009130193097605441,False,True,False,False,False,False,False,False,True,257<=h<=1024,1M<=p<100M,finite_zone,False,False,True,False,0.009130193097605441,1.0,0.0003839766059318517,1.0,13.991798113399025,0.07147044231880145,0.01959532102140334,,,,pass
hexc_00027,28,109670797,109660803,9994,109670797,negative,negative,False,True,theta_local,-700.5003791113922,-7240.816620533022,0.2113316628996534,0.2345732370876761,0.0098010101179576,0.0134405640700649,34262.81003604829,-0.020444919093745895,False,True,False,False,False,False,False,False,True,h>1024,100M<=p<500M,finite_zone,False,False,True,False,0.020444919093745895,1.0,9.112726699706577e-05,1.0,18.5129936819663,0.054016115231223266,0.009546060286687162,,,,pass
hexc_00028,29,3456977,3455716,1261,3456977,negative,negative,False,True,theta_local,-56.54292508843059,-945.3034224797802,0.1174356488415478,0.1341559286414388,0.0077614986724626,0.0089587811274282,8049.543999669534,-0.007024363751630143,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.007024363751630143,1.0,0.0003647695660109975,1.0,15.055905065714143,0.06641912230685065,0.019098941489281478,,,,pass
hexc_00029,30,4994789,4991760,3029,4994789,negative,negative,False,True,theta_local,-113.94054074237602,-2292.6780519420754,0.1751074858509674,0.1879865387221068,0.0057126820734734,0.0071663707976659,13092.975670345444,-0.00870241751082165,False,True,False,False,False,False,False,False,True,h>1024,1M<=p<100M,finite_zone,False,False,True,False,0.00870241751082165,1.0,0.0006064320234548447,1.0,15.42390572693032,0.06483442117089631,0.024625840563417215,,,,pass
