extreme_set,rank_in_set,candidate_id,block_id,x,y,h,p_star,E_theta,E_theta_normalized,E_theta_sign,Q_R2Q,post_P0_flag,tail_flag,finite_certificate_flag,source,scale_bin,depth_bin,mu_bin,spf_class,channel_full,channel_inferred,status
top25_tail_positive_Q,1,cand_00679,680.0,604864891,604864888.0,3.0,604865039.0,37.441031337481846,0.0528691966638168,positive,0.0585344103602869,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,2,cand_00607,608.0,604715329,604715326.0,3.0,604715411.0,37.44053674605736,0.0528697920195814,positive,0.0575299398750813,True,False,False,theta,p>=500M,0.50-0.55,0.50-1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,3,cand_01363,1364.0,604322441,604322440.0,1.0,604322441.0,19.21961845617099,0.0470109307281363,positive,0.0507092541027113,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,4,cand_00977,978.0,604872287,604872286.0,1.0,604872287.0,19.22052789784348,0.0470089263631908,positive,0.0506320408823422,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,5,cand_01303,1304.0,604157051,604157050.0,1.0,604157051.0,19.21934474031213,0.0470115340178585,positive,0.0505596791837698,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,6,cand_00773,774.0,604715861,604715860.0,1.0,604715861.0,19.22026925443476,0.0470094963832677,positive,0.050523556039102,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,7,cand_01374,1375.0,604150991,604150990.0,1.0,604150991.0,19.21933470975736,0.0470115561262263,positive,0.0504467663969889,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,8,cand_01180,1181.0,604810847,604810846.0,1.0,604810847.0,19.220426317523263,0.0470091502327924,positive,0.0504180546017721,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,9,cand_01312,1313.0,604814333,604814332.0,1.0,604814333.0,19.220432081292174,0.0470091375301505,positive,0.0503872665449815,True,False,False,theta,p>=500M,0.50-0.55,>=1.00,not_available,positive_harmless,positive_harmless,pass
top25_tail_positive_Q,10,cand_00662,663.0,604872091,604872087.0,4.0,604872131.0,36.44105514430968,0.0445631600411676,positive,0.0503724694200252,True,False,False,theta,p>=500M,0.50-0.55,0.50-1.00,not_available,positive_harmless,positive_harmless,pass
