group_field,group_value,rows,post_P0_rows,K_prime_max,spectral_bound_over_h_max,spectral_tightness_median,rayleigh_over_h_max,top_eigenvector_alignment_max,effective_rank_median,failure_count
post_P0_flag,False,1326,0,73.9100313047598,487174.61093316163,59.8752642433809,0.07031251096785812,0.2897842057884488,0.0,0
post_P0_flag,True,142,142,64.24988591171167,119516.0554431092,131.67328350883045,0.06250000001022005,0.2897841487666825,0.0,0
threshold_relevant_flag,False,1465,141,73.9100313047598,54212.27107618995,64.12694237555442,0.07031251096785812,0.2897842057884488,0.0,0
threshold_relevant_flag,True,3,1,5.2493680971415095,487174.61093316163,55577.29324731847,2.950329231534745e-06,0.0039400282926729605,2.7725612146368874,0
forbidden_flag,False,1467,142,73.9100313047598,119516.0554431092,66.98655593329609,0.07031251096785812,0.2897842057884488,0.0,0
forbidden_flag,True,1,0,4.2422572628382875,487174.61093316163,114838.53541857497,3.2735856737309205e-07,0.0007916058342474636,2.7265104566765035,0
finite_zone_flag,False,142,142,64.24988591171167,119516.0554431092,131.67328350883045,0.06250000001022005,0.2897841487666825,0.0,0
finite_zone_flag,True,1326,0,73.9100313047598,487174.61093316163,59.8752642433809,0.07031251096785812,0.2897842057884488,0.0,0
row_status,primitive_full_verified,146,22,64.24988591171167,119516.0554431092,122.66106409659275,0.01023864059912228,0.2282064664456479,2.938442914207201,0
row_status,primitive_negative_transfer_verified,2,0,5.2493680971415095,487174.61093316163,65457.95126019709,2.950329231534745e-06,0.0039400282926729605,2.757318302231894,0
row_status,sign_inconsistent_positive_harmless,1320,120,73.9100313047598,1688.0824555520692,8.999999999999998,0.07031251096785812,0.2897842057884488,0.0,0
