block_id,source_row,p_star,y,h,shell_sym_all_2,shell_sym_all_3,R3_q3,R3_non3,R3_rebuilt,R3_over_R2,R3_q3_over_R2,R3_non3_over_R2
1,1,180530237,179845447,684790,112924.91890473691,37373.712639442856,25087.07874333333,12286.633980319786,37373.712723653116,0.3309607215301274,0.22215715527320154,0.10880356700264492
3,3,30974597,30910184,64413,11571.0214446501,3821.916121677592,2573.7873254666665,1248.128797603894,3821.9161230705604,0.3303006687836248,0.2224338912323653,0.10786677767164372
5,5,356077,355293,784,190.51484484999963,62.59730064680374,46.18541693333333,17.11166275791473,63.29707969124806,0.3285691500632889,0.24242424242424288,0.0898180022212309
6,6,3448507,3446024,2483,458.1803293499975,150.03708552898846,100.76818239999999,49.96868217343283,150.73686457343283,0.3274629570890575,0.2199312714776644,0.10905898610776557
7,7,30774449,30670319,104130,18848.37361734956,6262.003561539421,4183.279127688888,2078.725275576763,6262.0044032656515,0.33223044537781066,0.22194377152192388,0.11028671851365134
8,8,3452747,3451296,1451,248.7714502999992,82.32786148940625,55.98232355555555,27.071531385787274,83.05385494134282,0.33093773980143293,0.22503516174402322,0.10882089304516693
9,9,12883477,12871995,11482,2114.557327550042,697.3424290181067,463.2537274222222,234.7884806403392,698.0422080625614,0.3297817561778087,0.2190783486390293,0.1110343416001725
10,10,178298621,178254856,43765,6960.877099849351,2336.2710902961,1554.9090367555555,781.3620563945424,2336.271093150098,0.3356288376857942,0.22337832064140412,0.11225051745439563
12,12,3279709,3278912,797,130.6837365500001,38.967866529212586,27.991161777777776,11.676483795879237,39.66764557365701,0.29818451444647304,0.2141900937081658,0.08934917308101127
14,14,1195669,1195386,205,48.809588350000034,18.204221613546657,16.794697066666664,2.1093277577238854,18.90402482439055,0.3729640472074714,0.34408602150537604,0.043215438380641125
18,18,3241093,3239129,1964,376.30618114999817,121.5032358811465,78.37525297777778,43.827761947813286,122.20301492559105,0.3228839757822487,0.2082752208275231,0.11646835514068594
19,19,1515197,1513853,1344,281.8360101499989,93.1501801575736,54.582765466666665,39.08153807049879,93.66430353716545,0.330511988542547,0.19366852886406033,0.13866765304298337
21,21,30847123,30831334,15789,2804.1895758500614,926.3812870421656,624.2029076444444,303.57793748662965,927.7808451310741,0.33035615531141205,0.2225965437644221,0.10825870693660328
24,24,180619079,180557417,61662,10018.56163454961,3341.7004017114355,2256.0876392888886,1085.6127982108544,3341.700437499743,0.3335509151520695,0.22519077304556728,0.10836014567870239
25,25,109813367,109790208,23159,3815.02040555009,1260.499140924443,850.9313180444444,409.6376069398316,1260.568924984276,0.33040429851716374,0.2230476452515195,0.1073749451887311
27,27,1192781,1192323,458,92.89566815000008,33.04631657443773,22.39292942222222,10.653952998571175,33.046882420793395,0.35573581882286837,0.24105461393596964,0.11468729608971724
28,28,109670797,109660803,9994,1579.226358550027,526.3280097697664,345.6908479555555,181.33694085866043,527.0277888142159,0.33328218397584025,0.2188988589786159,0.11482644009637456
29,29,3456977,3455716,1261,250.3459531499992,83.682253572794,55.98232355555555,28.39970906168494,84.3820326172405,0.3342664521629167,0.22361984626135642,0.11344185397983547
30,30,4994789,4991760,3029,593.5875744499994,195.50757133708572,125.96022799999999,69.5473433370861,195.5075713370861,0.3293660105979092,0.21220159151193654,0.1171644190859733
31,31,7108243,7105465,2778,536.9054718499978,177.99450888840676,114.76376328888888,63.93052464396171,178.69428793285059,0.3315192677681173,0.21375040729879527,0.11907221661138669
32,32,3293113,3292080,1033,190.51484484999963,65.46824419955865,46.18541693333333,19.98260631066968,66.16802324400301,0.34363854560049933,0.24242424242424288,0.1048873977584415
36,36,39707851,39704004,3847,609.3326029499998,204.69430539457545,131.55846035555555,73.83562408346357,205.3940844390191,0.3359319760727987,0.21590582830892915,0.12117458302083062
39,39,39690667,39682692,7975,1368.242976650021,462.4389029470071,321.8983604444444,141.24032154701078,463.1386819914552,0.33798010356262403,0.2352640327323835,0.1032275143796614
40,40,30417481,30409154,8327,1478.4581761500242,479.2473749521244,306.5032214666666,173.44393252990682,479.94715399657343,0.3241534881968102,0.2073127440539547,0.11731406091010509
41,41,604672261,604520611,151650,23364.04779114577,7794.238924883156,5228.749020088889,2566.1896838372923,7794.938703926181,0.3335996824932418,0.22379465522538514,0.10983497837261728
42,42,7117417,7115469,1948,363.7101583499983,123.64373931301104,85.37304342222221,38.97047493523343,124.34351835745565,0.3399512949375163,0.23472823472823579,0.1071470621332829
43,43,12781267,12779528,1739,303.87905004999874,100.7602974811016,68.57834635555555,32.88177629904548,101.46012265460102,0.3315802700598248,0.2256764536557292,0.10820678916047445
44,44,109588091,109577354,10737,1717.782609350031,575.7665940960813,373.6820097333333,202.08458799656023,575.7665977298935,0.33518012754474097,0.21753742743659857,0.11764270222355107
45,45,12836777,12833438,3339,609.3326029499998,194.30390325467232,124.5606699111111,69.75005919917095,194.31072911028204,0.3188798733466366,0.20442147573930525,0.11446959979079677
