candidate_id,block_id,x,y,h,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,finite_certificate_flag,O2_applicable_flag,B3_applicable_flag,endpoint_exclusion_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon_exported,epsilon,epsilon_export_difference,epsilon_abs,epsilon_positive_part,epsilon_negative_part,DeltaD,D_start,D_end,bridge_excursion_raw,scale_denominator,Q_reconstructed,formula_reconstruction_error,positive_flag,negative_flag,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,sign_inconsistent_flag,E_theta_normalized,log_pstar,inv_log_pstar,sqrt_h_over_sqrt_x,rho_proxy,row_regime,residual_cap_0p03_pass_flag,residual_cap_0p025_pass_flag,failure_type,status
hexc_00000,1,180530237,179845447,684790,180530237,negative,negative,False,True,True,True,True,True,-3089.9881332697114,1.8193520399038576,1.8091175489119344,0.0022301154184481,0.0080043755734753,0.008004375573475095,-2.0469737016526324e-16,0.008004375573475095,0.008004375573475095,0.0,-541095.7142812033,-9765.168998323748,-550860.8832795271,667.0135370697717,299093.72920882725,1.8193520399038576,0.0,False,True,True,True,True,False,-0.010331169902637048,19.011408839713177,0.05259999447863575,0.06158908169232441,1.0,forbidden_negative,True,True,,pass
hexc_00001,2,24181,24178,3,24317,positive,negative,False,True,True,True,True,False,17.186562246627208,0.1157979799474991,0.1106139903704657,0.0184358992034248,-0.0132519096263914,-0.013251909626391393,6.938893903907228e-18,0.013251909626391393,0.0,0.013251909626391393,-19.53986210777775,-123.17681954167884,-142.7166816494566,3.2566850455473286,176.64910236341098,0.1157979799474991,0.0,True,False,False,False,False,True,0.09729210064860783,10.09893097320806,0.09902038172683308,0.01113841766328822,1.0,finite_positive,True,True,,pass
hexc_00002,3,30974597,30910184,64413,30974597,negative,negative,False,True,True,True,True,True,-1027.9446158131832,0.6812241515207513,0.6643586881865706,0.0022416133345536,0.014623849999627,0.014623849999627108,1.0755285551056204e-16,0.014623849999627108,0.014623849999627108,0.0,-50165.02240775837,-4189.11794672998,-54354.14035448835,169.26185381026153,75508.94313535435,0.6812241515207513,0.0,False,True,False,False,False,False,-0.013613547920681797,17.24867797490251,0.057975457681744565,0.0456020042802328,1.0,finite_negative,True,True,,pass
hexc_00003,4,59921,59920,1,59921,positive,negative,False,True,True,True,True,False,10.0007823069704,0.0921982535693211,0.0882306914983774,2.348567539256741e-16,0.0039675620709434,0.003967562070943468,6.852157730108388e-17,0.003967562070943468,0.003967562070943468,0.0,-10.677432241970394,-239.1624278487056,-249.839860090676,2.8421709430404014e-14,121.017211365353,0.0921982535693211,0.0,True,False,False,False,False,True,0.08263933860430703,11.0007823069704,0.0909026260220032,0.004085173196172093,1.0,finite_positive,True,True,,pass
hexc_00004,5,356077,355293,784,356077,negative,negative,False,True,True,True,True,True,-4.315460261267276,0.1566810093663226,0.1351797213221275,0.0128661873649445,0.0086351006792505,0.0086351006792506,1.0061396160665481e-16,0.0086351006792506,0.0086351006792506,0.0,-618.4840667387305,-445.57865085028266,-1064.0627175890131,58.86631372712248,4575.2725385852,0.1566810093663226,0.0,False,True,False,False,False,False,-0.0009432138140128665,12.782902278581227,0.07822949579107553,0.04692303235372527,1.0,finite_negative,True,True,,pass
hexc_00005,6,3448507,3446024,2483,3448507,negative,negative,False,True,True,True,True,True,-285.247239607314,0.1786966438467436,0.1494490028165924,0.0076387824505859,0.0216088585795651,0.021608858579565307,2.0816681711721685e-16,0.021608858579565307,0.021608858579565307,0.0,-1687.5380821821711,-1269.9908564127795,-2957.528938594951,86.25508396793089,11291.73196460307,0.1786966438467436,0.0,False,True,False,False,False,False,-0.025261602073224653,15.053451941719482,0.06642994602643777,0.026833220770958018,1.0,finite_negative,True,True,,pass
hexc_00006,7,30774449,30670319,104130,30774449,negative,negative,False,True,True,True,True,True,-928.3530182520336,0.862526348366495,0.8528427097579773,0.0037875901851982,0.0058960484233194,0.0058960484233195306,1.3097162243624894e-16,0.0058960484233195306,0.0058960484233195306,0.0,-81816.70719328354,-3672.24244464055,-85488.94963792409,363.3590972929378,95934.11101151556,0.862526348366495,0.0,False,True,True,False,True,False,-0.009676985677603223,17.242195325731537,0.05799725505415436,0.05816915985417842,1.0,threshold_relevant_negative,True,True,,pass
hexc_00007,8,3452747,3451296,1451,3452747,negative,negative,False,True,True,True,True,True,-246.6432758578178,0.1383470038914393,0.1049756413821095,0.0076429115920426,0.0257284509172871,0.0257284509172872,1.0061396160665481e-16,0.0257284509172872,0.0257284509172872,0.0,-906.2861454643348,-1239.2532286860674,-2145.539374150402,65.98354433162308,8633.299435299174,0.1383470038914393,0.0,False,True,False,False,False,False,-0.028568831384367565,15.05468070406716,0.0664245240172939,0.02049988042889763,1.0,finite_negative,True,False,,pass
hexc_00008,9,12883477,12871995,11482,12883477,negative,negative,False,True,True,True,True,True,-480.68150179983786,0.3212949859833325,0.3009444286825112,0.0039191521021917,0.0164314051986295,0.016431405198629602,1.0061396160665481e-16,0.016431405198629602,0.016431405198629602,0.0,-8643.103225239702,-2412.5263892811627,-11055.629614520863,112.55777793578729,28719.930995492716,0.3212949859833325,0.0,False,True,False,False,False,False,-0.016736861306361622,16.371456195625765,0.06108192136672526,0.029853291940837728,1.0,finite_negative,True,True,,pass
hexc_00009,10,178298621,178254856,43765,178298621,negative,negative,False,True,True,True,True,True,-1758.548029879923,0.4625799992422776,0.437251926315424,0.0025143310542018,0.0228137418726517,0.022813741872651828,1.2836953722228372e-16,0.022813741872651828,0.022813741872651828,0.0,-33018.34702990349,-8710.023780257156,-41728.370810160646,189.86549926782936,75513.32548295001,0.4625799992422776,0.0,False,True,False,False,False,False,-0.023287916650909273,18.998970348647543,0.0526344313217577,0.015667130981842095,1.0,finite_negative,True,True,,pass
