q,N_total,d_emp,g,g2,total_abs_weighted_discrepancy,max_interval_abs_component
163,142,0.0008602619558237311,3.7870181019465275e-05,1.434150610447068e-09,1.0840085070996871e-07,1.2476691532586123e-08
151,168,0.0010177747082984988,4.415011037527594e-05,1.949232246149048e-09,1.0782369720203295e-07,6.0499815722501885e-09
157,154,0.0009329601492736239,4.082965866405357e-05,1.6670610266231246e-09,9.547373813967875e-08,7.912040938031384e-09
167,123,0.0007451564828614009,3.607243344636029e-05,1.3012204547420924e-09,6.025949986684917e-08,3.800882401333086e-09
181,158,0.0009571928804235881,3.069367710251688e-05,9.421018140735693e-10,5.757200588943017e-08,6.266661324704995e-09
173,122,0.0007390983000739098,3.360666756284447e-05,1.1294081046795426e-09,5.44353003121673e-08,9.024413170502984e-09
191,142,0.0008602619558237311,2.755580049600441e-05,7.593221409755968e-10,4.856988116960752e-08,4.3279144781468535e-09
179,131,0.0007936219451613294,3.1385349318937917e-05,9.850401518717567e-10,4.8181619494518774e-08,3.0337728080177604e-09
197,127,0.0007693892140113652,2.589868434683518e-05,6.707418508970056e-10,3.9644189254757406e-08,4.14661546997176e-09
193,117,0.0007088073861364545,2.6986183074265975e-05,7.282540769177993e-10,3.478884364108296e-08,2.303406946421514e-09
199,110,0.0006664001066240171,2.5379422364346987e-05,6.44115079547916e-10,3.2242668476157036e-08,2.510786849465267e-09
211,125,0.000757272848436383,2.2568269013766644e-05,5.093267662777397e-10,2.9516378768326873e-08,3.6864710081761327e-09
223,96,0.0005815855475991422,2.0199571769078495e-05,4.0802269965415293e-10,1.9812838359375825e-08,1.7827615341691743e-09
227,93,0.000563410999236669,1.94924174496121e-05,3.7995433802994236e-10,1.8022273806503164e-08,1.6772903397326298e-09
229,89,0.0005391782680867047,1.9152685206465947e-05,3.6682535061797953e-10,1.6799368129023525e-08,1.2673970757814442e-09
233,92,0.0005573528164491779,1.8499334023975136e-05,3.422253593306041e-10,1.3095555055398396e-08,1.3776423174245446e-09
239,84,0.0005088873541492494,1.7580253858865723e-05,3.0906532574216315e-10,1.1261567104589745e-08,7.566264290187447e-10
241,89,0.0005391782680867047,1.7289073305670816e-05,2.9891205576885917e-10,1.0418464840728241e-08,9.950950493364397e-10
251,100,0.0006058182787491064,1.593625498007968e-05,2.5396422279011443e-10,1.0058119296435368e-08,1.4093748128586125e-09
263,95,0.0005755273648116511,1.4512524308478216e-05,2.1061336180417112e-10,9.995980189949212e-09,8.510124141207253e-10
257,57,0.00034531641888699066,1.5199416342412452e-05,2.310222571499947e-10,9.702447748178268e-09,1.671033841628763e-09
271,76,0.0004604218918493209,1.3666803334700013e-05,1.867815133893674e-10,8.116981017397815e-09,7.513060234510897e-10
277,75,0.0004543637090618298,1.3080102548003977e-05,1.710890826663001e-10,8.080347510286109e-09,1.1271133093438108e-09
269,79,0.00047859644021179407,1.3871164622981745e-05,1.924092079978603e-10,7.598640211166748e-09,5.145226397143412e-10
283,67,0.0004058982467619013,1.2530386186502269e-05,1.5701057798288687e-10,5.834166308816484e-09,7.6749376041736e-10
281,76,0.0004604218918493209,1.2709710218607015e-05,1.6153673384096357e-10,5.663100180651591e-09,6.403339381444674e-10
293,69,0.00041801461233688343,1.168825097012483e-05,1.3661521074062402e-10,4.607156921552424e-09,2.726196232216029e-10
307,74,0.00044830552627433875,1.0644865981137297e-05,1.133131717563741e-10,4.524753262383143e-09,8.89126651260204e-10
313,75,0.0004543637090618298,1.0240026214467109e-05,1.0485813687297359e-10,4.393415290680744e-09,4.626473181605639e-10
317,77,0.00046648007463681194,9.982829533202891e-06,9.965688548898786e-11,4.326328142775438e-09,4.5275279963522956e-10
311,63,0.00038166551561193704,1.0372368011617052e-05,1.0758601816841668e-10,4.103355995771998e-09,4.705612443811289e-10
