row_regime,rows,Q_exc_max,Q_exc_mean,bridge_energy_available_rows,Q_energy_rms_max,Q_exc_over_Q_energy_rms_max,Q_exc_above_0p025_count
finite_negative,124,0.0128661873649445,0.006132662528095998,26,0.006154922679182681,5.135749976105505,0
finite_positive,1200,0.0205672364492246,0.0007453933121031794,8,0.010160864897962174,2.728619506886556,0
forbidden_negative,1,0.0022301154184481,0.0022301154184481,1,0.000889777047863694,2.506375528344415,0
post_P0_negative_tail,21,0.0069214615088821,0.004945313108891276,3,0.0012441578631828822,4.258139517561737,0
post_P0_positive_tail,120,0.0122977701368278,0.00025857183191116086,0,,,0
threshold_relevant_negative,2,0.0037875901851982,0.00262870427163985,2,0.0012029100555803675,3.14868943661029,0
