group_field,group_value,rows,K_R_max,eta_aff_max,K_D_max,eta_times_KD_max,capture_aff_min,Q_exc_max,Q_energy_L2_max,failures
row_regime,finite_negative,124.0,56.50973597641633,0.0013550898740644507,4165277.820152563,56.50973597641633,0.9986449101259356,0.0128661873649445,0.036413013628854,0.0
row_regime,finite_positive,1200.0,73.62931311610959,0.0004154153049167087,102882396.36164536,73.62931311610959,0.9995845846950833,0.0205672364492246,0.0304825946938867,0.0
row_regime,forbidden_negative,1.0,4.240367136346573,4.980267198828742e-06,851433.6614998933,4.240367136346573,0.9999950197328011,0.0022301154184481,0.0056973529810874,0.0
row_regime,post_P0_negative_tail,21.0,64.13704142037176,2.426563380777594e-05,10567232.676550936,64.13704142037176,0.9999757343661922,0.0069214615088821,0.0195894059694182,0.0
row_regime,post_P0_positive_tail,120.0,50.2065884378795,2.594248423585903e-07,316352183.9207044,50.2065884378795,0.9999997405751576,0.0122977701368278,0.0173298733143556,0.0
row_regime,threshold_relevant_negative,2.0,5.243489587168667,3.3053588386700646e-05,315766.007007524,5.243489587168667,0.9999669464116133,0.0037875901851982,0.0077023825323383,0.0
post_P0_by_pstar,False,1326.0,73.62931311610959,0.0013550898740644507,102882396.36164536,73.62931311610959,0.9986449101259356,0.0205672364492246,0.036413013628854,0.0
post_P0_by_pstar,True,142.0,64.13704142037176,2.426563380777594e-05,316352183.9207044,64.13704142037176,0.9999757343661922,0.0122977701368278,0.0195894059694182,0.0
finite_zone_flag,False,142.0,64.13704142037176,2.426563380777594e-05,316352183.9207044,64.13704142037176,0.9999757343661922,0.0122977701368278,0.0195894059694182,0.0
finite_zone_flag,True,1326.0,73.62931311610959,0.0013550898740644507,102882396.36164536,73.62931311610959,0.9986449101259356,0.0205672364492246,0.036413013628854,0.0
high_energy_flag,False,1458.0,64.13704142037176,0.0005320069009106019,316352183.9207044,64.13704142037176,0.9994679930990894,0.0177247165152088,0.0249378557636041,0.0
high_energy_flag,True,10.0,73.62931311610959,0.0013550898740644507,7466514.191455994,73.62931311610959,0.9986449101259356,0.0205672364492246,0.036413013628854,0.0
threshold_relevant_flag,False,1465.0,73.62931311610959,0.0013550898740644507,316352183.9207044,73.62931311610959,0.9986449101259356,0.0205672364492246,0.036413013628854,0.0
threshold_relevant_flag,True,3.0,5.243489587168667,3.3053588386700646e-05,851433.6614998933,5.243489587168667,0.9999669464116133,0.0037875901851982,0.0077023825323383,0.0
forbidden_flag,False,1467.0,73.62931311610959,0.0013550898740644507,316352183.9207044,73.62931311610959,0.9986449101259356,0.0205672364492246,0.036413013628854,0.0
forbidden_flag,True,1.0,4.240367136346573,4.980267198828742e-06,851433.6614998933,4.240367136346573,0.9999950197328011,0.0022301154184481,0.0056973529810874,0.0
h_bin_eb,101<=h<=1k,62.0,64.13704142037176,0.0013550898740644507,10567232.676550936,64.13704142037176,0.9986449101259356,0.0128661873649445,0.036413013628854,0.0
h_bin_eb,10k<h<=100k,15.0,15.780939239229737,9.384499837790035e-05,429769.21147937246,15.780939239229737,0.999906155001622,0.0066368119233886,0.0115541189824018,0.0
h_bin_eb,11<=h<=100,3.0,73.62931311610959,9.861270095805126e-06,28879480.09067248,73.62931311610959,0.9999901387299042,0.0172880108593613,0.0289054037503281,0.0
h_bin_eb,1k<h<=10k,80.0,45.74617977052387,0.0005320069009106019,5012117.094123459,45.74617977052387,0.9994679930990894,0.0110407093348006,0.0204151477381646,0.0
h_bin_eb,2<=h<=10,64.0,54.6007965610797,0.00029921548732170635,209620025.34238744,54.6007965610797,0.9997007845126783,0.0205672364492246,0.0304825946938867,0.0
h_bin_eb,h<=1,1241.0,0.0,0.0,316352183.9207044,0.0,1.0,8.898615503505933e-15,1.7042514801809505e-15,0.0
h_bin_eb,h>100k,3.0,5.243489587168667,3.3053588386700646e-05,851433.6614998933,5.243489587168667,0.9999669464116133,0.0037875901851982,0.0077023825323383,0.0
p_star_bin_eb,100M<=p<500M,530.0,56.50973597641633,9.384499837790035e-05,102882396.36164536,56.50973597641633,0.999906155001622,0.0134309492743368,0.0219576117786852,0.0
p_star_bin_eb,1M<=p<100M,734.0,73.62931311610959,0.0013147173309265249,38134678.26522742,73.62931311610959,0.9986852826690735,0.0205672364492246,0.036413013628854,0.0
p_star_bin_eb,500M<=p<1B,142.0,64.13704142037176,2.426563380777594e-05,316352183.9207044,64.13704142037176,0.9999757343661922,0.0122977701368278,0.0195894059694182,0.0
p_star_bin_eb,p<1M,62.0,21.7152630494778,0.0013550898740644507,611709.3157757344,21.7152630494778,0.9986449101259356,0.0184358992034248,0.0285182984397066,0.0
eta_bin,1e-5..2.5e-5,50.0,56.50973597641633,2.487255451108327e-05,3441127.6174793327,56.50973597641633,0.9999751274454889,0.0157384918917144,0.0221562198206484,0.0
eta_bin,1e-6..5e-6,34.0,42.01752080974671,4.980267198828742e-06,36408561.14822834,42.01752080974671,0.9999950197328011,0.014690835140949,0.0206876955885622,0.0
eta_bin,2.5e-5..5e-5,31.0,51.97483561645937,4.960146152448278e-05,1764547.8231078063,51.974835616459366,0.9999503985384756,0.0205672364492246,0.0304825946938867,0.0
eta_bin,5e-5..1e-4,37.0,42.09537763075,9.384499837790035e-05,637799.3780752078,42.09537763075,0.999906155001622,0.0151761792087925,0.0231134130828272,0.0
eta_bin,5e-6..1e-5,21.0,73.62931311610959,9.861270095805126e-06,10600011.392162008,73.62931311610959,0.9999901387299042,0.0172880108593613,0.0289054037503281,0.0
eta_bin,<=1e-6,1266.0,50.2065884378795,9.352513357934476e-07,316352183.9207044,50.2065884378795,0.9999990647486642,0.0130839545118638,0.0184335280556581,0.0
eta_bin,>1e-4,29.0,55.32747455760799,0.0013550898740644507,306005.3800217341,55.32747455760799,0.9986449101259356,0.0184358992034248,0.036413013628854,0.0
K_D_bin,1e5..5e5,98.0,55.32747455760799,0.0003997805963526505,496993.2467198987,55.32747455760799,0.9996002194036473,0.0151761792087925,0.0289409320608848,0.0
K_D_bin,1e6..2.5e6,101.0,51.97483561645937,4.0678337800586574e-05,2494356.738357049,51.974835616459366,0.9999593216621994,0.0205672364492246,0.0304825946938867,0.0
K_D_bin,2.5e6..3e6,8.0,30.40800865514305,1.2155728687056512e-05,2959559.904438492,30.40800865514305,0.9999878442713129,0.0157384918917144,0.0221562198206484,0.0
K_D_bin,3e6..5e6,42.0,56.50973597641633,1.8522158874289463e-05,4846130.111815931,56.50973597641633,0.9999814778411257,0.0115282255457049,0.0219576117786852,0.0
K_D_bin,5e5..1e6,93.0,39.63680033772592,6.583213712460456e-05,993734.8431029201,39.636800337725916,0.9999341678628754,0.0177247165152088,0.0249378557636041,0.0
K_D_bin,5e6..1e7,101.0,73.62931311610959,9.861270095805126e-06,9514497.881769491,73.62931311610959,0.9999901387299042,0.0172880108593613,0.0289054037503281,0.0
K_D_bin,<=1e5,54.0,50.81680635690252,0.0013550898740644507,99840.29406823902,50.81680635690251,0.9986449101259356,0.0184358992034248,0.036413013628854,0.0
K_D_bin,>1e7,971.0,54.6007965610797,5.261093137005674e-06,316352183.9207044,54.6007965610797,0.999994738906863,0.0156184300412248,0.0247186134594574,0.0
