candidate_id,block_id,x,y,h,p_star,E_theta_sign,post_P0_flag,finite_zone_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon,near_forbidden_flag,forbidden_flag,C_minus_flag,V2,sqrt_V2,V2_source,V2_available_flag,Q_exc_over_sqrt_V2,Q_exc_over_sqrt_V2_global,row_regime,Q_exc_above_0p025_flag,variance_ratio_above_constant_flag,missing_Q_exc_flag,missing_V2_flag,invalid_V2_flag
hexc_00000,1,180530237,179845447,684790,180530237,negative,False,True,-3089.9881332697114,1.8193520399038576,1.8091175489119344,0.0022301154184481,0.0080043755734753,True,True,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.10800138753886686,0.10800138753886686,forbidden_negative,False,False,False,False,False
hexc_00001,2,24181,24178,3,24317,positive,False,True,17.186562246627208,0.1157979799474991,0.1106139903704657,0.0184358992034248,-0.0132519096263914,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.8928249533748992,0.8928249533748992,finite_positive,False,False,False,False,False
hexc_00002,3,30974597,30910184,64413,30974597,negative,False,True,-1027.9446158131832,0.6812241515207513,0.6643586881865706,0.0022416133345536,0.014623849999627,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.1085582156218114,0.1085582156218114,finite_negative,False,False,False,False,False
hexc_00003,4,59921,59920,1,59921,positive,False,True,10.0007823069704,0.0921982535693211,0.0882306914983774,2.348567539256741e-16,0.0039675620709434,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,1.1373785897815997e-14,1.1373785897815997e-14,finite_positive,False,False,False,False,False
hexc_00004,5,356077,355293,784,356077,negative,False,True,-4.315460261267276,0.1566810093663226,0.1351797213221275,0.0128661873649445,0.0086351006792505,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.6230915567213193,0.6230915567213193,finite_negative,False,False,False,False,False
hexc_00005,6,3448507,3446024,2483,3448507,negative,False,True,-285.247239607314,0.1786966438467436,0.1494490028165924,0.0076387824505859,0.0216088585795651,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.3699356082408174,0.3699356082408174,finite_negative,False,False,False,False,False
hexc_00006,7,30774449,30670319,104130,30774449,negative,False,True,-928.3530182520336,0.862526348366495,0.8528427097579773,0.0037875901851982,0.0058960484233194,True,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.18342772398509347,0.18342772398509347,threshold_relevant_negative,False,False,False,False,False
hexc_00007,8,3452747,3451296,1451,3452747,negative,False,True,-246.6432758578178,0.1383470038914393,0.1049756413821095,0.0076429115920426,0.0257284509172871,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.3701355768177704,0.3701355768177704,finite_negative,False,False,False,False,False
hexc_00008,9,12883477,12871995,11482,12883477,negative,False,True,-480.68150179983786,0.3212949859833325,0.3009444286825112,0.0039191521021917,0.0164314051986295,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.1897990846173871,0.1897990846173871,finite_negative,False,False,False,False,False
hexc_00009,10,178298621,178254856,43765,178298621,negative,False,True,-1758.548029879923,0.4625799992422776,0.437251926315424,0.0025143310542018,0.0228137418726517,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.12176555542350549,0.12176555542350549,finite_negative,False,False,False,False,False
