row_regime,rows,epsilon_min,epsilon_max,abs_epsilon_max,abs_epsilon_mean,abs_epsilon_q95,epsilon_positive_count,epsilon_negative_count,threshold_relevant_rows,forbidden_rows,above_0p025,above_0p03,failures
finite_negative,124,0.002412838429112999,0.0257284509172872,0.0257284509172872,0.01048086863364101,0.019892091882446644,124,0,0,0,1,0,0
finite_positive,1200,-0.015568303370353805,0.023054924971393997,0.023054924971393997,0.002296706678456713,0.008424945735482057,1136,64,0,0,0,0,0
post_P0_negative_tail,21,0.003278315637155295,0.016410860007631298,0.016410860007631298,0.008891840186706409,0.015267930329331107,21,0,0,0,0,0,0
post_P0_positive_tail,120,-0.010413413415759099,0.0020432466469074984,0.010413413415759099,0.001358614343698543,0.0018607861732957659,117,3,0,0,0,0,0
threshold_relevant_negative,2,0.0058960484233195306,0.008682176944156815,0.008682176944156815,0.007289112683738172,0.008542870518114951,2,0,2,0,0,0,0
forbidden_negative,1,0.008004375573475095,0.008004375573475095,0.008004375573475095,0.008004375573475095,0.008004375573475095,1,0,1,1,0,0,0
