block_id,p_star,start_prime,worst_prime,end_prime,covered_y,covered_h,d_start,d_worst,d_end,Q_tail_start,Q_tail_max_inside,Q_tail_end,candidate_crossing,first_crossing_inside_flag,covered_flag,finite_certificate_flag,covered_by_block_or_certificate,local_violation_flag,absorbed_by_HExc_flag,endpoint_favorable_flag_final,endpoint_repayment_norm,accumulation_proxy,Q_local,Q_post_response,Q_exc,Q_o2p4_total,Q_bdy,Q_pp,O2_total_with_o2p4,cross_Q,cross_Q_y,cross_Q_h,is_tail,B3_block_pass
20,58511,58417,58453,58511,58510.0,1.0,0.5126075960378503,0.5935433641279962,0.48698257443534165,0.05043038415140133,0.37417345651198497,0.0,False,False,True,True,True,False,False,True,0.10656078969265462,0.0,0.0923670994574258,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
21,30847123,30825617,30831209,30847123,30831334.0,15789.0,0.5018280699098204,0.5910684424741468,0.49830300391062454,0.007312279639281716,0.3642737698965872,0.0,False,False,True,True,True,False,True,True,0.09276543856352229,0.0,0.338124053326903,0.0,0.0060303868534807,0.0,0.0,0.0,0.0301511056,,,,False,True
22,60209,60133,60169,60209,60208.0,1.0,0.507803616592421,0.5866139076909833,0.46404691025397227,0.031214466369684057,0.34645563076393326,0.0,False,False,True,True,True,False,False,True,0.12256699743701108,0.0,0.0940510554686493,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
23,354619,354373,354479,354619,354550.0,3.0,0.5041163541013074,0.5839609557801748,0.4991138470689284,0.016465416405229583,0.33584382312069927,0.0,False,False,True,True,True,False,False,True,0.08484710871124641,0.0,0.0920232096308952,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
24,180619079,180530407,180557417,180619079,180557417.0,61662.0,0.5003094094024886,0.5828287928298714,0.495946771998203,0.001237637609954323,0.33131517131948574,0.0,False,False,True,True,True,False,True,True,0.08688202083166847,0.0,0.5459231094474968,0.0,0.0051149881925594,0.0,0.0,0.0,0.0301511056,,,,False,True
25,109813367,109775839,109789837,109813367,109790208.0,23159.0,0.5007902273256006,0.5818528069713539,0.4989589155380304,0.003160909302402537,0.32741122788541555,0.0,False,False,True,True,True,False,True,True,0.08289389143332347,0.0,0.3557665519303423,0.0,0.0045682420338709,0.0,0.0,0.0,0.0301511056,,,,False,True
26,230647,230341,230393,230647,230560.0,3.0,0.5085239823434433,0.5809506984984212,0.4623555070110118,0.03409592937377326,0.3238027939936847,0.0,False,False,True,True,True,False,False,True,0.11859519148740935,0.0,0.0944180902326222,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
27,1192781,1192099,1192271,1192781,1192323.0,458.0,0.5077630628647546,0.5803693748006622,0.49761734818291015,0.031052251459018354,0.3214774992026488,0.0,False,False,True,True,True,False,True,True,0.08275202661775208,0.0,0.0967472985369818,0.0,0.0120403626533005,0.0,0.0,0.0,0.0301511056,,,,False,True
28,109670797,109638709,109660643,109670797,109660803.0,9994.0,0.5003934380127543,0.5767472460352718,0.4997791041371924,0.0015737520510170633,0.30698898414108733,0.0,False,False,True,True,True,False,True,True,0.07696814189807946,0.0,0.2345732370876761,0.0040775732389164,0.0098010101179576,0.0,0.0,0.0,0.0301511056,,,,False,True
29,3456977,3454817,3455597,3456977,3455716.0,1261.0,0.5014535419033941,0.5761187178156421,0.4973140759511411,0.005814167613576338,0.3044748712625682,0.0,False,False,True,True,True,False,True,True,0.07880464186450098,0.0,0.1341559286414388,0.0,0.0077614986724626,0.0,0.0,0.0,0.0301511056,,,,False,True
30,4994789,4991293,4991687,4994789,4991760.0,3029.0,0.5011270749887379,0.5736363522348349,0.4963992371581493,0.0045082999549515,0.29454540893933956,0.0,False,False,True,True,True,False,True,True,0.07723711507668556,0.0,0.1879865387221068,0.0,0.0057126820734734,0.0,0.0,0.0,0.0301511056,,,,False,True
31,7108243,7103687,7105253,7108243,7105465.0,2778.0,0.50390112479036,0.5736183747679188,0.498989994290882,0.015604499161439911,0.2944734990716751,0.0,False,False,True,True,True,False,True,True,0.0746283804770368,0.0,0.1766899326140388,0.0,0.0068229245505902,0.0,0.0,0.0,0.0301511056,,,,False,True
32,3293113,3291683,3292063,3293113,3292080.0,1033.0,0.5014328643602292,0.5732352521868559,0.4988947078300238,0.005731457440916632,0.29294100874742357,0.0,False,False,True,True,True,False,True,True,0.07434054435683206,0.0,0.1154116378424172,0.0,0.0061349229944132,0.0,0.0,0.0,0.0301511056,,,,False,True
33,1197697,1197197,1197409,1197697,1197615.0,4.0,0.5089115530361071,0.5714546434153948,0.4995149329991193,0.035646212144428535,0.28581857366157903,0.0,False,False,True,True,True,False,False,True,0.07193971041627546,0.0,0.0726584885625681,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
34,127,113,113,127,126.0,1.0,0.5387179394323075,0.5387179394323075,-0.021134487024558002,0.15487175772923,0.15487175772923,0.0,False,False,True,True,True,False,False,True,0.5598524264568655,0.0,0.2157084836048593,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
35,354953,354667,354883,354953,354952.0,1.0,0.5034352473872499,0.5708743245352553,0.49656085441885756,0.013740989548999494,0.2834972981410213,0.0,False,False,True,True,True,False,False,True,0.07431347011639779,0.0,0.080127585396028,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
36,39707851,39699383,39703973,39707851,39704004.0,3847.0,0.5008638198301694,0.570765763152409,0.4939969259365746,0.0034552793206774624,0.28306305260963605,0.0,False,False,True,True,True,False,True,True,0.07676883721583436,0.0,0.1623741874086595,0.0028359777280191,0.0110407093348006,0.0,0.0,0.0,0.0301511056,,,,False,True
37,1657,1621,1627,1657,1656.0,1.0,0.5410191451178661,0.5646890667962472,0.18757685611520075,0.16407658047146434,0.2587562671849888,0.0,False,False,True,True,True,False,False,True,0.37711221068104644,0.0,0.1389495863976313,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
38,156007,155851,155893,156007,155920.0,1.0,0.5240956526789025,0.5692447049653862,0.33866029497010197,0.09638261071560983,0.2769788198615446,0.0,False,False,True,True,True,False,False,True,0.2305844099952842,0.0,0.0868104441327406,0.0,,0.0,0.0,0.0,0.0301511056,,,,False,True
