cap_target,rows_tested,rows_above_cap,cap_margin_min,pass_cap,source
0.05,1468,0,9.404501539370114e-05,True,
0.1,1468,0,0.050094045015393704,True,
0.25,1468,0,0.20009404501539368,True,
0.5,1468,0,0.4500940450153937,True,
0.75,1468,0,0.7000940450153937,True,
1.0,1468,0,0.9500940450153937,True,
0.05,1468,0,9.404501539370114e-05,True,o2_local_summary
