candidate_id,block_id,x,y,h,right_endpoint,p_star,source,E_theta,E_theta_normalized,E_theta_sign,Q_R2Q,Q_threshold_0p75_flag,Q_threshold_1p00_flag,near_forbidden_flag,forbidden_flag,positive_harmless_flag,negative_transfer_flag,channel_full,channel_inferred,theta_negative_and_near_forbidden_flag,theta_positive_and_near_forbidden_flag,theta_zero_and_near_forbidden_flag,theta_unknown_and_near_forbidden_flag,theta_negative_and_forbidden_flag,theta_positive_and_forbidden_flag,theta_zero_and_forbidden_flag,theta_unknown_and_forbidden_flag,schur_projection_proxy,schur_projection_sign,spf_class,scale_ratio,post_P0_flag,tail_flag,finite_certificate_flag,valid_scale_flag,coordinate_available_flag,finite_certificate_coordinate_excluded_flag,threshold_negative_transfer_pass_flag,failure_type,status
cand_00020,21.0,30847123,30831334.0,15789.0,30847123.0,30847123.0,theta,-424.33160930738086,-0.01135596738560949,negative,0.338124053326903,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00021,22.0,60209,60208.0,1.0,60209.0,60209.0,theta,10.005577121783782,0.08260693352007112,positive,0.0940510554686493,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00022,23.0,354553,354550.0,3.0,354553.0,354619.0,theta,22.55722059933116,0.07975260251989916,positive,0.0920232096308952,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00023,24.0,180619079,180557417.0,61662.0,180619079.0,180619079.0,theta,-1166.673386312199,-0.012998385316577796,negative,0.5459231094474968,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00024,25.0,109813367,109790208.0,23159.0,109813367.0,109813367.0,theta,-719.8064293124298,-0.013798807743205282,negative,0.3557665519303423,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00025,26.0,230563,230560.0,3.0,230563.0,230647.0,theta,21.69655017143579,0.08214696809023421,positive,0.0944180902326222,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00026,27.0,1192781,1192323.0,458.0,1192781.0,1192781.0,theta,-38.252494546276125,-0.009130193097605441,negative,0.0967472985369818,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00027,28.0,109670797,109660803.0,9994.0,109670797.0,109670797.0,theta,-700.5003791113922,-0.020444919093745895,negative,0.2345732370876761,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00028,29.0,3456977,3455716.0,1261.0,3456977.0,3456977.0,theta,-56.54292508843059,-0.007024363751630143,negative,0.1341559286414388,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00029,30.0,4994789,4991760.0,3029.0,4994789.0,4994789.0,theta,-113.94054074237602,-0.00870241751082165,negative,0.1879865387221068,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00030,31.0,7108243,7105465.0,2778.0,7108243.0,7108243.0,theta,-80.20709910296955,-0.006113793125343279,negative,0.1766899326140388,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00031,32.0,3293113,3292080.0,1033.0,3293113.0,3293113.0,theta,-117.56184933337444,-0.016240843463246078,negative,0.1154116378424172,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00032,33.0,1197619,1197615.0,4.0,1197619.0,1197697.0,theta,23.99169028406876,0.06123905776439849,positive,0.0726584885625681,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00033,34.0,127,126.0,1.0,127.0,127.0,theta,3.844187086458591,0.16381840768506986,positive,0.2157084836048593,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00034,35.0,354953,354952.0,1.0,354953.0,354953.0,theta,11.779740665326448,0.0721259667898836,positive,0.080127585396028,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00035,36.0,39707851,39704004.0,3847.0,39707851.0,39707851.0,theta,-452.5803398765943,-0.02383441267313675,negative,0.1623741874086595,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00036,37.0,1657,1656.0,1.0,1657.0,1657.0,theta,6.412764017426562,0.11670377630242393,positive,0.1389495863976313,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00037,38.0,155921,155920.0,1.0,155921.0,156007.0,theta,10.957104747706284,0.07663085853812723,positive,0.0868104441327406,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00038,39.0,39690667,39682692.0,7975.0,39690667.0,39690667.0,theta,-364.0109776889212,-0.013314979027263146,negative,0.2349256240499423,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00039,40.0,30417481,30409154.0,8327.0,30417481.0,30417481.0,theta,-228.7179970545885,-0.008442263113784956,negative,0.24963148266117,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00040,41.0,604672261,604520611.0,151650.0,604672261.0,604672261.0,theta,-1617.0683062109456,-0.010156320244579683,negative,0.7568596623500748,True,False,True,False,False,True,negative_transferred_repaid,negative_transfer,True,False,False,False,False,False,False,False,,not_available,not_available,,True,False,False,True,True,False,True,,pass
cand_00041,42.0,7117417,7115469.0,1948.0,7117417.0,7117417.0,theta,-117.76229972501552,-0.010717780209247962,negative,0.1460888226947264,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00042,43.0,12781267,12779528.0,1739.0,12781267.0,12781267.0,theta,-151.7480364006467,-0.013590059484822,negative,0.1300675391522673,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00043,44.0,109588091,109577354.0,10737.0,109588091.0,109588091.0,theta,-629.3445955758762,-0.017722668774810324,negative,0.2415685632788372,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00044,45.0,12836777,12833438.0,3339.0,12836777.0,12836777.0,theta,-163.66723291570224,-0.01057235151407977,negative,0.1752468754780604,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00045,46.0,618029,618028.0,1.0,618029.0,618029.0,theta,12.3342906609052,0.0693704230771723,positive,0.0748436752518515,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00046,47.0,12807413,12805898.0,1515.0,12807413.0,12807413.0,theta,-205.7621329185172,-0.019737799728640506,negative,0.1184377830877646,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00047,48.0,3440630,3439819.0,811.0,3440630.0,3440807.0,theta,46.90968440981942,0.007271246588628184,positive,0.1225172337511368,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00048,49.0,33902159,33888759.0,13400.0,33902159.0,33902159.0,theta,-291.8733586694325,-0.008386765527824882,negative,0.3075518627750951,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00049,50.0,3457967,3457512.0,455.0,3457967.0,3457967.0,theta,-93.6529697629686,-0.01936803677353957,negative,0.0793601948576568,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00050,51.0,12842173,12840082.0,2091.0,12842173.0,12842173.0,theta,-192.29332879440085,-0.015695782180474318,negative,0.1392439305539144,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00051,52.0,1512479,1512478.0,1.0,1512479.0,1512479.0,theta,13.229260584493224,0.06533876260529117,positive,0.0713499660129912,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00052,53.0,356173,356170.0,3.0,356173.0,356243.0,theta,22.56633807844032,0.07972781383092299,positive,0.0917954514179663,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00053,54.0,7112297,7110038.0,2259.0,7112297.0,7112297.0,theta,-113.30394854654696,-0.009576781758147345,negative,0.1547550134720171,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00054,55.0,12895717,12894136.0,1581.0,12895717.0,12895717.0,theta,-156.60587200935356,-0.014693224235645673,negative,0.1217247995908262,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00055,56.0,1511449,1511046.0,403.0,1511449.0,1511527.0,theta,9.625130217388572,0.0023682517122969953,positive,0.0952884508457212,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00056,57.0,179620853,179616870.0,3983.0,179620853.0,179620853.0,theta,-637.8829200418768,-0.027979372651857314,negative,0.1434186712486546,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00057,58.0,1188361,1188358.0,3.0,1188361.0,1188511.0,theta,24.97616952660599,0.07369547219482654,positive,0.0833294497303515,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00058,59.0,293,292.0,1.0,293.0,293.0,theta,4.680172609017068,0.14505703764384356,positive,0.1707575979731007,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00059,60.0,3290983,3290975.0,8.0,3290983.0,3291137.0,theta,37.02008815604045,0.05811918653763217,positive,0.0730965487832678,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00060,61.0,1190071,1190068.0,3.0,1190071.0,1190143.0,theta,24.97904537377347,0.0736894995793346,positive,0.0832943901091022,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00061,62.0,113166227,113154493.0,11734.0,113166227.0,113166227.0,theta,-570.3217879884924,-0.015309916844449729,negative,0.2503069484559692,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00062,63.0,30816007,30813688.0,2319.0,30816007.0,30816007.0,theta,-215.2921471839013,-0.015035736785433853,negative,0.1321516982536188,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00063,64.0,604810421,604757400.0,53021.0,604810421.0,604810421.0,theta,-1034.3984432700745,-0.010987106031064241,negative,0.4494568065190746,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,True,False,False,True,True,False,True,,pass
cand_00064,65.0,3438889,3438886.0,3.0,3438889.0,3439001.0,theta,27.10131744255433,0.06907435898944266,positive,0.0792717980142518,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00065,66.0,1196077,1196076.0,1.0,1196077.0,1196077.0,theta,12.994557592691232,0.06635033971160008,positive,0.0711424243631883,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00066,67.0,39699197,39695992.0,3205.0,39699197.0,39699197.0,theta,-265.53724747196566,-0.015321176508355204,negative,0.1495716452263878,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00067,68.0,1192069,1192068.0,1.0,1192069.0,1192069.0,theta,12.991201010838148,0.06636503233835843,positive,0.0712244136304279,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00068,69.0,108581987,108578163.0,3824.0,108581987.0,108581987.0,theta,-400.9453068567673,-0.01893830644776393,negative,0.1469597990717331,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00069,70.0,12847921,12847029.0,892.0,12847921.0,12847921.0,theta,-139.04176855224262,-0.01737540243323043,negative,0.0908608054490663,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00070,71.0,1191481,1191480.0,1.0,1191481.0,1191481.0,theta,12.990707629107597,0.06636719254251143,positive,0.0710316103925829,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00071,72.0,12843647,12843190.0,457.0,12843647.0,12843647.0,theta,-113.26485440576494,-0.01977546674449774,negative,0.0679786634633438,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00072,73.0,40882169,40877269.0,4900.0,40882169.0,40882169.0,theta,-220.51959869872007,-0.010255891101582853,negative,0.1837301433813745,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00073,74.0,1186291,1186290.0,1.0,1186291.0,1186291.0,theta,12.986342191006576,0.06638631209978839,positive,0.0716803042452162,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00074,75.0,113195507,113182659.0,12848.0,113195507.0,113195507.0,theta,-330.4150379443963,-0.008476290536708852,negative,0.2647255241959858,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00075,76.0,2879,2878.0,1.0,2879.0,2879.0,theta,6.965198290612176,0.10978431615958485,positive,0.1282261417306278,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00076,77.0,39674417,39673239.0,1178.0,39674417.0,39674417.0,theta,-198.21267981504025,-0.018865593333337226,negative,0.0933658727593846,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00077,78.0,3441797,3441229.0,568.0,3441797.0,3441797.0,theta,-56.25170384278789,-0.010418416157255138,negative,0.0865309897820664,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00078,79.0,109546081,109535495.0,10586.0,109546081.0,109546081.0,theta,-330.4584709322444,-0.009372404514730353,negative,0.2408302537232801,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00079,80.0,1198513,1198510.0,3.0,1198513.0,1198607.0,theta,24.993182690643494,0.07365656338621805,positive,0.0831464357639209,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00080,81.0,1512197,1512196.0,1.0,1512197.0,1512197.0,theta,13.22907411823977,0.06533955411941986,positive,0.0705955645536329,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00081,82.0,12782500,12782006.0,494.0,12782500.0,12782599.0,theta,-68.54730774172731,-0.011517798190993916,negative,0.0796044258439215,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00082,83.0,42923,42922.0,1.0,42923.0,42923.0,theta,9.66716309178561,0.0849573926179324,positive,0.0952612074725035,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00083,84.0,617579,617578.0,1.0,617579.0,617579.0,theta,12.33356227452393,0.06937390539206914,positive,0.0752538383487422,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00084,85.0,10357,10356.0,1.0,10357.0,10357.0,theta,8.24541789858888,0.09646273672542288,positive,0.1086725867349362,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00085,86.0,15859,15858.0,1.0,15859.0,15859.0,theta,8.6714924414986,0.09270578941598219,positive,0.1069835705399953,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00086,87.0,109467389,109460158.0,7231.0,109467389.0,109467389.0,theta,-178.26963014023477,-0.006118035337516266,negative,0.2045445847739718,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00087,88.0,3290641,3290318.0,323.0,3290641.0,3290641.0,theta,-37.87575835699317,-0.009358276475857803,negative,0.0705553720204413,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00088,89.0,1188149,1188148.0,1.0,1188149.0,1188149.0,theta,12.987907191915609,0.06637945651859609,positive,0.0739495641263946,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00089,90.0,179641471,179630689.0,10782.0,179641471.0,179641471.0,theta,-461.50121601656247,-0.012303256907301843,negative,0.2296201708973325,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00090,91.0,179602723,179595316.0,7407.0,179602723.0,179602723.0,theta,-450.7172966904154,-0.014497389848087155,negative,0.1917202756433797,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00091,92.0,3453943,3453942.0,1.0,3453943.0,3453943.0,theta,14.055027034946916,0.06201098157230747,positive,0.0687276505309807,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00092,93.0,1188839,1188838.0,1.0,1188839.0,1188839.0,theta,12.988487758598636,0.06637691366864772,positive,0.0717695715648134,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00093,94.0,618119,618118.0,1.0,618119.0,618119.0,theta,12.334436274537484,0.06936972696006967,positive,0.0765541684740735,False,False,False,False,True,False,positive_harmless,positive_harmless,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
cand_00094,95.0,178011341,178005997.0,5344.0,178011341.0,178011341.0,theta,-366.6962581891348,-0.01389910539003488,negative,0.1648839859416764,False,False,False,False,False,True,negative_transferred_repaid,neutral,False,False,False,False,False,False,False,False,,not_available,not_available,,False,False,True,True,True,False,True,,pass
