extreme_type,candidate_id,block_id,x,y,h,p_star,E_theta_sign,row_regime,Q_R2Q,Q_exc,Q_energy_L2,Q_energy_RMS,conc_ratio,threshold_relevant_flag,forbidden_flag,positive_harmless_flag,O2_repaid_flag,B3_no_accumulation_flag,finite_certified_flag,subthreshold_non_surviving_flag,harmful_high_energy_flag
top_Q_energy_L2,hexc_00026,27,1192781,1192323,458,1192781,negative,finite_negative,0.0967472985369818,0.0120403626533005,0.036413013628854,0.0061549226791826,0.33066097676023193,False,False,False,False,False,True,True,False
top_Q_energy_L2,hexc_00059,60,3290983,3290975,8,3291137,positive,finite_positive,0.0730965487832678,0.0205672364492246,0.0304825946938867,0.0101608648979622,0.674720661274592,False,False,True,False,False,True,True,False
top_Q_energy_L2,hexc_00013,14,1195591,1195386,205,1195669,positive,finite_positive,0.0899443884131837,0.0127144572989962,0.0298022102047381,0.0052683362325293,0.42662799878429125,False,False,True,False,False,True,True,False
top_Q_energy_L2,hexc_00095,96,3438637,3438262,375,3438637,negative,finite_negative,0.0753076301542394,0.0091609752093495,0.0289409320608848,0.0048234886768141,0.3165404344986885,False,False,False,False,False,True,True,False
top_Q_energy_L2,hexc_00304,305,30386689,30386676,13,30386821,positive,finite_positive,0.0656901337841472,0.0172880108593613,0.0289054037503281,0.0083442713181433,0.598089236486277,False,False,True,False,False,True,True,False
top_Q_energy_L2,hexc_00004,5,356077,355293,784,356077,negative,finite_negative,0.1566810093663226,0.0128661873649445,0.0285182984397066,0.0046883793831597,0.45115550607432625,False,False,False,False,False,True,True,False
top_Q_energy_L2,hexc_00081,82,12782500,12782006,494,12782599,negative,finite_negative,0.0796044258439215,0.0108684538700757,0.0277787667189073,0.0046297944531512,0.39125041007231653,False,False,False,False,False,True,True,False
top_Q_energy_L2,hexc_00087,88,3290641,3290318,323,3290641,negative,finite_negative,0.0705553720204413,0.0078480023338476,0.0270342406488881,0.0045696207015524,0.29029860449105616,False,False,False,False,False,True,True,False
top_Q_energy_L2,hexc_00001,2,24181,24178,3,24317,positive,finite_positive,0.1157979799474991,0.0184358992034248,0.0260719675992124,0.0130359837996062,0.70711576075991,False,False,True,False,False,True,True,False
top_Q_energy_L2,hexc_00011,12,3279709,3278912,797,3279709,negative,finite_negative,0.1060058846880691,0.0114062615417102,0.0254216307563309,0.0041792903519915,0.44868331426258445,False,False,False,False,False,True,True,False
top_Q_energy_L2,hexc_00032,33,1197619,1197615,4,1197697,positive,finite_positive,0.0726584885625681,0.0177247165152088,0.0249378557636041,0.0111525481401007,0.7107554347586446,False,False,True,False,False,True,True,False
top_Q_energy_L2,hexc_00242,243,30781189,30781182,7,30781319,positive,finite_positive,0.0666639054628127,0.0156184300412248,0.0247186134594574,0.0087393495993557,0.6318489532935009,False,False,True,False,False,True,True,False
top_Q_energy_L2,hexc_00355,356,33821509,33821502,7,33821677,positive,finite_positive,0.0654611569085146,0.0155337822934355,0.0245850448951147,0.0086921259805556,0.6318386791525534,False,False,True,False,False,True,True,False
top_Q_energy_L2,hexc_00198,199,39635782,39635564,218,39635819,positive,finite_positive,0.0588053295328899,0.0085391222223537,0.0235535603972833,0.0039812783567538,0.36254061289768374,False,False,True,False,False,True,True,False
top_Q_energy_L2,hexc_00174,175,12776941,12776609,332,12776941,positive,finite_positive,0.0675855848506355,0.0075023689938937,0.0231134130828272,0.0038522355138045,0.3245894047326056,False,False,True,False,False,True,True,False
top_Q_energy_L2,hexc_00071,72,12843647,12843190,457,12843647,negative,finite_negative,0.0679786634633438,0.0081632419242064,0.0226473860254771,0.0038281069315822,0.3604496304793493,False,False,False,False,False,True,True,False
top_Q_energy_L2,hexc_00231,232,7103281,7103277,4,7103387,positive,finite_positive,0.0636678531151053,0.0157384918917144,0.0221562198206484,0.0099085627286796,0.7103419274188179,False,False,True,False,False,True,True,False
top_Q_energy_L2,hexc_00275,276,108562160,108561847,313,108562291,negative,finite_negative,0.0551202378966553,0.0091059828634137,0.0219576117786852,0.0038223295888187,0.4147073440952765,False,False,False,False,False,True,True,False
top_Q_energy_L2,hexc_00055,56,1511449,1511046,403,1511527,positive,finite_positive,0.0952884508457212,0.007718928919738,0.021936891056258,0.0037080113623424,0.35186977498053446,False,False,True,False,False,True,True,False
top_Q_energy_L2,hexc_00173,174,30825511,30824836,675,30825511,negative,finite_negative,0.0784523836661713,0.0110815667281192,0.0218196897816464,0.0036366149636077,0.5078700402716285,False,False,False,False,False,True,True,False
top_Q_exc,hexc_00059,60,3290983,3290975,8,3291137,positive,finite_positive,0.0730965487832678,0.0205672364492246,0.0304825946938867,0.0101608648979622,0.674720661274592,False,False,True,False,False,True,True,False
top_Q_exc,hexc_00001,2,24181,24178,3,24317,positive,finite_positive,0.1157979799474991,0.0184358992034248,0.0260719675992124,0.0130359837996062,0.70711576075991,False,False,True,False,False,True,True,False
top_Q_exc,hexc_00032,33,1197619,1197615,4,1197697,positive,finite_positive,0.0726584885625681,0.0177247165152088,0.0249378557636041,0.0111525481401007,0.7107554347586446,False,False,True,False,False,True,True,False
top_Q_exc,hexc_00304,305,30386689,30386676,13,30386821,positive,finite_positive,0.0656901337841472,0.0172880108593613,0.0289054037503281,0.0083442713181433,0.598089236486277,False,False,True,False,False,True,True,False
top_Q_exc,hexc_00231,232,7103281,7103277,4,7103387,positive,finite_positive,0.0636678531151053,0.0157384918917144,0.0221562198206484,0.0099085627286796,0.7103419274188179,False,False,True,False,False,True,True,False
top_Q_exc,hexc_00242,243,30781189,30781182,7,30781319,positive,finite_positive,0.0666639054628127,0.0156184300412248,0.0247186134594574,0.0087393495993557,0.6318489532935009,False,False,True,False,False,True,True,False
top_Q_exc,hexc_00355,356,33821509,33821502,7,33821677,positive,finite_positive,0.0654611569085146,0.0155337822934355,0.0245850448951147,0.0086921259805556,0.6318386791525534,False,False,True,False,False,True,True,False
top_Q_exc,hexc_00025,26,230563,230560,3,230647,positive,finite_positive,0.0944180902326222,0.0151761792087925,0.0214623352385676,0.0107311676192838,0.7071075463177493,False,False,True,False,False,True,True,False
top_Q_exc,hexc_00185,186,22052341,22052337,4,22052431,positive,finite_positive,0.0607248084445193,0.014690835140949,0.0206876955885622,0.0092518187267695,0.7101242899702787,False,False,True,False,False,True,True,False
top_Q_exc,hexc_00022,23,354553,354550,3,354619,positive,finite_positive,0.0920232096308952,0.0146788192753852,0.0207589711964358,0.0103794855982179,0.7071072615537649,False,False,True,False,False,True,True,False
top_Q_exc,hexc_00052,53,356173,356170,3,356243,positive,finite_positive,0.0917954514179663,0.0146736966602346,0.0207517267987916,0.0103758633993958,0.7071072591939225,False,False,True,False,False,True,True,False
top_Q_exc,hexc_00113,114,359419,359416,3,359477,positive,finite_positive,0.0897827713986883,0.0146636407876059,0.0207375057936661,0.010368752896833,0.7071072545322517,False,False,True,False,False,True,True,False
