candidate_id,block_id,x,y,h,p_star,post_P0_flag,post_P0_by_pstar,finite_certified_flag,finite_zone_flag,threshold_relevant_flag,forbidden_flag,near_forbidden_flag,positive_harmless_flag,negative_transfer_flag,row_regime,Q_R2Q,Q_delta_D,Q_exc,epsilon,E_theta,epsilon_abs,Q_R2Q_recon,Q_R2Q_reconstruction_error,E_theta_sign,Q_R2Q_gt_0p75,Q_delta_D_gt_0p75,E_theta_positive,E_theta_nonnegative,E_theta_negative,positive_harmless_bound,positive_subthreshold_bound,Q_R2Q_minus_Q_delta_D,Q_exc_plus_abs_epsilon,direct_threshold_sign_counterexample,direct_delta_counterexample,endpoint_sign_bridge_counterexample,positive_harmless_counterexample_0p305,positive_harmless_counterexample_0p75,thresholdtransfer_failure_flag,Q_R2Q_bin,Q_delta_D_bin
hexc_00034,35,354953,354952,1,354953,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.080127585396028,0.0762690147674882,0.0,0.0038585706285398,11.779740665326448,0.0038585706285398,0.08012758539602799,1.3877787807814457e-17,positive,False,False,True,True,False,True,True,0.003858570628539809,0.0038585706285398,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00036,37,1657,1656,1,1657,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.1389495863976313,0.129017905192041,6.465466393439502e-17,0.0099316812055902,6.412764017426562,0.0099316812055902,0.13894958639763128,2.7755575615628914e-17,positive,False,False,True,True,False,True,True,0.009931681205590293,0.009931681205590265,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00037,38,155921,155920,1,156007,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0868104441327406,0.081363154764434,0.0,0.0054472893683066,10.957104747706284,0.0054472893683066,0.0868104441327406,0.0,positive,False,False,True,True,False,True,True,0.0054472893683066015,0.0054472893683066,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00045,46,618029,618028,1,618029,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0748436752518515,0.0731760324597099,0.0,0.0016676427921415,12.3342906609052,0.0016676427921415,0.0748436752518514,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.0016676427921415993,0.0016676427921415,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00047,48,3440630,3439819,811,3440807,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.1225172337511368,0.1072136412049886,0.0089098695882727,0.0063937229578755,46.90968440981942,0.0063937229578755,0.1225172337511368,0.0,positive,False,False,True,True,False,True,True,0.0153035925461482,0.0153035925461482,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00051,52,1512479,1512478,1,1512479,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0713499660129912,0.0686807082255686,0.0,0.0026692577874226,13.229260584493224,0.0026692577874226,0.07134996601299119,1.3877787807814457e-17,positive,False,False,True,True,False,True,True,0.0026692577874226076,0.0026692577874226,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00052,53,356173,356170,3,356243,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0917954514179663,0.0880421204440856,0.0146736966602346,-0.0109203656863539,22.56633807844032,0.0109203656863539,0.0917954514179663,0.0,positive,False,False,True,True,False,True,True,0.0037533309738806975,0.0255940623465885,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00055,56,1511449,1511046,403,1511527,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0952884508457212,0.0811829553542681,0.007718928919738,0.006386566571715,9.625130217388572,0.006386566571715,0.0952884508457211,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.014105495491453096,0.014105495491452999,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00057,58,1188361,1188358,3,1188511,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0833294497303515,0.0806391928862905,0.0134398679639979,-0.0107496111199368,24.97616952660599,0.0107496111199368,0.0833294497303516,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.0026902568440610036,0.0241894790839347,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00058,59,293,292,1,293,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.1707575979731007,0.1660290921582204,5.505631574898212e-17,0.0047285058148802,4.680172609017068,0.0047285058148802,0.17075759797310067,2.7755575615628914e-17,positive,False,False,True,True,False,True,True,0.004728505814880296,0.0047285058148802545,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
