block_id,y,h,p_star,E_theta,Q_R2Q,channel,post_P0_flag,finite_zone_flag,row_status
140,1512660,1,1512661,13.229380909503124,0.0706156379648199,positive_harmless,False,True,instrumentation_gap
141,12799572,1,12799573,15.36492236895841,0.0616477751710293,positive_harmless,False,True,instrumentation_gap
142,2275960,1,2275961,13.637912938756417,0.0680251836107398,positive_harmless,False,True,instrumentation_gap
143,42532,1,42533,9.658035524203411,0.0954963866947735,positive_harmless,False,True,instrumentation_gap
144,445068,1,445069,12.005984605308186,0.0786725939660381,positive_harmless,False,True,instrumentation_gap
145,1517806,1,1517807,13.232777087879647,0.070706350398406,positive_harmless,False,True,instrumentation_gap
146,1518060,1,1518061,13.232944420583566,0.0707800350270976,positive_harmless,False,True,instrumentation_gap
147,3458820,1,3458821,14.056438337519856,0.0670028543786573,positive_harmless,False,True,instrumentation_gap
148,359700,1,359701,11.793028409774374,0.0779234045557953,positive_harmless,False,True,instrumentation_gap
149,1511818,3,1511863,25.45764956203124,0.0810451897299419,positive_harmless,False,True,instrumentation_gap
151,39670780,3,39670973,31.992251009850825,0.0668468275799452,positive_harmless,False,True,instrumentation_gap
152,3291538,1,3291539,14.006865794521072,0.0668271319376652,positive_harmless,False,True,instrumentation_gap
157,1184608,1,1184609,12.984923320297408,0.072561666975567,positive_harmless,False,True,instrumentation_gap
158,60126,1,60127,10.00421427088809,0.0919654214564058,positive_harmless,False,True,instrumentation_gap
162,1198750,1,1198751,12.996790739381732,0.0719876878780127,positive_harmless,False,True,instrumentation_gap
168,1196592,1,1196593,12.994988910012886,0.0735589050981222,positive_harmless,False,True,instrumentation_gap
169,359836,1,359837,11.793406430119706,0.0800334901917534,positive_harmless,False,True,instrumentation_gap
170,17641576,3,17641879,30.3715381206486,0.0694300887821649,positive_harmless,False,True,instrumentation_gap
172,1198360,3,1198397,24.99293236459349,0.0829932104381138,positive_harmless,False,True,instrumentation_gap
173,30850276,3,30850439,31.489312639240573,0.0687690106203953,positive_harmless,False,True,instrumentation_gap
180,7112886,1,7112887,14.777418767184288,0.0641352518065375,positive_harmless,False,True,instrumentation_gap
182,30787786,3,30788077,31.485257351625947,0.0676460987104531,positive_harmless,False,True,instrumentation_gap
186,22052337,4,22052431,29.817858553351044,0.0607248084445193,positive_harmless,False,True,instrumentation_gap
187,338530,1,338531,11.732370947643444,0.079871308359875,positive_harmless,False,True,instrumentation_gap
189,39649782,1,39649783,16.495596033142387,0.0574888285914167,positive_harmless,False,True,instrumentation_gap
192,3459178,1,3459179,14.056541835640791,0.068254632757475,positive_harmless,False,True,instrumentation_gap
193,1199992,1,1199993,12.997826281407882,0.0715987515628432,positive_harmless,False,True,instrumentation_gap
197,30786460,3,30786629,31.48517121172168,0.06834819426233,positive_harmless,False,True,instrumentation_gap
198,40839496,3,40839853,32.05032051862896,0.0664294699592638,positive_harmless,False,True,instrumentation_gap
200,17590930,3,17591099,30.365788199920942,0.0690704028270101,positive_harmless,False,True,instrumentation_gap
201,7051566,1,7051567,14.768760419593791,0.0648470887681662,positive_harmless,False,True,instrumentation_gap
202,672,1,673,5.511745329644728,0.1551610461475472,positive_harmless,False,True,instrumentation_gap
203,12784608,1,12784609,15.363752583525644,0.0615986076879811,positive_harmless,False,True,instrumentation_gap
204,445140,1,445141,12.006146364893356,0.078849161619478,positive_harmless,False,True,instrumentation_gap
205,12807856,1,12807857,15.365569368699422,0.0621526059796389,positive_harmless,False,True,instrumentation_gap
207,1518190,1,1518191,13.233030052474517,0.0719532466962552,positive_harmless,False,True,instrumentation_gap
210,30339268,1,30339269,16.227953437988603,0.058274726799016,positive_harmless,False,True,instrumentation_gap
211,1507290,1,1507291,13.225824557839376,0.071217737590593,positive_harmless,False,True,instrumentation_gap
212,338608,1,338609,11.73260132836337,0.0799255305017518,positive_harmless,False,True,instrumentation_gap
213,17594718,1,17594719,15.683109358164144,0.0598206042552528,positive_harmless,False,True,instrumentation_gap
