row_id,candidate_id,block_id,source,x,y,h,right_endpoint,p_star,post_P0_flag,finite_zone_flag,finite_certificate_flag,coordinate_available_flag,finite_certificate_coordinate_excluded_flag,E_theta,E_theta_sign,E_theta_normalized,Q_R2Q,Q_exc,Q_O2,accumulation_proxy,positive_harmless_flag,negative_transfer_flag,channel_compatible_flag,O2_applicable_flag,B3_applicable_flag,endpoint_repaid_flag,near_forbidden_flag,forbidden_flag,known_pstar_110312593_flag,finite_certification_mode,finite_certification_pass_flag,failure_type,status
finite_00020,cand_00020,21.0,theta,30847123.0,30831334.0,15789.0,30847123.0,30847123.0,False,True,True,True,False,-424.33160930738086,negative,-0.0113559673856094,0.338124053326903,0.0060303868534807,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00021,cand_00021,22.0,theta,60209.0,60208.0,1.0,60209.0,60209.0,False,True,True,True,False,10.005577121783782,positive,0.0826069335200711,0.0940510554686493,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00022,cand_00022,23.0,theta,354553.0,354550.0,3.0,354553.0,354619.0,False,True,True,True,False,22.55722059933116,positive,0.0797526025198991,0.0920232096308952,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00023,cand_00023,24.0,theta,180619079.0,180557417.0,61662.0,180619079.0,180619079.0,False,True,True,True,False,-1166.673386312199,negative,-0.0129983853165777,0.5459231094474968,0.0051149881925594,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00024,cand_00024,25.0,theta,109813367.0,109790208.0,23159.0,109813367.0,109813367.0,False,True,True,True,False,-719.8064293124298,negative,-0.0137988077432052,0.3557665519303423,0.0045682420338709,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00025,cand_00025,26.0,theta,230563.0,230560.0,3.0,230563.0,230647.0,False,True,True,True,False,21.69655017143579,positive,0.0821469680902342,0.0944180902326222,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00026,cand_00026,27.0,theta,1192781.0,1192323.0,458.0,1192781.0,1192781.0,False,True,True,True,False,-38.252494546276125,negative,-0.0091301930976054,0.0967472985369818,0.0120403626533005,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00027,cand_00027,28.0,theta,109670797.0,109660803.0,9994.0,109670797.0,109670797.0,False,True,True,True,False,-700.5003791113922,negative,-0.0204449190937458,0.2345732370876761,0.0098010101179576,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00028,cand_00028,29.0,theta,3456977.0,3455716.0,1261.0,3456977.0,3456977.0,False,True,True,True,False,-56.54292508843059,negative,-0.0070243637516301,0.1341559286414388,0.0077614986724626,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00029,cand_00029,30.0,theta,4994789.0,4991760.0,3029.0,4994789.0,4994789.0,False,True,True,True,False,-113.94054074237602,negative,-0.0087024175108216,0.1879865387221068,0.0057126820734734,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00030,cand_00030,31.0,theta,7108243.0,7105465.0,2778.0,7108243.0,7108243.0,False,True,True,True,False,-80.20709910296955,negative,-0.0061137931253432,0.1766899326140388,0.0068229245505902,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00031,cand_00031,32.0,theta,3293113.0,3292080.0,1033.0,3293113.0,3293113.0,False,True,True,True,False,-117.56184933337444,negative,-0.016240843463246,0.1154116378424172,0.0061349229944132,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00032,cand_00032,33.0,theta,1197619.0,1197615.0,4.0,1197619.0,1197697.0,False,True,True,True,False,23.99169028406876,positive,0.0612390577643984,0.0726584885625681,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00033,cand_00033,34.0,theta,127.0,126.0,1.0,127.0,127.0,False,True,True,True,False,3.844187086458591,positive,0.1638184076850698,0.2157084836048593,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
