gap_start,gap_end,gap_size,gap_safety_status
604828963,604829736,773,unknown_first_exit_impossibility_not_proven
604829737,604830076,339,unknown_first_exit_impossibility_not_proven
604830077,604838292,8215,unknown_first_exit_impossibility_not_proven
604838293,604844050,5757,unknown_first_exit_impossibility_not_proven
604848841,604848940,99,unknown_first_exit_impossibility_not_proven
604848941,604849312,371,unknown_first_exit_impossibility_not_proven
604849313,604849350,37,unknown_first_exit_impossibility_not_proven
604849351,604863730,14379,unknown_first_exit_impossibility_not_proven
604863731,604864228,497,unknown_first_exit_impossibility_not_proven
604864229,604864276,47,unknown_first_exit_impossibility_not_proven
604864277,604864888,611,unknown_first_exit_impossibility_not_proven
604864891,604866090,1199,unknown_first_exit_impossibility_not_proven
604866091,604866190,99,unknown_first_exit_impossibility_not_proven
604866191,604866472,281,unknown_first_exit_impossibility_not_proven
604866473,604869251,2778,unknown_first_exit_impossibility_not_proven
604870961,604871020,59,unknown_first_exit_impossibility_not_proven
604871021,604871248,227,unknown_first_exit_impossibility_not_proven
604871249,604872087,838,unknown_first_exit_impossibility_not_proven
604872091,604872286,195,unknown_first_exit_impossibility_not_proven
604872287,604872472,185,unknown_first_exit_impossibility_not_proven
604872473,604872550,77,unknown_first_exit_impossibility_not_proven
604872551,604872576,25,unknown_first_exit_impossibility_not_proven
604872577,604872720,143,unknown_first_exit_impossibility_not_proven
604872721,604872760,39,unknown_first_exit_impossibility_not_proven
604872761,604872802,41,unknown_first_exit_impossibility_not_proven
604872803,604872870,67,unknown_first_exit_impossibility_not_proven
604872871,604873176,305,unknown_first_exit_impossibility_not_proven
604873177,604873348,171,unknown_first_exit_impossibility_not_proven
604873349,604874232,883,unknown_first_exit_impossibility_not_proven
604874233,604874692,459,unknown_first_exit_impossibility_not_proven
604874693,604879711,5018,unknown_first_exit_impossibility_not_proven
604883911,604884126,215,unknown_first_exit_impossibility_not_proven
604884127,604884330,203,unknown_first_exit_impossibility_not_proven
