block_id,source_row,p_star,y,h,carrier_count,weighted_discrepancy,signed_weighted_discrepancy,small_q_le_13_discrepancy,tail_q_gt_13_discrepancy,top_component_q,top_component_abs,denom_sqrt_h_log2p,Q_LAN,h_bin,scale_bin
183,183,109726069,109724532,1537,144,0.11677810304363795,0.10158475301453765,0.11675000641776453,2.8096625873922157e-05,3,0.10740350324516651,13437.357725843489,8.6905554965649e-06,1025<=h<=8192,100M<=p<500M
184,184,604356173,604335487,20686,2010,0.2776467479243185,0.23266888392995538,0.27757054607537723,7.620184894424688e-05,3,0.25380352909341275,58801.251610062136,4.721782960769619e-06,8193<=h<=65536,p>=500M
185,185,187500319,187498570,1749,156,0.22313450262787815,0.22092799033106147,0.22311585077682253,1.8651851056673693e-05,3,0.21820564703411566,15175.833109722682,1.4703278628237078e-05,1025<=h<=8192,100M<=p<500M
188,188,31027859,31027175,684,68,0.060826580521800774,0.046788281908774126,0.060810928244272276,1.565227752876275e-05,3,0.053804740729970504,7782.6265458433445,7.815687951041143e-06,257<=h<=1024,p<100M
190,190,31026421,31025775,446,62,0.03313797435928829,-0.026603301230206298,0.0331236733617336,1.430099755501831e-05,3,0.02937410894228165,6284.391548888212,5.273060104784657e-06,257<=h<=1024,p<100M
191,191,109772783,109770459,2324,234,0.08994545124703489,0.06853476553193417,0.08990622812950802,3.9223117527404496e-05,3,0.07730847055117351,16523.992018567693,5.443324539612759e-06,1025<=h<=8192,100M<=p<500M
194,194,33878389,33877658,605,70,0.25655468923607233,-0.24710713080963873,0.25653918670960035,1.5502526473687733e-05,3,0.25180230937927855,7394.181493191804,3.469683418946305e-05,257<=h<=1024,p<100M
195,195,33865589,33865210,379,36,0.17412836820243377,-0.16142406545216487,0.17410350628322008,2.4861919214683233e-05,3,0.1675935686331528,5852.118243743754,2.975475903765049e-05,257<=h<=1024,p<100M
196,196,39648137,39647291,846,90,0.08801930282406872,0.07680834993920427,0.08798575190478977,3.355091927936653e-05,3,0.0810160784171179,8903.086756192612,9.886380446966465e-06,257<=h<=1024,p<100M
199,199,39635819,39635564,218,28,0.0023198404634641218,-0.0016801613601284799,0.00230848559070473,1.1354872759417721e-05,5,0.0012405643803084835,4519.269533988792,5.133219972867134e-07,65<=h<=256,p<100M
206,206,180640297,180639336,961,76,0.006641455166145729,-0.005211380486822847,0.006621421382965342,2.0033783180432493e-05,5,0.0037243890322658808,11205.162037994125,5.927138887975099e-07,257<=h<=1024,100M<=p<500M
208,208,604822567,604819805,2762,228,0.07244399186646884,-0.05050921597272305,0.072412790339672,3.120152679733432e-05,3,0.0614259346766346,21487.86590496896,3.371390727532255e-06,1025<=h<=8192,p>=500M
209,209,40866037,40865652,274,34,0.08793378363512186,-0.08674395583391029,0.0879148617122598,1.8921922862654687e-05,3,0.08420874074612585,5084.303578879494,1.7295148149769053e-05,257<=h<=1024,p<100M
215,215,604883911,604879711,4200,374,0.2057706642955841,0.19614208020429996,0.20569222173053336,7.84425650515624e-05,3,0.18481496290372706,26497.838558132553,7.765564117395916e-06,1025<=h<=8192,p>=500M
219,219,604167899,604161649,6250,580,0.36442532131016797,-0.33266629831085887,0.36433036577093725,9.495553923311896e-05,3,0.34826675390449835,32320.266573334302,1.127544293247988e-05,1025<=h<=8192,p>=500M
223,223,604848841,604844050,4791,436,0.12441265571097851,-0.12026325320302123,0.12437958992508852,3.306578589103739e-05,3,0.12233692381633195,28300.649286826258,4.396106055732498e-06,1025<=h<=8192,p>=500M
228,228,604708931,604704593,4338,386,0.3861510030824411,-0.35606041812893396,0.38612557735549696,2.5425726945582833e-05,3,0.37104955997399003,26928.87127601291,1.4339665377152586e-05,1025<=h<=8192,p>=500M
233,233,108545317,108544444,873,80,0.005332881955781312,-0.004886169842020721,0.005308055291744441,2.482666403692978e-05,5,0.0024730410865956647,10115.242952743962,5.27212443704544e-07,257<=h<=1024,100M<=p<500M
235,235,12805417,12804850,567,66,0.03042928690644817,-0.029920985449298814,0.030414305176550208,1.4981729898199485e-05,3,0.0294770980496691,6377.399978185327,4.77142519060044e-06,257<=h<=1024,p<100M
238,238,109610987,109610360,522,48,0.05556740486112026,0.0555398696964505,0.055550691034759486,1.671382636098524e-05,3,0.054319686266907356,7830.021650666098,7.096711521403412e-06,257<=h<=1024,100M<=p<500M
241,241,40846543,40846297,128,22,0.03199124266378352,0.02319554417671475,0.031982358604237315,8.884059546374122e-06,3,0.02721133768714735,3474.8617451865503,9.206479281686082e-06,65<=h<=256,p<100M
243,243,30781319,30781182,7,6,0.02973208330357254,0.025514504929820964,0.029729660914574015,2.4223889986634796e-06,3,0.027623294116696753,786.5845026944545,3.779896908943024e-05,5<=h<=16,p<100M
246,246,12808469,12808371,16,8,0.0030240573982935485,0.0025491962934270423,0.0030208275462953573,3.229851998217978e-06,5,0.002502695891340434,1071.3336988967037,2.822703515634603e-06,5<=h<=16,p<100M
252,252,39640253,39639838,294,38,0.0852867258059867,-0.0837701661587581,0.0852732354433127,1.3490362674389352e-05,3,0.08431172985351311,5248.306815364988,1.6250331546223735e-05,257<=h<=1024,p<100M
258,258,179145961,179143998,1963,190,0.09065778527530369,0.06650103695302043,0.09061765144073804,4.0133834566243814e-05,3,0.07844135073243426,16000.627143280099,5.665889496923745e-06,1025<=h<=8192,100M<=p<500M
268,268,30796769,30796057,712,80,0.06524463213062699,-0.050178408948881564,0.06522298325488414,2.1648875743240312e-05,3,0.05761533770330255,7933.441806696943,8.224000846083137e-06,257<=h<=1024,p<100M
269,269,178899467,178898710,757,66,0.08527664731723286,0.07905742617174599,0.08525824242302278,1.8404894210702082e-05,3,0.08163401306144201,9934.862491521833,8.583576007217598e-06,257<=h<=1024,100M<=p<500M
271,271,187425023,187423758,1265,126,0.0395869937061256,-0.028216258332223673,0.03957635624756235,1.0637458563608397e-05,3,0.03102193466047925,12905.789740300213,3.0673825083721483e-06,1025<=h<=8192,100M<=p<500M
