candidate_id,x,selected_block_id,p_star,h,pstar_over_x,h_over_x,scale_ratio,pstar_comparable_flag,h_short_flag,scale_positive_flag,geometry_pass_flag
cand_00043,109588091,theta_local:44:109577354:10737,109588091,10737.0,1.0,9.797597441495719e-05,0.009898281386935673,True,True,True,True
cand_00044,12836777,theta_local:45:12833438:3339,12836777,3339.0,1.0,0.0002601120203303368,0.016127988725514932,True,True,True,True
cand_00045,618029,theta_local:46:618028:1,618029,1.0,1.0,1.6180470495721075e-06,0.0012720247833953975,True,True,True,True
cand_00046,12807413,theta_local:47:12805898:1515,12807413,1515.0,1.0,0.00011829086795280202,0.01087616053360753,True,True,True,True
cand_00047,3440630,theta_local:48:3439819:811,3440807,811.0,1.0000514440669297,0.00023571264564919796,0.015353041008055443,True,True,True,True
cand_00048,33902159,theta_local:49:33888759:13400,33902159,13400.0,1.0,0.00039525506325423107,0.019881022691356477,True,True,True,True
cand_00049,3457967,theta_local:50:3457512:455,3457967,455.0,1.0,0.00013158020304994235,0.011470841427286074,True,True,True,True
cand_00050,12842173,theta_local:51:12840082:2091,12842173,2091.0,1.0,0.00016282291166767494,0.012760208135750566,True,True,True,True
cand_00051,1512479,theta_local:52:1512478:1,1512479,1.0,1.0,6.61166204621684e-07,0.0008131212730101727,True,True,True,True
cand_00052,356173,theta_local:53:356170:3,356243,3.0,1.0001965337069345,8.42287315433792e-06,0.0029023078923781065,True,True,True,True
cand_00053,7112297,theta_local:54:7110038:2259,7112297,2259.0,1.0,0.0003176189070844482,0.01782186598211445,True,True,True,True
cand_00054,12895717,theta_local:55:12894136:1581,12895717,1581.0,1.0,0.00012259884425193263,0.011072436238332223,True,True,True,True
cand_00055,1511449,theta_local:56:1511046:403,1511527,403.0,1.0000516061077813,0.0002666315568702616,0.01632897501409536,True,True,True,True
cand_00056,179620853,theta_local:57:179616870:3983,179620853,3983.0,1.0,2.217448549807299e-05,0.004708979241626892,True,True,True,True
cand_00057,1188361,theta_local:58:1188358:3,1188511,3.0,1.0001262242702345,2.524485404687633e-06,0.0015888916013855126,True,True,True,True
cand_00058,293,theta_local:59:292:1,293,1.0,1.0,0.0034129692832764505,0.0584206237836986,True,True,True,True
cand_00059,3290983,theta_local:60:3290975:8,3291137,8.0,1.0000467945291727,2.430884632342373e-06,0.001559139170225631,True,True,True,True
cand_00060,1190071,theta_local:61:1190068:3,1190143,3.0,1.0000605005919816,2.5208579992286177e-06,0.0015877347404659647,True,True,True,True
cand_00061,113166227,theta_local:62:113154493:11734,113166227,11734.0,1.0,0.00010368817898293985,0.010182739267158906,True,True,True,True
cand_00062,30816007,theta_local:63:30813688:2319,30816007,2319.0,1.0,7.52530981707007e-05,0.008674854360201137,True,True,True,True
cand_00063,604810421,theta_local:64:604757400:53021,604810421,53021.0,1.0,8.766548683525411e-05,0.009362984931914294,True,True,True,True
cand_00064,3438889,theta_local:65:3438886:3,3439001,3.0,1.0000325686580753,8.723747698748055e-07,0.000934014090272692,True,True,True,True
cand_00065,1196077,theta_local:66:1196076:1,1196077,1.0,1.0,8.360665743091791e-07,0.0009143667613759694,True,True,True,True
cand_00066,39699197,theta_local:67:39695992:3205,39699197,3205.0,1.0,8.073211153364134e-05,0.008985104981781868,True,True,True,True
cand_00067,1192069,theta_local:68:1192068:1,1192069,1.0,1.0,8.388776153058254e-07,0.0009159026232661555,True,True,True,True
cand_00068,108581987,theta_local:69:108578163:3824,108581987,3824.0,1.0,3.521762776361792e-05,0.005934444183208561,True,True,True,True
cand_00069,12847921,theta_local:70:12847029:892,12847921,892.0,1.0,6.942757509172107e-05,0.00833232111069425,True,True,True,True
cand_00070,1191481,theta_local:71:1191480:1,1191481,1.0,1.0,8.392916043142945e-07,0.0009161285959483498,True,True,True,True
cand_00071,12843647,theta_local:72:12843190:457,12843647,457.0,1.0,3.558179386275565e-05,0.005965047683192118,True,True,True,True
cand_00072,40882169,theta_local:73:40877269:4900,40882169,4900.0,1.0,0.00011985665437663056,0.010947906392394416,True,True,True,True
cand_00073,1186291,theta_local:74:1186290:1,1186291,1.0,1.0,8.429634887224129e-07,0.0009181304312146575,True,True,True,True
cand_00074,113195507,theta_local:75:113182659:12848,113195507,12848.0,1.0,0.00011350273823147415,0.010653766387126862,True,True,True,True
cand_00075,2879,theta_local:76:2878:1,2879,1.0,1.0,0.0003473428273706148,0.01863713570725434,True,True,True,True
cand_00076,39674417,theta_local:77:39673239:1178,39674417,1178.0,1.0,2.9691677637002203e-05,0.005449007032203408,True,True,True,True
cand_00077,3441797,theta_local:78:3441229:568,3441797,568.0,1.0,0.00016503007004771054,0.01284640300036203,True,True,True,True
cand_00078,109546081,theta_local:79:109535495:10586,109546081,10586.0,1.0,9.663513202265995e-05,0.009830316984851505,True,True,True,True
cand_00079,1198513,theta_local:80:1198510:3,1198607,3.0,1.0000784305218215,2.5031017602645947e-06,0.0015821371190578566,True,True,True,True
cand_00080,1512197,theta_local:81:1512196:1,1512197,1.0,1.0,6.612895013017483e-07,0.000813197086382968,True,True,True,True
cand_00081,12782500,theta_local:82:12782006:494,12782599,494.0,1.0000077449638176,3.864658713084295e-05,0.0062166438129480535,True,True,True,True
cand_00082,42923,theta_local:83:42922:1,42923,1.0,1.0,2.3297532791277403e-05,0.004826751784717897,True,True,True,True
cand_00083,617579,theta_local:84:617578:1,617579,1.0,1.0,1.619226042336284e-06,0.0012724881305286443,True,True,True,True
cand_00084,10357,theta_local:85:10356:1,10357,1.0,1.0,9.655305590421937e-05,0.009826141455536825,True,True,True,True
cand_00085,15859,theta_local:86:15858:1,15859,1.0,1.0,6.305567816381865e-05,0.007940760553235355,True,True,True,True
cand_00086,109467389,theta_local:87:109460158:7231,109467389,7231.0,1.0,6.605620236360986e-05,0.008127496684933797,True,True,True,True
cand_00087,3290641,theta_local:88:3290318:323,3290641,323.0,1.0,9.81571675548928e-05,0.009907429916728798,True,True,True,True
cand_00088,1188149,theta_local:89:1188148:1,1188149,1.0,1.0,8.416452818627967e-07,0.0009174122747504508,True,True,True,True
cand_00089,179641471,theta_local:90:179630689:10782,179641471,10782.0,1.0,6.001954860411937e-05,0.0077472284466200796,True,True,True,True
cand_00090,179602723,theta_local:91:179595316:7407,179602723,7407.0,1.0,4.124102283237655e-05,0.006421917379753226,True,True,True,True
cand_00091,3453943,theta_local:92:3453942:1,3453943,1.0,1.0,2.895241757029575e-07,0.0005380745075758166,True,True,True,True
cand_00092,1188839,theta_local:93:1188838:1,1188839,1.0,1.0,8.411567924672727e-07,0.0009171460038986556,True,True,True,True
cand_00093,618119,theta_local:94:618118:1,618119,1.0,1.0,1.6178114570171763e-06,0.001271932174692179,True,True,True,True
cand_00094,178011341,theta_local:95:178005997:5344,178011341,5344.0,1.0,3.0020559195720006e-05,0.005479102042827822,True,True,True,True
cand_00095,3438637,theta_local:96:3438262:375,3438637,375.0,1.0,0.00010905483771622303,0.010442932428979085,True,True,True,True
cand_00096,30981239,theta_local:97:30980149:1090,30981239,1090.0,1.0,3.5182582594582484e-05,0.005931490756511593,True,True,True,True
cand_00097,33843191,theta_local:98:33842396:795,33843191,795.0,1.0,2.3490692706843157e-05,0.0048467197883561575,True,True,True,True
cand_00098,4991034,theta_local:99:4990677:357,4991101,357.0,1.000013424072046,7.152826448387248e-05,0.008457453133825978,True,True,True,True
cand_00099,6421,theta_local:100:6420:1,6421,1.0,1.0,0.0001557389814670612,0.012479542518340214,True,True,True,True
cand_00100,1510643,theta_local:101:1510642:1,1510643,1.0,1.0,6.619697704884608e-07,0.0008136152472074629,True,True,True,True
cand_00101,33477793,theta_local:102:33476547:1246,33477793,1246.0,1.0,3.721870196162572e-05,0.006100713233846165,True,True,True,True
